pair_id_hash,sample_id_hash,question_key_hash,language,metric_group,operator,both_schema_target_valid,order1_source_preferred,order2_source_preferred,order_consistent_source_preferred,tie,order_conflict,confidence_ok,degradation_ok,preservation_ok,uncertainty_ok,accepted,rejection_reasons
exp40a_016262cfaa696334aa9bd2cd,8b5a0b1398f6340e731384ead6937669432ac6dd,89ad7f660e220e95714d0729aaef8f1f0834f89d,en,Scenario Adaptability,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_01e3519f77dca63f3388242d,3e10b174e185fface59704e77248df67267c740e,c6f22cd80053c6902385b62c5044122204f5cfb6,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,False,True,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_02001622d2de28520ef42db5,99984b4ac9c815f89947481885a6b4c729241985,c34b4b93df3897791871cecbdbfe43662163e9fe,zh,Pedagogical Application,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_05b3c0c883394bd9a744a2aa,bbdb5c830df2876a384cfeb727206af149a26f3a,6ee4a63a27ca8efb648e5b9a6d471b40f538089f,en,Factual & Reasoning Accuracy,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_092432758af6cc1467240210,36b010fba7be2a5f0a4411861e79004f802657bf,dce5454bf2b5c13c559f20834dd7587652290d56,zh,Pedagogical Application,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_09b74c8dc3676592fb6353cd,20170ad23196669d22edfbbb399902c23bd60774,c3d6dd9886dbb21e947eb824f47088252a780c68,zh,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_0a2f5aaae95b3f6efeb04d51,cb32956b9ee385b6ff61012dea25e05346a69bd2,f49a1d4cc6adf1cf50dd56680011679103746f11,zh,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_0a50270fc2848fa0b089d1cf,20d35eb477b521921e71f5a8edba8024a500af6c,98b5677cb80626a28f69d4b598f07466f65ed2da,en,Scenario Adaptability,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_0aa5f6e1f32e9adde3abc7c6,41755f9daf1b97b4889d6229b5d740bec63ca8fc,bea4c701b5b8016ddc3f538300508271dc4dda99,en,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_0d369f36ef20825cadc86b17,b2b36167f5c9ecd53b1ba8f952fa806d767a8233,93a5ca2decc82169ec51fce4735b568ddb829c8a,zh,Factual & Reasoning Accuracy,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_0d6f5724c397f5e8a4c2e43e,53cdff8c4467d55190955f1267bdc92bc28d0533,c367d1e3134b022584248f014a7b59640f1df7fb,zh,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_0fc8f2bf0914895653866924,b229a9127206617486d10308d17d5ab7a5ce538f,ebf6383ccf11081172d762d21b7079671bd2437d,en,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_10dcf3239ce0b16831194cf3,55034e794dc65dd3e25bd8ac35fbcf6e683e499e,b1cd0c51d55f036fd0656bc090e26097d4fdc971,zh,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_140db179cd8ce1c9c57b0d8c,1f7a5a869332204acda2f0eeff4ae333c7de09d3,b4067996b9bebf12858dc3f15816a40ff06a86dd,zh,Factual & Reasoning Accuracy,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_157c2c5825d51235b79c678d,8e724171acf99bd945ca009472494c436ed8a85c,804029b5d919d29e068ec94c9a5ba55942e9caf1,en,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_15a6992fcf244a68a3b00daf,a92ecf8f3e8768da8e0bf9bccea06ff8d3ac9928,394a5e6d4f924f8dee0aa354155ba986481815e7,en,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,False,False,False,False,False,True,True,True,True,False,source_preference
exp40a_16dfe74f22a97655f9d1388d,8d3e3f58f3253f93e1c1e9a90e18fbdfb941b6ca,e4d01b85df4567e5140f2b386f947d196784e009,en,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,False,True,False,preservation
exp40a_19628d380fa5f0e057b8c373,f7619818d9611ef31edb2a5f467f6fcc5bdb9787,77d00ade0a12aec5950865383e8616ee7ef4e5d5,zh,Pedagogical Application,violate_explicit_task_or_format_constraint,True,False,False,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_1b276e23d2409be42d5ef052,8d101e6a3d8533f25f7f919f9225d9e3c9765b4c,6ae2184d2c28a7dffc1319a61a68cf2584970be2,en,Factual & Reasoning Accuracy,introduce_scope_drift_or_irrelevant_content,True,False,False,False,False,False,True,True,True,True,False,source_preference
exp40a_1b9b15166b875f3c62494f4c,6544254c0cbe1ddf63750f5fb99d1f4f9fc539f2,2ec99513585fa81b368b7ede0183cc73436f33c5,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_1c3c77facd3f338559bbed3d,cdc3033a828d62474bb9460887ac600490ec79fc,5716978a3618c9e286a620853ddab7a187290c08,zh,Pedagogical Application,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_1e62e32612129eca64061fe6,4663ee5c34865d4a75438df31399fd2f3f965fb8,b523d065b505435167aeeb8ac570753d31f61486,zh,Factual & Reasoning Accuracy,remove_required_key_point,True,False,True,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_2041eb3df30a59d12a6f2fa1,eb2c936e5d990100aec194bd3defd64d290ff06f,017b79ae37affb7019266860fa78173a21364493,zh,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_20697be374cc76b13098d58c,8d796d3b2d9ac61863460819201d306fc133e59d,64fd4f38da6640198ce3c95dd0add573d9d8674c,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_21bf7bbc9a8b662a4023a5cf,49959c6be8102daa5a2eb8d17436f2063c7badec,08019f2165bce2d8cfc49849d40aa7a44344525b,en,Factual & Reasoning Accuracy,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_230f77c89cd56e65d02f9ffd,56b4510524eabe9c94bec4eff3c3b61acb377be0,2315014220e7c1c5fbc4751aea0a196884f3ace8,zh,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_2400e2910af44e25b7dc98c4,a8a5e3af92e139b36931e9a92aa6c72fdea5ae18,722cfc9e7bb30f489a7ef180b5212de2e8b65630,zh,Scenario Adaptability,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_265989fab430de4838337673,2a215ad07c321810a3dfb3f9f1a139cbc38858f0,8fab64f1090cd363036f72bb8f088eeaf4344ad1,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_277621a7734c0cee4f986eef,e09a53e47547eb888d97f3a543f8f498426e22d8,0a3152b6a40fc98b07a15855ba40ec0882507e78,zh,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_2a9c5a036fce3febeb651c94,d914564de695985afdbe208e6bb67f0f4ee9bedb,80b4f169dced8f900b4d6467567222045b1c13a3,zh,Factual & Reasoning Accuracy,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_2bd04ded5eaefd0685da0e33,ae5f252973a831e4f72419448a1bc704bccbf17e,785cc5d96219bccac35c7994ebdb4e3394efd24f,en,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_2d4a91eb167dc9f541bb8082,128b3cdf2e864fca836a975d0d1ec4b6e26268c4,ffed2f3bb93a32c1cf81521951774f896b3283f4,en,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
