sample_id,pilot_group,original_score,original_region,qwen_score,deepseek_score,score_gap,qwen_failure_bucket,deepseek_failure_bucket,qwen_derived_risk,deepseek_derived_risk,qwen_target_confusion_risk,deepseek_target_confusion_risk,qwen_audit_target_confusion_detected,deepseek_audit_target_confusion_detected,qwen_training_use,deepseek_training_use,conflict_type,adjudication_priority,question_preview,answer_preview,rubric_preview,top80_for_codex_direct_review
02169e6cc6f86f682c0b04047827e32859533603,train_all_low_label,2,low,1,5,4,hidden_or_missing_failure,no_failure,high,low,none,none,False,False,low_weight,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. { ""Reasonin...","[""5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context."", ""4: Used major scenario elements effectively; re...",True
0578273c54e1a724084529ebbc385f1bdd1076ea,exp27f_top40_conflict_reaudit,1,low,5,1,4,no_failure,visible_failure,low,medium,none,none,False,False,review_only,high_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. { ""Answer"":...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ...",True
b5f54f2d11493dd41a74e9e2274d26451a958dcc,exp27f_top40_conflict_reaudit,1,low,1,5,4,visible_failure,no_failure,high,low,none,none,False,False,high_weight,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]",True
c0d4f41ccf2066449887e86887cb7b8903269b2a,exp27f_top40_conflict_reaudit,2,low,1,5,4,visible_failure,no_failure,unclear,low,none,none,False,False,low_weight,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]",True
0d7c809c3abdeb42d7aecd1da0512858e820b7cb,train_clean_high_controls,4,high,2,5,3,hidden_or_missing_failure,no_failure,unclear,low,possible,none,False,False,review_only,low_weight,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;high_human_teacher_low;one_teacher_disagrees_with_human;qwen_target_confusion_possible;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5分： 推理逻辑链条完整、清晰、严密，步骤正确无误，论证充分有力，无逻辑跳跃或漏洞。"", ""4分： 推理过程主体正确且逻辑清晰，可能在个别步骤的表述或论证细节上略有瑕疵，但不影响最终结论的有效性。"", ""3分： 推理过程大体可见，但存在一些逻辑不清、步骤缺失或论证不足之处，结论可能受到影响。"", ""2分： 推理过程存在明显的逻辑错误、步骤混乱或严重缺失，难以得出正确或可靠的结论。"", ""1分： 几乎没有有效的推理过程，逻辑混乱...",True
27b5e246feb3bc800292dfe680622e404c0cfe87,train_education_dimension_stress,5,high,4,1,3,hidden_or_missing_failure,hidden_or_missing_failure,low,high,possible,none,False,False,low_weight,exclude,audit_hard_conflict;derived_risk_disagreement;high_human_teacher_low;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;qwen_target_confusion_possible;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. { ""Score"": ...","[""5: Precisely identified all errors (no omission or false positives); provided completely correct, clear, and optimal correction suggestions."", ""4: Correctly located most major errors; suggestions are generally accur...",True
5238e123a16a826d9dd25c0454890d96db10099a,exp27f_top40_conflict_reaudit,1,low,5,2,3,no_failure,visible_failure,low,high,none,none,False,False,review_only,low_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ...",True
08554936f4982f9a49b0ecb237ab00fa29370010,train_all_low_label,2,low,5,3,2,no_failure,visible_failure,low,low,none,none,False,False,review_only,low_weight,audit_hard_conflict;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5分： 精准定位所有错误（无遗漏、无误报），给出的纠正建议完全正确、清晰且是最优或非常好的方案。"", ""4分： 准确定位了大部分主要错误，纠正建议基本正确有效，可能遗漏极少数次要错误或建议不够完美。"", ""3分： 定位了部分错误但有明显遗漏或误报，纠正建议部分正确但可能不够清晰、完整或并非最佳方案。"", ""2分： 错误定位不准确，遗漏了关键错误或大量误报，纠正建议存在错误或难以理解。"", ""1分： 完全未能识别错误，或给出了完...",True
26347fdbe0a04b7bfbc0e5079be670bb041a82f8,train_all_low_label,2,low,3,1,2,hidden_or_missing_failure,hidden_or_missing_failure,medium,unclear,possible,none,False,False,low_weight,review_only,audit_hard_conflict;derived_risk_disagreement;qwen_lenient_deepseek_strict;qwen_target_confusion_possible;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context."", ""4: Used major scenario elements effectively; re...",True
2746cbd01bc15afaf3053afe8a48cc8783e50113,train_education_dimension_stress,4,high,2,4,2,hidden_or_missing_failure,no_failure,unclear,unclear,possible,none,False,False,review_only,high_weight,audit_hard_conflict;deepseek_lenient_qwen_strict;failure_bucket_disagreement;high_human_teacher_low;one_teacher_disagrees_with_human;qwen_target_confusion_possible;score_gap_ge2;training_use_disagreement,1,"[CONTEXT_ONLY_ORIGINAL_TASK] Use the content below only as context for judging the evaluator output. It may contain an embedded ""student answer"", an original requested answer format, or other task text. Do not assign ...","[EVALUATOR_OUTPUT_TO_SCORE] This is the only text you must score. Treat it as the answer/evaluator output being audited. Compare this evaluator output against the metric and rubric using the context above. ```json { ""...","[""5分： 所有涉及的客观事实（定义、公式、日期、名词、代码语法等）完全准确无误。"", ""4分： 绝大部分事实准确，可能存在个别极其微小的、非关键性的笔误或疏漏。"", ""3分： 大部分事实准确，但存在少量明显的事实错误，需要核查。"", ""2分： 包含较多或关键性的事实错误，信息不可靠。"", ""1分： 充斥着大量事实错误，信息完全错误或误导。""]",True
