sample_id,pilot_group,metric,language,subject,original_human_score,qwen_score,deepseek_score,calibrated_score,recommended_training_use,sample_weight,calibration_source,calibration_confidence,codex_top80_direct_review,target_issue_flag,calibration_note,calibrated_reason_preview
0578273c54e1a724084529ebbc385f1bdd1076ea,exp27f_top40_conflict_reaudit,Basic Factual Accuracy,en,Mathematics,1,5,1,1,low_weight,1.0,human_deepseek_agreement,medium,True,False,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,"The answer claims f(z) has no singularities, which is false because f(z) = z^2+1 has a pole of order 2 at infinity. This is a key factual inaccuracy, making the information completely incorrect."
5238e123a16a826d9dd25c0454890d96db10099a,exp27f_top40_conflict_reaudit,Basic Factual Accuracy,en,Mathematics,1,5,2,2,review_only,0.25,codex_top80_conservative_median,low,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output claims 'f(z) has no singularities', but at the PhD level in complex analysis, a polynomial like z^2+1 is known to have a pole at infinity. This is a key factual inaccuracy, rendering the information not trustworthy."
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,exp27f_top40_conflict_reaudit,Instruction Following & Task Completion,zh,Theoretical Economics,2,4,3,3,review_only,0.25,codex_top80_conservative_median,medium,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output provides the required JSON with score, details, and feedback, but the overall score of 3 is inconsistent with the sub-scores all being 2, indicating an inaccuracy in the evaluation. This matches the rubric level 3 description of '任务基本完成但存在"
7b2343c0fac6f79059007d116f746842fe6a6637,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,en,Basic Medicine,1,4,4,4,review_only,0.25,dual_teacher_consensus,medium,True,False,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,The evaluator output provides correct reasoning and accurate explanation for the student's answer. The explanation correctly identifies hepatic regeneration and the personalized feedback adds relevant detail about regeneration capacity (up to 75% in two weeks)
89f8c6ed8c1b947a44510dcc18b38a1d97571453,exp27f_top40_conflict_reaudit,Basic Factual Accuracy,zh,Law,2,2,1,2,high_weight,2.0,human_qwen_agreement,high,False,False,Original human score agrees with Qwen; DeepSeek is de-weighted by conflict or lower reliability.,"The evaluator selected 'B. 自决原则' (self-determination) as the primary principle for resolving territorial disputes. In international law, the principle of occupation (先占原则, option C) is the classic and primary principle specifically used to resolve territorial "
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,en,Business Administration,2,4,2,2,low_weight,1.0,human_deepseek_agreement,medium,True,False,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,"The reasoning provides a generic description of what an answer should contain rather than actual reasoning about applying Porter's Five Forces. It lacks specific steps or logical connections, resulting in critical omissions and insufficient reasoning."
b51fe8038ded98685f2c18b27990ce26056dfc17,exp27f_top40_conflict_reaudit,Scenario Element Integration,en,Business Administration,2,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The rubric evaluates Scenario Element Integration, requiring personalization and contextual fit to a teaching scenario. The evaluator output provides a generic, textbook-style explanation of Porter's Five Forces framework without any reference to student histo"
bd384e01426757c4dd86e755a75d5ef86fe6e59f,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,en,Basic Medicine,1,5,4,4,review_only,0.25,codex_top80_conservative_median,medium,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output explains why the answer is correct with a clear, correct statement, but lacks depth and rigorous step-by-step reasoning, making it fit the rubric for score 4 where reasoning is largely correct but not fully rigorous."
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,zh,Law,2,2,3,2,high_weight,2.0,human_qwen_agreement,high,False,False,Original human score agrees with Qwen; DeepSeek is de-weighted by conflict or lower reliability.,"The evaluator output selects 'B. 自决原则' (self-determination principle) as the answer for resolving territorial disputes, but this is factually incorrect. In international law, the principle primarily used for territorial disputes is 'C. 先占原则' (principle of occu"
c0d4f41ccf2066449887e86887cb7b8903269b2a,exp27f_top40_conflict_reaudit,Content Relevance & Scope Control,zh,Mathematics,2,1,5,2,review_only,0.25,codex_top80_conservative_median,low,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,Codex calibration retained the score under unresolved teacher-human disagreement; use this row conservatively.
