variant,split,threshold_method,metric,n,MAE,low_to_high_count,true_low_n,low_to_high_rate,label2_n,label2_recall
qmr,dev,boundary_tower_tau,Basic Factual Accuracy,130,0.26153846153846155,2,2,1.0,2,0.0
qmr,dev,boundary_tower_tau,"Clarity, Simplicity & Inspiration",90,0.4666666666666667,4,4,1.0,4,0.0
qmr,dev,boundary_tower_tau,Content Relevance & Scope Control,125,0.272,2,2,1.0,2,0.0
qmr,dev,boundary_tower_tau,Domain Knowledge Accuracy,65,0.3384615384615385,0,0,nan,0,nan
qmr,dev,boundary_tower_tau,Error Identification & Correction Precision,35,0.6285714285714286,5,5,1.0,4,0.0
qmr,dev,boundary_tower_tau,Higher-Order Thinking & Skill Development,83,0.5301204819277109,0,7,0.0,7,0.0
qmr,dev,boundary_tower_tau,Instruction Following & Task Completion,200,0.405,7,7,1.0,7,0.0
qmr,dev,boundary_tower_tau,"Motivation, Guidance & Positive Feedback",60,0.5833333333333334,2,9,0.2222222222222222,4,0.0
qmr,dev,boundary_tower_tau,"Personalization, Adaptation & Learning Support",70,0.34285714285714286,0,1,0.0,1,0.0
qmr,dev,boundary_tower_tau,Reasoning Process Rigor,84,0.6071428571428571,3,16,0.1875,3,0.0
qmr,dev,boundary_tower_tau,Role & Tone Consistency,50,0.18,0,0,nan,0,nan
qmr,dev,boundary_tower_tau,Scenario Element Integration,115,0.3826086956521739,4,4,1.0,4,0.0
qmr,test,boundary_tower_tau,Basic Factual Accuracy,125,0.2,1,1,1.0,1,0.0
qmr,test,boundary_tower_tau,"Clarity, Simplicity & Inspiration",85,0.3411764705882353,2,2,1.0,2,0.0
qmr,test,boundary_tower_tau,Content Relevance & Scope Control,130,0.33076923076923076,1,1,1.0,1,0.0
qmr,test,boundary_tower_tau,Domain Knowledge Accuracy,65,0.35384615384615387,0,0,nan,0,nan
qmr,test,boundary_tower_tau,Error Identification & Correction Precision,38,0.5,0,0,nan,0,nan
