human_label,qwen_score,qwen_human_gap,direction_factor,direction_reason,deepseek_present,deepseek_confirmed,rows
1,1,0,1.0,adjacent_or_equal,1,0,1
1,1,0,1.0,adjacent_or_equal,1,1,13
1,2,1,1.0,adjacent_or_equal,1,0,1
1,2,1,1.0,adjacent_or_equal,1,1,2
1,3,2,0.5,human_low_qwen_mid_limited,1,1,1
1,4,3,0.0,human_low_qwen_high_blocked,1,0,1
1,5,4,0.0,human_low_qwen_high_blocked,1,0,1
1,5,4,0.0,human_low_qwen_high_blocked,1,1,4
2,1,-1,1.0,adjacent_or_equal,1,0,2
2,1,-1,1.0,adjacent_or_equal,1,1,3
2,2,0,1.0,adjacent_or_equal,1,0,5
2,2,0,1.0,adjacent_or_equal,1,1,14
2,3,1,0.5,human_low_qwen_mid_limited,1,1,2
2,4,2,0.0,human_low_qwen_high_blocked,1,0,3
2,4,2,0.0,human_low_qwen_high_blocked,1,1,9
2,5,3,0.0,human_low_qwen_high_blocked,1,1,14
3,1,-2,0.0,large_gap_unconfirmed,1,0,1
3,1,-2,0.25,large_gap_confirmed,1,1,2
3,2,-1,1.0,adjacent_or_equal,1,0,8
3,2,-1,1.0,adjacent_or_equal,1,1,59
3,3,0,1.0,adjacent_or_equal,0,0,8
3,3,0,1.0,adjacent_or_equal,1,0,5
3,3,0,1.0,adjacent_or_equal,1,1,18
3,4,1,1.0,adjacent_or_equal,1,0,4
3,4,1,1.0,adjacent_or_equal,1,1,76
3,5,2,0.0,large_gap_unconfirmed,1,0,6
3,5,2,0.25,large_gap_confirmed,1,1,64
4,1,-3,0.0,extreme_unconfirmed,1,0,2
4,1,-3,0.0,extreme_unconfirmed,1,1,2
4,1,-3,0.5,extreme_confirmed,1,1,2
4,2,-2,0.0,extreme_unconfirmed,1,0,26
4,2,-2,0.0,extreme_unconfirmed,1,1,46
4,2,-2,0.5,extreme_confirmed,1,1,45
4,3,-1,1.0,adjacent_or_equal,1,0,28
4,3,-1,1.0,adjacent_or_equal,1,1,95
4,4,0,1.0,adjacent_or_equal,0,0,213
4,4,0,1.0,adjacent_or_equal,1,0,5
4,4,0,1.0,adjacent_or_equal,1,1,94
4,5,1,0.25,human4_qwen5_limited,1,0,13
4,5,1,0.25,human4_qwen5_limited,1,1,375
5,1,-4,0.0,extreme_unconfirmed,1,0,1
5,1,-4,0.5,extreme_confirmed,1,1,1
5,2,-3,0.0,extreme_unconfirmed,1,0,16
5,2,-3,0.0,extreme_unconfirmed,1,1,9
5,2,-3,0.5,extreme_confirmed,1,1,19
5,3,-2,0.0,large_gap_unconfirmed,1,0,33
5,3,-2,0.25,large_gap_confirmed,1,1,44
5,4,-1,1.0,adjacent_or_equal,1,0,10
5,4,-1,1.0,adjacent_or_equal,1,1,275
5,5,0,1.0,adjacent_or_equal,0,0,881
5,5,0,1.0,adjacent_or_equal,1,0,4
5,5,0,1.0,adjacent_or_equal,1,1,88
