question_key_hash,safe16_row_count,original_label_counts
ffc2184f0561d0d0116abca1cff7352497abb11c28f65e08a325a1998a544f2a,2,"{""2"": 2}"
6f55ea895ef5f1663b94d7e4471b63976449a8f3073548efe00025a6c14e87c9,1,"{""2"": 1}"
ed7caf765983fd562d35fb30db8fb44ab7905692957886edf71c6010d5f1eb1f,2,"{""2"": 2}"
7abfae837eabe88d7e9ee52d3661ce8f8e2cfe236f5f47648df1fff87d66a576,1,"{""2"": 1}"
580f81a7952ac087d24ea8eb62517dd18f56d628bcd0bfbeefd076fbf2523880,1,"{""1"": 1}"
0c387841fe9b7ec06ce78cb259dff8b1e9de0a17141fc628b80438c46953ba3b,1,"{""2"": 1}"
b4f96a9e38893443e0111aba0c2cdbef79687bad07adb95349c6c5713c80f12a,2,"{""2"": 2}"
2a5189c0dc857cc5b618d4c435e6b9d64dae100433c29078bd80a271a1dad8d2,3,"{""2"": 3}"
efee70b403d42dde46d330b515a7b099a2e73cc3aa8f8dc517bbdeb49904904d,1,"{""2"": 1}"
51fd422c301a17408130baf6d4561ba2109742229db497a38b93212cef72c224,2,"{""2"": 2}"
