variant,split,sample_id,question_key,metric,gold_label,pred_label,quality_score_s,tau1,tau2,tau3,tau4,margin_tau2,margin_tau3,probs,boundary_key
metric_rubric,dev,a9fb1437d7ef739f816e75d995054de210ca96a8,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,2.984375,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,5.302026748657227,3.574864387512207,"[0.9987938404083252, 0.9972363710403442, 0.9814810752868652, 0.8832338452339172]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,dev,ae218f59b2bdc08b36e9d5fc14db12e76a7af21e,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",2,4,1.4765625,-2.6305525302886963,-1.2999929189682007,1.022115707397461,3.5291972160339355,2.7765555381774902,0.45444679260253906,"[0.9579886198043823, 0.8922461271286011, 0.5856440663337708, 0.1732531040906906]",f0d18be11d34189cd2c8468188344a36bab80f88
metric_rubric,dev,6b1d22832f8c2d9e51459ade117c52581ec16bf8,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,2.6875,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,5.005151748657227,3.277989387512207,"[0.9983235001564026, 0.9961612224578857, 0.974433183670044, 0.8447108268737793]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,dev,ab6c4ba7b5065f647c29431814feeb3a00e9c7b0,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,2.515625,-2.2894856929779053,-0.9300422668457031,1.2384164333343506,3.1621341705322266,3.445667266845703,1.2772085666656494,"[0.9933251738548279, 0.9730738401412964, 0.7907960414886475, 0.3378041386604309]",134fe8be716fe6dc497b2f2eaefdaab9a6304047
metric_rubric,dev,057fb10dadb0ef587ef63e8c0692fb069e747f33,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,2,5,1.5625,-2.4425790309906006,-1.8158049583435059,-0.3917856216430664,0.9330799579620361,3.378304958343506,1.9542856216430664,"[0.9752073884010315, 0.9567869901657104, 0.8571490049362183, 0.6403977870941162]",8933d2a9b092a046e2c6635f8c1dad1235be15ae
metric_rubric,dev,d827928fc39a06825d345c6f8c0685eba89b65cd,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,2.53125,-3.0456302165985107,-2.2272462844848633,-0.9366095066070557,0.4461984634399414,4.758496284484863,3.4678595066070557,"[0.9970834851264954, 0.9931610822677612, 0.9741187691688538, 0.8985617756843567]",e30cecad27cfc97a5f934deba60539fbf46c43ff
metric_rubric,dev,c8f82a756a23aa9b5e70f52f867ac392e2aec089,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,2.515625,-2.7713277339935303,-1.9491180181503296,0.20551490783691406,2.9590229988098145,4.464743137359619,2.310110092163086,"[0.9990648627281189, 0.9972388744354248, 0.9546622633934021, 0.3578111529350281]",83f6981cfd3f16e25941e1452261ca5394e2962c
metric_rubric,dev,293b29a2622713babcb8a2dbc341d9f224d6c8b2,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",1,4,1.21875,-2.6305525302886963,-1.2999929189682007,1.022115707397461,3.5291972160339355,2.5187430381774902,0.19663429260253906,"[0.9493392109870911, 0.8718717098236084, 0.537356436252594, 0.14691221714019775]",f0d18be11d34189cd2c8468188344a36bab80f88
metric_rubric,dev,60084a95316f0f87040c9c1c0c24a16be077aa06,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,2.6875,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,5.005151748657227,3.277989387512207,"[0.9983235001564026, 0.9961612224578857, 0.974433183670044, 0.8447108268737793]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,dev,bb99da8830bc11b1828c4a9637d65ecb7ee71420,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,2.40625,-2.2894856929779053,-0.9300422668457031,1.2384164333343506,3.1621341705322266,3.336292266845703,1.1678335666656494,"[0.9925260543823242, 0.9699239134788513, 0.7713337540626526, 0.31282010674476624]",134fe8be716fe6dc497b2f2eaefdaab9a6304047
