split_name,split,metric_canonical,count,pct_within_split
paper_like_triple_seed42,train,Instruction Following & Task Completion,490,0.184627
paper_like_triple_seed42,train,Basic Factual Accuracy,322,0.121326
paper_like_triple_seed42,train,Content Relevance & Scope Control,312,0.117558
paper_like_triple_seed42,train,Scenario Element Integration,251,0.094574
paper_like_triple_seed42,train,Reasoning Process Rigor,195,0.073474
paper_like_triple_seed42,train,"Clarity, Simplicity & Inspiration",187,0.07046
paper_like_triple_seed42,train,"Motivation, Guidance & Positive Feedback",186,0.070083
paper_like_triple_seed42,train,Higher-Order Thinking & Skill Development,178,0.067069
paper_like_triple_seed42,train,"Personalization, Adaptation & Learning Support",163,0.061417
paper_like_triple_seed42,train,Domain Knowledge Accuracy,137,0.05162
paper_like_triple_seed42,train,Error Identification & Correction Precision,134,0.05049
paper_like_triple_seed42,train,Role & Tone Consistency,99,0.037302
paper_like_triple_seed42,dev,Instruction Following & Task Completion,124,0.186747
paper_like_triple_seed42,dev,Basic Factual Accuracy,83,0.125
paper_like_triple_seed42,dev,Content Relevance & Scope Control,76,0.114458
paper_like_triple_seed42,dev,Scenario Element Integration,63,0.09488
paper_like_triple_seed42,dev,Reasoning Process Rigor,48,0.072289
paper_like_triple_seed42,dev,"Clarity, Simplicity & Inspiration",47,0.070783
paper_like_triple_seed42,dev,Higher-Order Thinking & Skill Development,45,0.067771
paper_like_triple_seed42,dev,"Motivation, Guidance & Positive Feedback",44,0.066265
paper_like_triple_seed42,dev,"Personalization, Adaptation & Learning Support",41,0.061747
paper_like_triple_seed42,dev,Error Identification & Correction Precision,34,0.051205
paper_like_triple_seed42,dev,Domain Knowledge Accuracy,33,0.049699
paper_like_triple_seed42,dev,Role & Tone Consistency,26,0.039157
paper_like_triple_seed42,test,Instruction Following & Task Completion,376,0.169522
paper_like_triple_seed42,test,Content Relevance & Scope Control,272,0.122633
paper_like_triple_seed42,test,Basic Factual Accuracy,255,0.114968
paper_like_triple_seed42,test,Scenario Element Integration,233,0.10505
paper_like_triple_seed42,test,Higher-Order Thinking & Skill Development,205,0.092426
paper_like_triple_seed42,test,"Clarity, Simplicity & Inspiration",198,0.08927
paper_like_triple_seed42,test,Reasoning Process Rigor,178,0.080252
paper_like_triple_seed42,test,Domain Knowledge Accuracy,157,0.070784
paper_like_triple_seed42,test,"Personalization, Adaptation & Learning Support",125,0.056357
paper_like_triple_seed42,test,Role & Tone Consistency,95,0.042831
paper_like_triple_seed42,test,"Motivation, Guidance & Positive Feedback",85,0.038323
paper_like_triple_seed42,test,Error Identification & Correction Precision,39,0.017583
question_seed42,train,Instruction Following & Task Completion,595,0.178894
question_seed42,train,Content Relevance & Scope Control,405,0.121768
question_seed42,train,Basic Factual Accuracy,405,0.121768
question_seed42,train,Scenario Element Integration,322,0.096813
question_seed42,train,Reasoning Process Rigor,258,0.077571
question_seed42,train,"Clarity, Simplicity & Inspiration",257,0.07727
question_seed42,train,Higher-Order Thinking & Skill Development,256,0.076969
question_seed42,train,Domain Knowledge Accuracy,197,0.05923
question_seed42,train,"Personalization, Adaptation & Learning Support",190,0.057126
question_seed42,train,"Motivation, Guidance & Positive Feedback",187,0.056224
question_seed42,train,Error Identification & Correction Precision,134,0.040289
question_seed42,train,Role & Tone Consistency,120,0.036079
question_seed42,dev,Instruction Following & Task Completion,200,0.180668
question_seed42,dev,Basic Factual Accuracy,130,0.117435
question_seed42,dev,Content Relevance & Scope Control,125,0.112918
question_seed42,dev,Scenario Element Integration,115,0.103884
question_seed42,dev,"Clarity, Simplicity & Inspiration",90,0.081301
question_seed42,dev,Reasoning Process Rigor,84,0.075881
question_seed42,dev,Higher-Order Thinking & Skill Development,83,0.074977
question_seed42,dev,"Personalization, Adaptation & Learning Support",70,0.063234
question_seed42,dev,Domain Knowledge Accuracy,65,0.058717
question_seed42,dev,"Motivation, Guidance & Positive Feedback",60,0.054201
question_seed42,dev,Role & Tone Consistency,50,0.045167
question_seed42,dev,Error Identification & Correction Precision,35,0.031617
question_seed42,test,Instruction Following & Task Completion,195,0.176791
question_seed42,test,Content Relevance & Scope Control,130,0.11786
question_seed42,test,Basic Factual Accuracy,125,0.113327
question_seed42,test,Scenario Element Integration,110,0.099728
question_seed42,test,Higher-Order Thinking & Skill Development,89,0.080689
question_seed42,test,"Clarity, Simplicity & Inspiration",85,0.077063
question_seed42,test,Reasoning Process Rigor,79,0.071623
question_seed42,test,"Personalization, Adaptation & Learning Support",69,0.062557
question_seed42,test,"Motivation, Guidance & Positive Feedback",68,0.06165
question_seed42,test,Domain Knowledge Accuracy,65,0.05893
question_seed42,test,Role & Tone Consistency,50,0.045331
question_seed42,test,Error Identification & Correction Precision,38,0.034451
