audit_tier,training_tier,original_label_5,hard_target_5,direction,count
adjudication_required,resolved_adjudication,1,2,up,4
adjudication_required,resolved_adjudication,1,3,up,1
adjudication_required,resolved_adjudication,1,5,up,1
adjudication_required,resolved_adjudication,2,4,up,7
adjudication_required,resolved_adjudication,2,5,up,8
adjudication_required,resolved_adjudication,3,1,down,1
adjudication_required,resolved_adjudication,3,2,down,2
adjudication_required,resolved_adjudication,3,3,same,1
adjudication_required,resolved_adjudication,3,4,up,7
adjudication_required,resolved_adjudication,3,5,up,11
adjudication_required,resolved_adjudication,4,1,down,1
adjudication_required,resolved_adjudication,4,2,down,1
adjudication_required,resolved_adjudication,4,3,down,2
adjudication_required,resolved_adjudication,4,4,same,3
adjudication_required,resolved_adjudication,4,5,up,1
adjudication_required,resolved_adjudication,5,2,down,2
adjudication_required,resolved_adjudication,5,3,down,3
adjudication_required,resolved_adjudication,5,4,down,4
adjudication_required,resolved_adjudication,5,5,same,2
adjudication_required,review_only,1,1,same,3
adjudication_required,review_only,2,2,same,2
adjudication_required,review_only,4,4,same,3
direct_accept,direct_accept,1,1,same,46
direct_accept,direct_accept,2,2,same,21
direct_accept,direct_accept,3,3,same,8
direct_accept,direct_accept,4,4,same,30
direct_accept,direct_accept,5,5,same,68
weighted_accept,weighted_accept,1,1,same,2
weighted_accept,weighted_accept,1,2,up,1
weighted_accept,weighted_accept,2,2,same,12
weighted_accept,weighted_accept,2,3,up,3
weighted_accept,weighted_accept,3,2,down,3
weighted_accept,weighted_accept,3,3,same,31
weighted_accept,weighted_accept,3,4,up,21
weighted_accept,weighted_accept,4,3,down,3
weighted_accept,weighted_accept,4,4,same,8
weighted_accept,weighted_accept,4,5,up,19
weighted_accept,weighted_accept,5,4,down,3
weighted_accept,weighted_accept,5,5,same,12
