sample_id,label,label_region,pilot_group,paired_exp27c_row,language,qwen_score,deepseek_score,score_exact,score_adjacent
022806ec04a3b92cfcb17f3ba4951ae817c1f854,3,mid,new_label3_borderline_risk_stress,False,zh,2,3,False,True
0578273c54e1a724084529ebbc385f1bdd1076ea,1,low,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
06861366641747d8214ceee8efb257daab5915fd,2,low,exp27c_v3_60_paired_repilot,True,en,1,1,True,True
0a2ec1587d91e3e0c90bc2114bf0d552f4bf7391,5,high,new_high_control_disagreement_stress,False,en,5,5,True,True
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,1,low,new_low_hard_disagreement_stress,False,en,1,1,True,True
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,1,low,exp27c_v3_60_paired_repilot,True,zh,1,1,True,True
107a460ba82cd473b9a08a5d43257a7f1d336874,2,low,exp27c_v3_60_paired_repilot,True,en,2,1,False,True
18ae31b0930f4812f14b417a1b631e06c74e7410,3,mid,exp27c_v3_60_paired_repilot,True,zh,4,5,False,True
1947f424625d896777f4dbddef16ab9afb7730aa,1,low,exp27c_v3_60_paired_repilot,True,en,2,1,False,True
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,1,low,exp27c_v3_60_paired_repilot,True,zh,2,2,True,True
1f9fc6e36113728a15b2ce3acfbe2073b64d734d,3,mid,exp27c_v3_60_paired_repilot,True,en,3,3,True,True
3085147813a8f48d70b8dbed81b3b72957cbc1ae,5,high,exp27c_v3_60_paired_repilot,True,zh,5,5,True,True
3624849d5e3d9a97bf8f9965e3f2aca0b53f7d66,3,mid,exp27c_v3_60_paired_repilot,True,en,4,4,True,True
378f7b2160c791b11e16c3dd68d76ed1363a3ff6,2,low,new_low_hard_disagreement_stress,False,zh,1,1,True,True
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,4,high,exp27c_v3_60_paired_repilot,True,zh,4,3,False,True
3ba4af0cd6da089654cdea6d00de3244b80fc906,5,high,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,4,high,exp27c_v3_60_paired_repilot,True,en,4,5,False,True
4468842156d5b938a609185df023c4a860497e75,3,mid,exp27c_v3_60_paired_repilot,True,zh,5,5,True,True
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,exp27c_v3_60_paired_repilot,True,zh,2,5,False,False
481a18d6d4711b12ee76a9f0a8d37f55d25df1c4,3,mid,exp27c_v3_60_paired_repilot,True,en,4,4,True,True
4a94159b2cfae1127c979628b87af3087401a413,3,mid,exp27c_v3_60_paired_repilot,True,en,4,4,True,True
4b41e17c2598dfa1e57d4a8a31387f8358ae9ab6,5,high,exp27c_v3_60_paired_repilot,True,zh,5,5,True,True
4d603e5ed030c00413f35f1852ebb1859d5dc6be,1,low,exp27c_v3_60_paired_repilot,True,zh,1,1,True,True
5238e123a16a826d9dd25c0454890d96db10099a,1,low,new_low_hard_disagreement_stress,False,en,5,5,True,True
5e15d31d11a545d5b8842f8a9f51ae58c59e7634,5,high,exp27c_v3_60_paired_repilot,True,zh,5,5,True,True
5eca8796afa57332b77efb229a632e49b196cbed,3,mid,new_label3_borderline_risk_stress,False,en,4,5,False,True
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,exp27c_v3_60_paired_repilot,True,en,3,4,False,True
62b2cc4828c16383397c0f6eba7db729544d5d77,5,high,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
630a88341b60ad40afcd43bf6bf3967c515b8803,2,low,exp27c_v3_60_paired_repilot,True,zh,2,2,True,True
63ab64773fb76fbe6cba302eed79041a8316bb7c,2,low,exp27c_v3_60_paired_repilot,True,zh,2,2,True,True
654c5cdb0a9fded6d0c0fa9724cca944d0d0fa0d,4,high,new_education_dimension_stress,False,zh,5,5,True,True
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,low,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
6c2ca811835d3ab2cc459573f13c0ae3caf83824,3,mid,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
6c703c046a9b97419785484bb1dd5d5b81ccd77a,1,low,exp27c_v3_60_paired_repilot,True,en,1,1,True,True
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,5,high,new_education_dimension_stress,False,en,2,2,True,True
76909e50052e68bb729ed62933a86559f6a7c036,1,low,exp27c_v3_60_paired_repilot,True,en,1,1,True,True
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,3,mid,exp27c_v3_60_paired_repilot,True,zh,2,3,False,True
7b2343c0fac6f79059007d116f746842fe6a6637,1,low,new_low_hard_disagreement_stress,False,en,4,1,False,False
8341e93909c0704df94f772a62c2864d3bbd1a62,3,mid,exp27c_v3_60_paired_repilot,True,en,4,4,True,True
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,exp27c_v3_60_paired_repilot,True,zh,1,5,False,False
8ff264a74369c7106935fc453add4b92d95a8b87,1,low,exp27c_v3_60_paired_repilot,True,zh,1,1,True,True
9aadad1caf2256ca13d782acb0461e0845e58a6d,3,mid,exp27c_v3_60_paired_repilot,True,zh,5,5,True,True
9ec7e3a19fad6e6c3caee049ed4fe69a3e9f1649,5,high,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
a2963f0bafecf877ce9d9f85ccd07d324522a500,1,low,exp27c_v3_60_paired_repilot,True,en,2,2,True,True
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,low,exp27c_v3_60_paired_repilot,True,en,4,3,False,True
a6a61e243a1f0c09ac86c3557bd39377eff935bc,3,mid,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
