variant,split,metric,n,true_low_n,low_to_high_count,low_to_high_rate,label2_n,label2_pred_ge4_count,label2_pred_ge4_rate,mean_s_for_low,mean_tau3,mean_tau4,mean_margin_tau3_for_low
metric_rubric,dev,Basic Factual Accuracy,130,2,2,1.0,2,2,1.0,2.765625,-2.04711994941418,-0.7170108244969294,4.754051089286804
metric_rubric,dev,"Clarity, Simplicity & Inspiration",90,4,4,1.0,4,4,1.0,2.52734375,-0.43787574768066406,2.303469525443183,2.321828842163086
metric_rubric,dev,Content Relevance & Scope Control,125,2,2,1.0,2,2,1.0,3.1171875,-1.6574655704498291,0.24808099174499512,4.40902054309845
metric_rubric,dev,Domain Knowledge Accuracy,65,0,0,nan,0,0,nan,nan,-0.91563369677617,1.4531858150775616,nan
metric_rubric,dev,Error Identification & Correction Precision,35,5,5,1.0,4,4,1.0,2.1734375,-0.9535980973924909,0.44969030107770647,3.2289671421051027
metric_rubric,dev,Higher-Order Thinking & Skill Development,83,7,0,0.0,7,0,0.0,0.42710658482142855,0.4645837128880512,2.641591882131186,-1.0310571534293038
metric_rubric,dev,Instruction Following & Task Completion,200,7,7,1.0,7,7,1.0,2.6573660714285716,-0.9762398767471313,1.002252242565155,3.3776355470929826
metric_rubric,dev,"Motivation, Guidance & Positive Feedback",60,9,5,0.5555555555555556,4,1,0.25,0.8094889322916666,0.39808812538782756,2.9393171072006226,0.048559215333726674
metric_rubric,dev,"Personalization, Adaptation & Learning Support",70,1,1,1.0,1,1,1.0,-0.22265625,0.5504656655447824,2.849261440549578,0.10709953308105469
metric_rubric,dev,Reasoning Process Rigor,84,16,3,0.1875,3,3,1.0,-6.321044921875,-0.9194875529834202,0.7612774741081965,-5.305369973182678
metric_rubric,dev,Role & Tone Consistency,50,0,0,nan,0,0,nan,nan,-0.8782682132720947,2.4605404853820803,nan
metric_rubric,dev,Scenario Element Integration,115,4,4,1.0,4,4,1.0,2.515625,0.42440241730731465,2.6142516260561734,1.2772085666656494
metric_rubric,test,Basic Factual Accuracy,125,1,1,1.0,1,1,1.0,2.03125,-2.075632761001587,-0.5742950172424316,4.026459693908691
metric_rubric,test,"Clarity, Simplicity & Inspiration",85,2,2,1.0,2,2,1.0,1.40625,-0.9649127679712632,1.7621389557333553,1.2029223442077637
metric_rubric,test,Content Relevance & Scope Control,130,1,1,1.0,1,1,1.0,2.09375,-1.701275011209341,0.2559331068625817,3.3855831623077393
metric_rubric,test,Domain Knowledge Accuracy,65,0,0,nan,0,0,nan,nan,-1.0423927783966065,1.3881045048053449,nan
metric_rubric,test,Error Identification & Correction Precision,38,0,0,nan,0,0,nan,nan,-1.3853243401176052,0.5305363128059789,nan
metric_rubric,test,Higher-Order Thinking & Skill Development,89,6,2,0.3333333333333333,6,2,0.3333333333333333,0.8240559895833334,0.263356144508619,2.4943657457158808,-0.27240975697835285
metric_rubric,test,Instruction Following & Task Completion,195,5,5,1.0,5,5,1.0,1.5140625,-1.1024297922085493,0.949177920512664,2.284084129333496
metric_rubric,test,"Motivation, Guidance & Positive Feedback",68,4,2,0.5,4,2,0.5,0.21875,-0.46127570026061115,2.122171198620516,0.36865025758743286
metric_rubric,test,"Personalization, Adaptation & Learning Support",69,2,0,0.0,2,0,0.0,-0.4462890625,0.5629862564197485,2.859799972478894,-0.11406564712524414
metric_rubric,test,Reasoning Process Rigor,79,10,2,0.2,1,1,1.0,-7.2,-1.149593464935882,0.6861454987827735,-5.920897579193115
metric_rubric,test,Role & Tone Consistency,50,0,0,nan,0,0,nan,nan,-0.878026990890503,2.4592885303497316,nan
metric_rubric,test,Scenario Element Integration,110,0,0,nan,0,0,nan,nan,0.1332174301147461,2.418632000142878,nan
qmr,dev,Basic Factual Accuracy,130,2,2,1.0,2,2,1.0,2.154296875,-2.4122217416763307,-0.6220592517119188,4.851764559745789
qmr,dev,"Clarity, Simplicity & Inspiration",90,4,4,1.0,4,4,1.0,2.009765625,-0.14667826228671604,2.9660834312438964,1.8850778341293335
qmr,dev,Content Relevance & Scope Control,125,2,2,1.0,2,2,1.0,2.296875,-1.7097608127593995,0.5525458526611328,4.96023416519165
qmr,dev,Domain Knowledge Accuracy,65,0,0,nan,0,0,nan,nan,-1.0056686878204346,1.996471148270827,nan
qmr,dev,Error Identification & Correction Precision,35,5,5,1.0,4,4,1.0,2.028125,-0.9397908619471959,0.6573086193629674,2.888096809387207
qmr,dev,Higher-Order Thinking & Skill Development,83,7,0,0.0,7,0,0.0,0.5651506696428571,0.9530766872038324,3.785700930170266,-1.4552497182573592
