sample_id,matched_reason_count,matched_principles,matched_scores
022806ec04a3b92cfcb17f3ba4951ae817c1f854,30,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""2"", ""3"", ""4""]"
0578273c54e1a724084529ebbc385f1bdd1076ea,24,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性""]","[""1"", ""2"", ""3""]"
107a460ba82cd473b9a08a5d43257a7f1d336874,32,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""2"", ""3"", ""4"", ""5""]"
18ae31b0930f4812f14b417a1b631e06c74e7410,0,[],[]
1947f424625d896777f4dbddef16ab9afb7730aa,0,[],[]
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,32,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""1"", ""3"", ""4"", ""5""]"
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,28,"[""个性化适应与学习支持"", ""场景要素融合度"", ""指令遵循与任务完成"", ""激励引导与积极反馈"", ""角色与口吻一致性""]","[""3"", ""4"", ""5""]"
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,26,"[""个性化适应与学习支持"", ""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""指令遵循与任务完成""]","[""4"", ""5""]"
4468842156d5b938a609185df023c4a860497e75,30,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""2"", ""3"", ""4""]"
46133cfb383c1c10e94bab324dabdce1277ab939,31,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""4"", ""5""]"
4a94159b2cfae1127c979628b87af3087401a413,26,"[""个性化适应与学习支持"", ""场景要素融合度"", ""指令遵循与任务完成"", ""激励引导与积极反馈"", ""角色与口吻一致性""]","[""3"", ""4"", ""5""]"
5238e123a16a826d9dd25c0454890d96db10099a,24,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性""]","[""1"", ""2"", ""3""]"
5eca8796afa57332b77efb229a632e49b196cbed,34,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""3"", ""4"", ""5""]"
6195cd84a8bf06d5a3608b3bb6561111e242ace6,0,[],[]
