seed,item,value,note
42,data_dir,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42,
42,dataloader_mode,pair,
42,eval_each_epoch,True,
42,force_pair_training,False,
42,gradient_accumulation_steps,4,
42,keep_epoch_checkpoints_local,True,
42,lambda_anchor,0.5,
42,lambda_mono,0.1,
42,lambda_pair,0.05,
42,lambda_point,1.0,
42,learning_rate,1e-05,
42,max_pairs_per_low_record,100,
42,max_pairs_per_record,80,
42,num_train_epochs,3.0,
42,pair_dataset_size_dev,3000,
42,pair_dataset_size_train,10000,
42,per_device_eval_batch_size,8,
42,per_device_train_batch_size,32,
42,qd_b1_checkpoint_dir,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,
42,run_id,EXP11_full_qdpr2_checkpoint_selection,
42,save_each_epoch,True,
42,seed,42,
42,selection_rules_enabled,True,
42,soft_risk_gamma,4.0,
42,warmup_ratio,0.05,
43,data_dir,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42,
43,dataloader_mode,pair,
43,eval_each_epoch,True,
43,force_pair_training,False,
43,gradient_accumulation_steps,4,
43,keep_epoch_checkpoints_local,True,
43,lambda_anchor,0.5,
43,lambda_mono,0.1,
43,lambda_pair,0.05,
43,lambda_point,1.0,
43,learning_rate,1e-05,
43,max_pairs_per_low_record,100,
43,max_pairs_per_record,80,
43,num_train_epochs,3.0,
43,pair_dataset_size_dev,3000,
43,pair_dataset_size_train,10000,
43,per_device_eval_batch_size,8,
43,per_device_train_batch_size,32,
43,qd_b1_checkpoint_dir,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,
43,run_id,EXP11_full_qdpr2_checkpoint_selection,
43,save_each_epoch,True,
43,seed,43,
43,selection_rules_enabled,True,
43,soft_risk_gamma,4.0,
43,warmup_ratio,0.05,
44,data_dir,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42,
44,dataloader_mode,pair,
44,eval_each_epoch,True,
44,force_pair_training,False,
44,gradient_accumulation_steps,4,
44,keep_epoch_checkpoints_local,True,
44,lambda_anchor,0.5,
44,lambda_mono,0.1,
44,lambda_pair,0.05,
44,lambda_point,1.0,
44,learning_rate,1e-05,
44,max_pairs_per_low_record,100,
44,max_pairs_per_record,80,
44,num_train_epochs,3.0,
44,pair_dataset_size_dev,3000,
44,pair_dataset_size_train,10000,
44,per_device_eval_batch_size,8,
44,per_device_train_batch_size,32,
44,qd_b1_checkpoint_dir,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,
44,run_id,EXP11_full_qdpr2_checkpoint_selection,
44,save_each_epoch,True,
44,seed,44,
44,selection_rules_enabled,True,
44,soft_risk_gamma,4.0,
44,warmup_ratio,0.05,
