check,path,status,observed,expected,notes
script line count,thesis_exp/scripts/run_exp03_smoke.sh,PASS,64,>20,
script line count LF line endings,thesis_exp/scripts/run_exp03_smoke.sh,PASS,LF,LF,
script line count,thesis_exp/scripts/run_exp03_train_a0_a1.sh,PASS,186,>20,
script line count LF line endings,thesis_exp/scripts/run_exp03_train_a0_a1.sh,PASS,LF,LF,
script line count,thesis_exp/scripts/run_exp03_train_a3_a4.sh,PASS,187,>20,
script line count LF line endings,thesis_exp/scripts/run_exp03_train_a3_a4.sh,PASS,LF,LF,
bash -n,thesis_exp/scripts/run_exp03_smoke.sh,PASS,ok,ok,
bash -n,thesis_exp/scripts/run_exp03_train_a0_a1.sh,PASS,ok,ok,
bash -n,thesis_exp/scripts/run_exp03_train_a3_a4.sh,PASS,ok,ok,
python module line count,thesis_exp/src/edujudge/exp03/__init__.py,PASS,86,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/__init__.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/build_exp03_datasets.py,PASS,401,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/build_exp03_datasets.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/collect_exp03_results.py,PASS,211,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/collect_exp03_results.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/compute_input_ablation_metrics.py,PASS,118,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/compute_input_ablation_metrics.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/plot_input_ablation_figures.py,PASS,264,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/plot_input_ablation_figures.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/postprocess_exp03_results.py,PASS,40,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/postprocess_exp03_results.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/readability_check_exp03.py,PASS,159,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/readability_check_exp03.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/rubric_quality_audit.py,PASS,193,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/rubric_quality_audit.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/rubric_repair.py,PASS,558,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/rubric_repair.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/rubric_sources.py,PASS,138,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/rubric_sources.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/run_exp03.py,PASS,202,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/run_exp03.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/sanity_check_exp03_outputs.py,PASS,104,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/sanity_check_exp03_outputs.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/sanity_check_exp03_setup.py,PASS,293,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/sanity_check_exp03_setup.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/templates.py,PASS,213,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/templates.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/train_input_ablation.py,PASS,264,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/train_input_ablation.py,PASS,LF,LF,
python module line count,thesis_exp/src/edujudge/exp03/write_exp03_report.py,PASS,355,>10,
python module line count LF line endings,thesis_exp/src/edujudge/exp03/write_exp03_report.py,PASS,LF,LF,
py_compile exp03 modules,thesis_exp/src/edujudge/exp03,PASS,ok,ok,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/logs/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/logs/training_log.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/metrics.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/metric_level_metrics.csv,PASS,rows=24 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
