file_path,file_type,exists,num_rows_or_records,top_level_keys,sample_keys,likely_role,size_bytes,sample_preview
5-grades.py,py,True,,[],[],script_or_config,1512,
5-grades/1-shot_cases_zh.json,json,True,12,"[""个性化适应与学习支持"", ""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""清晰易懂与表达启发"", ""激励引导与积极反馈"", ""角色与口吻一致性"", ""错误识别与纠正精确性"", ""领域知识专业性""]","[""__key__"", ""generated_responses"", ""principle"", ""question""]",unknown,22354,"{""__key__"": ""指令遵循与任务完成"", ""principle"": ""指令遵循与任务完成"", ""question"": ""学科:地理\n学制级别:小学\n知识点：中国的地形特点\n问题类型：单选题\n.请根据学科,学制级别,知识点,问题类型生成一个对应的问题。\""问题\""和\""提供的思路\"":,以json格式返回"", ""generated_responses"": [{""score"": 1, ""response"": ""中国有哪些主要河流？长江和黄河是最长的两条河流，它们发源于青藏高原，流经多个省份后注入海洋。"", ""reason"": ""完全无视指令要求，没有生成单选题，内容与\""中国的地形特点\""知识点关联度低，格式完全不符合JSON要求，任务未完成""}, {""score"": 2, ""response"": ""{\""问题\"": \""中国的地形特点是什么？\"", \""答案\"": \""西高东低，呈三级阶梯状分布\""}"", ""reason"": ""对指令理解有偏差，虽然包含了问题但未按要求生成单选题，格式尝试使用JSON但结构不正确，任务完成度低""}, {""score"": 3, ""respo"
5-grades/5_50_metric_v3_questions_en.json,json,True,12,"[""Basic Factual Accuracy"", ""Clarity, Simplicity & Inspiration"", ""Content Relevance & Scope Control"", ""Domain Knowledge Accuracy"", ""Error Identification & Correction Precision"", ""Higher-Order Thinking & Skill Development"", ""Instruction Following & Task Completion"", ""Motivation, Guidance & Positive Feedback"", ""Personalization, Adaptation & Learning Support"", ""Reasoning Process Rigor"", ""Role & Tone Consistency"", ""Scenario Element Integration""]","[""__key__"", ""__value__""]",unknown,223037,"{""__key__"": ""Instruction Following & Task Completion"", ""__value__"": [""Question: Which of the following is a primary role of a marketing manager in an organization?\nOriginal Answer: Managing the financial accounts of the organization.\nYou are providing error-correction services for the student's response. Based on this question and the original answer, provide the \""Corrected Answer\"" and \""Error Explanation\"", in JSON format."", ""Anxiety Level: Mild Anxiety\nDialogue with Student: Agent: Hi the"
5-grades/5_50_metric_v3_questions_zh.json,json,True,12,"[""个性化适应与学习支持"", ""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""清晰易懂与表达启发"", ""激励引导与积极反馈"", ""角色与口吻一致性"", ""错误识别与纠正精确性"", ""领域知识专业性""]","[""__key__"", ""__value__""]",unknown,177356,"{""__key__"": ""指令遵循与任务完成"", ""__value__"": [""学科:地理\n学制级别:小学\n知识点：中国的地形特点\n问题类型：单选题\n.请根据学科,学制级别,知识点,问题类型生成一个对应的问题。\""问题\""和\""提供的思路\"":,以json格式返回"", ""学科:地理\n学制级别:初中\n问题：以下哪些国家位于非洲？\nA. 埃及\nB. 巴西\nC. 尼日利亚\nD. 日本\nE. 南非\n.请根据问题生成对应的答案。\""答案\"":,以json格式返回"", ""学科:文学与艺术\n学制级别:博士\n知识点：后现代主义文学理论\n问题类型：单选题\n.请根据学科,学制级别,知识点,问题类型生成一个对应的问题。\""问题\""和\""提供的思路\"":,以json格式返回"", ""问题：考虑一个两部门经济模型，其中一个部门生产消费品，另一个部门生产资本品。假设资本品的生产需要使用消费品作为投入，并且有一个固定的资本折旧率。请分析如何在这个模型中达到动态效率，即如何选择消费和资本的生产以最大化社会福利。\n\n请根据这个问题提供思路。\""提供的思路\"":,以json格式返回"", "
5-grades/5_50_metric_v3_questions_zh_test.json,json,True,2,"[""个性化适应与学习支持"", ""指令遵循与任务完成""]","[""__key__"", ""__value__""]",unknown,790,"{""__key__"": ""指令遵循与任务完成"", ""__value__"": [""学科:地理\n学制级别:初中\n问题：以下哪些国家位于非洲？\nA. 埃及\nB. 巴西\nC. 尼日利亚\nD. 日本\nE. 南非\n.请根据问题生成对应的答案。\""答案\"":,以json格式返回""]}"
5-grades/5_groupby_metric_v3_eval_en.jsonl,jsonl,True,2785,[],"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]",llm_judge_output,6630372,"{""principle"": ""Instruction Following & Task Completion"", ""score"": 5, ""reason"": ""The answer fully understood and executed the user's instruction. It provided a detailed 'Learning Path Planning' and 'Personalized Recommendations' in the correct JSON format, aligning perfectly with the student profile and learning goals."", ""model"": ""qwen2.5-14b-instruct"", ""question"": ""{'Name': 'Alex Johnson', 'Age': 21, 'Current Education Level': 'Undergraduate', 'Current Skill Level': 'Intermediate', 'Learning Goa"
5-grades/5_groupby_metric_v3_eval_zh.jsonl,jsonl,True,2805,[],"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]",llm_judge_output,5424132,"{""principle"": ""指令遵循与任务完成"", ""score"": 5, ""reason"": ""完全理解并精准执行了用户的指令，生成了符合要求的个性化学习内容或任务，格式完全符合要求。"", ""model"": ""deepseek-v3"", ""question"": ""学生画像：学生的画像：{'姓名': '王小明', '年龄': 21, '年级': '大三', '专业': '临床医学', '学习风格': '偏好视觉学习', '兴趣': '外科手术、病理学', '当前挑战': '在解剖学应用上有困难', '目标': '提高解剖学的实际应用能力'}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回"", ""response"": ""```json\n{\n  \""个性化学习内容或任务\"": {\n    \""姓名\"": \""王小明\"",\n    \""年龄\"": 21,\n    \""年级\"": \""大三\"",\n    \""专业\"": \""临床医学\"",\n    \""学习风格\"": \""偏好视觉学习\"",\n    \""兴趣\"": \""外科手术、病理学\"","
5-grades/5_human_1.jsonl,jsonl,True,3366,[],"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]",human_annotation,6872550,"{""principle"": ""指令遵循与任务完成"", ""score"": 4, ""reason"": ""格式基本符合要求，但包含额外说明文字，非纯JSON格式。"", ""model"": ""qwen-max"", ""question"": ""学生画像：学生的画像：{'姓名': '李明', '年龄': 26, '背景': '本科工商管理学士，具有两年政府部门工作经验', '学习目标': '深入理解公共政策制定及其影响，提升数据分析能力用于政策评估', '兴趣': '社科研究，政策分析，社会经济发展', '学习风格': '偏向实践，喜欢通过案例学习', '挑战': '数据分析技能有待提升，理论概念记忆较慢'}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回"", ""response"": ""根据李明的学生画像，我为他设计了以下个性化的学习内容或任务：\n\n```json\n{\n  \""学生姓名\"": \""李明\"",\n  \""个性化学习计划\"": [\n    {\n      \""阶段\"": 1,\n      \""主题\"": \""公共政策基础理论与实践\"",\n"
5-grades/5_human_2.jsonl,jsonl,True,3366,[],"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]",human_annotation,6948525,"{""principle"": ""指令遵循与任务完成"", ""score"": 5, ""reason"": ""三阶段学习计划精准匹配画像需求：① 基础课程对应工商管理背景；② 数据分析项目直击技能短板；③ 高级政策分析契合研究兴趣。资源推荐与目标达成路径清晰。"", ""model"": ""qwen-max"", ""question"": ""学生画像：学生的画像：{'姓名': '李明', '年龄': 26, '背景': '本科工商管理学士，具有两年政府部门工作经验', '学习目标': '深入理解公共政策制定及其影响，提升数据分析能力用于政策评估', '兴趣': '社科研究，政策分析，社会经济发展', '学习风格': '偏向实践，喜欢通过案例学习', '挑战': '数据分析技能有待提升，理论概念记忆较慢'}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回"", ""response"": ""根据李明的学生画像，我为他设计了以下个性化的学习内容或任务：\n\n```json\n{\n  \""学生姓名\"": \""李明\"",\n  \""个性化学习计划\"": [\n    {\n   "
5-grades/5_human_3.jsonl,jsonl,True,3366,[],"[""model"", ""principle"", ""question"", ""reason"", ""response"", ""score""]",human_annotation,6996038,"{""principle"": ""指令遵循与任务完成"", ""score"": 4, ""reason"": ""采用分阶段学习计划，结构清晰且符合JSON格式；但存在字段大小写不一致（如“type”与“Type”混用），格式严谨性不足。"", ""model"": ""qwen-max"", ""question"": ""学生画像：学生的画像：{'姓名': '李明', '年龄': 26, '背景': '本科工商管理学士，具有两年政府部门工作经验', '学习目标': '深入理解公共政策制定及其影响，提升数据分析能力用于政策评估', '兴趣': '社科研究，政策分析，社会经济发展', '学习风格': '偏向实践，喜欢通过案例学习', '挑战': '数据分析技能有待提升，理论概念记忆较慢'}\n请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回"", ""response"": ""根据李明的学生画像，我为他设计了以下个性化的学习内容或任务：\n\n```json\n{\n  \""学生姓名\"": \""李明\"",\n  \""个性化学习计划\"": [\n    {\n      \""阶段\"": 1,"
