matched_pair_index,pair_id,source_sample_id,question_key,gold_label,rejected_score,risk_type,score_derived_risk_type,risk_type_matches_score_direction,ordinal_distance,has_human_reason,reason_hash
0,8512180d474dc676caae3e04435b7a2fdf6d9672,01cc5ff057b6de65aa7fc51623308f2c778c9ee7,fe8355c92fdedf86b46847c533ca17f018bc7679,5,1,high_to_low_real_model_error,high_to_low_real_model_error,True,4,True,d544eed2964bd71065950d678269130a5c8a4d8f
1,ae48af0d03e3d5c44fe3e5130e4144dd46484be8,069efce9a099285d7ca6da6c14beb40c0b846992,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,5,2,high_to_low_real_model_error,high_to_low_real_model_error,True,3,True,d904787978045e8641651216a9dcedcccfbc61c6
2,247e27654827b99dce0f3d7bd4f8b8cfbd3df611,078a7ec67d125c2319c7f26a2b09f6930ba294cb,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,cd80bb2a0c9676272b29a180ea9339d2f7c8b0f2
3,256d809ca8b7642c12ef0efc876e5e98756908be,08e17a89ec6bdaf01401e8273bb48c4a9389829d,7f281c5d001646c5cd068f561302e9f2c1b03a4e,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,31329155da71e91677122a70b01a8a2e980baf00
4,67572d18fafa5e279c3b2b5e83f4d350f7902033,09202b8fad82a0e2d357f9671cae70d0a8b29349,d2dfb2224f4f7d3f932930cf1d4240b74deb2f11,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,5b18fabad5e6831b95b0268124ebb94c442e6c71
5,15f4c6123f3a4f56167d11d8d289a2da7c673db5,118543b6ffd1f0b7fc57b078ffd51c77f796b610,fe8355c92fdedf86b46847c533ca17f018bc7679,5,1,high_to_low_real_model_error,high_to_low_real_model_error,True,4,True,3c58494d75b94e04d128c89a9b320d4cd4ce2546
6,6c2886742d5dd87e4f390121bd81ec45486f43b7,1214a9796760bb201b38fce79c99471cc31271d2,474e1de7818e5730139801b4f471b28d6fa78a15,5,1,high_to_low_real_model_error,high_to_low_real_model_error,True,4,True,2c7976490e075e0c7ca73bb06c009a5a86d4b6e7
7,da8990214fcc4dec33e502aac9ff11514ec3327e,131797f974b039a303f85e62bde66f7f8dffe4bc,5190426b37344a5dd70adf4894aacc1fb868cdff,5,1,high_to_low_real_model_error,high_to_low_real_model_error,True,4,True,8f02490049767754eef189c64d4bd02019dc2123
8,3404cacf3582b45c453fa7ed2373af58b6bccff7,131797f974b039a303f85e62bde66f7f8dffe4bc,5190426b37344a5dd70adf4894aacc1fb868cdff,5,2,high_to_low_real_model_error,high_to_low_real_model_error,True,3,True,8f02490049767754eef189c64d4bd02019dc2123
9,68db0c640c104cee75d6be9bd03470c513bbe0ed,13d04f08a0d70c9f135178c8257a87a5dbeb4f4a,ac5843a5b2798e8500cac73be37d8147d820498f,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,ad5627fa01167b29985e5116aef0995f8bb479a0
10,3c351d6aafaec76c80288128873a580042c0d1da,174cb745b1e9218726a6d0e749f43d68cf936226,f7f8e6254e81a50cd0db26f7a0b465bd860ee691,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,d9780a9c961f03d4f625f05d8310e3a5f57c2a83
11,0b2dd82bfa536392bdf062c2463e01c758fd41f9,19c0fa03c864642d8bc83f2794cc14fb1adbf199,7d31b9d0eef59066afff9ba848a799e2668bbed2,5,2,high_to_low_real_model_error,high_to_low_real_model_error,True,3,True,9002574decaf041772b7c9b6a1b908708fea5e98
12,89e9197bff9b091845865ad5f877351c7e8b7748,19cde12137f089d93000c830e674b7341c697dd6,4313f036000c452831d9baa30d1ba9a9a6cc0647,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,e8c323f2261168fc744348837998e0f1c6efccbf
13,265068195f912979b35473a6c6feafb4de197198,1a0f4a9acff8c5f12ef858d9422598660d9d0300,d54a888f57ecd3934df1e807afdeaf64b71d457c,5,2,high_to_low_real_model_error,high_to_low_real_model_error,True,3,True,36c26565531833d4667e463d1569b5cf60b522a9
14,228e559bf75d4fd355ec8c97b137a873f4558fde,1b0ddc727cc651454f7823b107d6bc27e25fd4f6,5190426b37344a5dd70adf4894aacc1fb868cdff,4,1,high_to_low_real_model_error,high_to_low_real_model_error,True,3,True,936e6a289fb5f23df0d5226143322135b30f2007
15,49405cc32b89b1392369b15060f67870097185dd,1b0ddc727cc651454f7823b107d6bc27e25fd4f6,5190426b37344a5dd70adf4894aacc1fb868cdff,4,2,high_to_low_real_model_error,high_to_low_real_model_error,True,2,True,936e6a289fb5f23df0d5226143322135b30f2007
16,a0aaaf3dca2813b113ceb4950f44ed1a4b107812,1ed8673a0b565be508367b6627587dd6371b268a,474e1de7818e5730139801b4f471b28d6fa78a15,5,1,high_to_low_real_model_error,high_to_low_real_model_error,True,4,True,48c72b818cd694cd4c4831b1e20d8e93a0d832af
