eval_index,sample_id,question_key,question_group_id,metric,language,subject,gold_label,answer_chars,answer_words,candidate_pool,failure_mode_auto,hidden_failure_candidate_type,recommended_training_use,confidence_weight,prompt_hash,recovered_reason_hash
0,26347fdbe0a04b7bfbc0e5079be670bb041a82f8,2c3431500658778ea0788f7745c59f0b024746a9,2c3431500658778ea0788f7745c59f0b024746a9,Scenario Element Integration,en,Crop Science,2,1665,195,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,3fa222afab4ae1351c93d8f9eb62fd532ea4085d,6b7b00f6d23e79937d3d3ea80fdfa897a78e6b5b
1,b51fe8038ded98685f2c18b27990ce26056dfc17,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,1082,164,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,179d0f3e9c60826a2e3d4699e82ca34f95abd8f1,e8e761def6ff7949dde1cd22a61b2b7954977b7c
2,1b5df375ab0c6d48d21dc9a88fd408b29454ff67,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,1082,164,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,035be24cdca419071f7b16b4bcc981b07797ca50,8f9ef1da33ba89b2be467a871332364429b416c8
3,7a5ae2c79851e40cccaf47deb5d4953023576ec9,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,1060,156,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,25c37705c2a48b4708be146936bd8eb7ebb6fa44,10a5356ba6a3cd7a9af7842e4f2aa01f0a5ee330
4,78a2f1f17b59206fae3cdedb6b11a9fef084b670,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,1060,156,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,056ca164ed4e82c8d50b29ea612850e46684a02c,d4e2ab9fd20d6d9c9030fc70c01f5039dd6a73d4
5,f51251a778d6f6601796be0ed017d6173d91d44b,7d31b9d0eef59066afff9ba848a799e2668bbed2,7d31b9d0eef59066afff9ba848a799e2668bbed2,Higher-Order Thinking & Skill Development,en,Basic Medicine,2,1015,136,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,d170fd02149eab10d6f32bbc36b84b7a848d846f,8007e0852c1c8af047fb570dd2efbd3ef0cdb67e
6,d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,Error Identification & Correction Precision,en,Theoretical Economics,2,969,127,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,f47ff99ce7db749dc99eb48d6c4a1400834f825a,a1a88d9d29fb1ab96319226b74b1c23a98126fa8
7,7dfd63e7375e5474e2df047ebe282cf4ba8661b8,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,865,133,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,985265736ffa1ef79de65965c78b4d92ec682a8d,b6c1f5e2d2eb6d2e55f911de2e64e3d453c0abdc
8,b98b50d95782304d48d08ccbe6eda435ec3f66c7,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,846,125,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,09802e9ffd558226901f477ea1f53dfb04d93314,debd86162fb2656384dc80e4c862e5e6b0c6ce4f
9,a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Reasoning Process Rigor,en,Business Administration,2,846,125,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,3eddc674a68f5db7f277a536fbfb8c64acbab42b,6a481fa9db7229673ef640e6e76a19cb2370a7ec
10,13af8e6896f2be6cf223e45bf4f1652fe39fe7d3,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,846,125,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,f4ced55116935a9d7d731be5f2dfc89429252924,bc9b5f24b61d52bd8658b86a66949d23bec8be7c
11,1905d9dcdf2880df39d9d380624436abd892da5a,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,762,117,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,edd5b3f96414d47f24d0b97ae95430558dd06d82,13af77013b6908db6e0c8aaf0ab50809ae254abb
12,107a460ba82cd473b9a08a5d43257a7f1d336874,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,Error Identification & Correction Precision,en,Theoretical Economics,2,744,107,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,1cdade8828891d49b81c8d203d65009b811de708,703fd08ca37f007d84c6d6988dc921933bffa75b
13,25a37166756d804397ce1540111f9b80f5bd477b,c367d1e3134b022584248f014a7b59640f1df7fb,c367d1e3134b022584248f014a7b59640f1df7fb,Higher-Order Thinking & Skill Development,zh,Clinical Medicine,2,738,58,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,e018f6eb974e2d07385eb64899d853684e494109,a27500cc4cb71febfd8e770c9a1fb6324a365b5d
14,ef7be96d3b20f985cb175937b67d094d4d204dcc,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,623,93,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,20320e7b761dd0fd1535aa530e812bd6718e9580,7233d13a1036a21694f212ce7f405dc2d071d410
