evaluator,metric_canonical,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
EduBenchEvaluator,Basic Factual Accuracy,255,255,0.23529411764705876,0.04967320261437903,0.8666666666666667,0.4321821384080173
EduBenchEvaluator,"Clarity, Simplicity & Inspiration",198,198,0.39730639730639733,0.2626262626262627,0.6717171717171717,0.4804132707708948
EduBenchEvaluator,Content Relevance & Scope Control,272,272,0.29901960784313725,0.053921568627450935,0.8088235294117647,0.4912655980376288
EduBenchEvaluator,Domain Knowledge Accuracy,157,157,0.316348195329087,0.16772823779193208,0.7770700636942676,0.6227444832278055
EduBenchEvaluator,Error Identification & Correction Precision,39,39,0.17094017094017092,0.08547008547008551,0.9230769230769231,0.7972305149234553
EduBenchEvaluator,Higher-Order Thinking & Skill Development,205,205,0.7544715447154472,0.6926829268292685,0.5219512195121951,0.29452041119988026
EduBenchEvaluator,Instruction Following & Task Completion,376,376,0.35106382978723405,0.0017730496453900741,0.7420212765957447,0.550505122182242
EduBenchEvaluator,"Motivation, Guidance & Positive Feedback",85,85,0.8862745098039215,0.792156862745098,0.43529411764705883,0.23505549951308644
EduBenchEvaluator,"Personalization, Adaptation & Learning Support",125,125,0.336,0.23466666666666675,0.768,0.7061746328608997
EduBenchEvaluator,Reasoning Process Rigor,178,178,0.8089887640449438,0.6891385767790262,0.6573033707865169,0.5399348230569376
EduBenchEvaluator,Role & Tone Consistency,95,95,0.2947368421052631,0.02807017543859659,0.8210526315789474,0.6015237472827197
EduBenchEvaluator,Scenario Element Integration,233,233,0.4907010014306152,0.3733905579399142,0.6866952789699571,0.46532686044422467
GPT-4o,Basic Factual Accuracy,255,255,0.24967320261437906,0.2418300653594771,0.8745098039215686,0.10808733842939047
GPT-4o,"Clarity, Simplicity & Inspiration",198,194,0.5790378006872853,0.2457044673539519,0.4536082474226804,0.0591002748403584
GPT-4o,Content Relevance & Scope Control,272,272,0.3112745098039215,0.29656862745098034,0.8088235294117647,0.12046421936438687
GPT-4o,Domain Knowledge Accuracy,157,157,0.5074309978768577,0.35881104033970274,0.5668789808917197,0.09322533889341647
GPT-4o,Error Identification & Correction Precision,39,36,0.564814814814815,0.564814814814815,0.6111111111111112,
GPT-4o,Higher-Order Thinking & Skill Development,205,199,0.7872696817420436,0.46901172529313245,0.35175879396984927,0.24056937689244678
GPT-4o,Instruction Following & Task Completion,376,376,0.47606382978723405,0.43528368794326244,0.6329787234042553,0.022518985566371896
GPT-4o,"Motivation, Guidance & Positive Feedback",85,81,0.6790123456790125,0.6131687242798355,0.4567901234567901,0.6062623302921702
GPT-4o,"Personalization, Adaptation & Learning Support",125,118,0.6779661016949153,0.6214689265536724,0.5338983050847458,0.20317545067209686
GPT-4o,Reasoning Process Rigor,178,176,1.5757575757575757,1.4734848484848484,0.3977272727272727,-0.005353640946409904
GPT-4o,Role & Tone Consistency,95,95,0.568421052631579,0.5333333333333334,0.43157894736842106,0.21645999668848603
GPT-4o,Scenario Element Integration,233,233,0.6809728183118742,0.4120171673819743,0.4291845493562232,0.2409856663177239
DeepSeek-R1,Basic Factual Accuracy,255,255,0.2758169934640522,0.06928104575163394,0.8549019607843137,0.25477045414721683
DeepSeek-R1,"Clarity, Simplicity & Inspiration",198,198,0.5875420875420876,0.025252525252525308,0.4494949494949495,0.03474870689712249
DeepSeek-R1,Content Relevance & Scope Control,272,272,0.3259803921568627,0.23039215686274503,0.7904411764705882,0.10707010032850965
DeepSeek-R1,Domain Knowledge Accuracy,157,157,0.49044585987261147,0.3078556263269639,0.5923566878980892,0.28295739997001024
DeepSeek-R1,Error Identification & Correction Precision,39,39,0.512820512820513,0.4957264957264958,0.6666666666666666,0.2091390733364589
DeepSeek-R1,Higher-Order Thinking & Skill Development,205,205,0.6715447154471544,0.14146341463414652,0.45365853658536587,0.3827740897856283
DeepSeek-R1,Instruction Following & Task Completion,376,376,0.4512411347517731,0.33421985815602834,0.675531914893617,0.24732127332148499
DeepSeek-R1,"Motivation, Guidance & Positive Feedback",85,85,0.7215686274509804,-0.12549019607843123,0.4,0.5017487029092954
DeepSeek-R1,"Personalization, Adaptation & Learning Support",125,125,0.5466666666666669,0.4026666666666667,0.544,0.43879300382166503
DeepSeek-R1,Reasoning Process Rigor,178,178,1.5280898876404494,1.3632958801498127,0.38202247191011235,-0.06049799576198268
DeepSeek-R1,Role & Tone Consistency,95,95,0.5333333333333334,0.512280701754386,0.4631578947368421,0.32943939981286524
DeepSeek-R1,Scenario Element Integration,233,233,0.8082975679542205,0.47639484978540786,0.40772532188841204,0.0694472034970712
DeepSeek-V3,Basic Factual Accuracy,255,255,0.26535947712418295,0.19477124183006533,0.8705882352941177,0.07843550291742551
DeepSeek-V3,"Clarity, Simplicity & Inspiration",198,198,0.5336700336700337,0.19696969696969704,0.5151515151515151,0.13507611451366017
DeepSeek-V3,Content Relevance & Scope Control,272,272,0.3480392156862745,0.2745098039215686,0.7904411764705882,-0.04291316964471296
DeepSeek-V3,Domain Knowledge Accuracy,157,157,0.5031847133757962,0.48619957537154995,0.5732484076433121,0.1657137033822171
DeepSeek-V3,Error Identification & Correction Precision,39,39,0.5470085470085473,0.5470085470085473,0.6153846153846154,
DeepSeek-V3,Higher-Order Thinking & Skill Development,205,205,0.6845528455284555,0.4243902439024392,0.4682926829268293,0.312414199326298
DeepSeek-V3,Instruction Following & Task Completion,376,376,0.4751773049645391,0.42198581560283693,0.6382978723404256,0.04356907803847243
DeepSeek-V3,"Motivation, Guidance & Positive Feedback",85,85,0.7647058823529413,0.6862745098039219,0.4588235294117647,0.4316398730645358
DeepSeek-V3,"Personalization, Adaptation & Learning Support",125,125,0.6293333333333334,0.6026666666666669,0.552,0.3901979292465112
DeepSeek-V3,Reasoning Process Rigor,178,178,1.4887640449438202,1.447565543071161,0.42696629213483145,0.07839048744260911
DeepSeek-V3,Role & Tone Consistency,95,95,0.5614035087719299,0.5333333333333334,0.4421052631578947,0.23792203602020562
DeepSeek-V3,Scenario Element Integration,233,233,0.5951359084406296,0.30901287553648077,0.5278969957081545,0.3523232325730399
QwQ-plus,Basic Factual Accuracy,255,255,0.30849673202614375,0.17516339869281042,0.8470588235294118,-0.007831090315183312
QwQ-plus,"Clarity, Simplicity & Inspiration",198,193,0.5613126079447324,-0.03281519861830737,0.5077720207253886,0.015212255894221314
QwQ-plus,Content Relevance & Scope Control,272,272,0.33455882352941174,0.2708333333333333,0.7977941176470589,0.09396895796668478
QwQ-plus,Domain Knowledge Accuracy,157,156,0.4551282051282051,0.33974358974358976,0.6153846153846154,0.3257891097964507
QwQ-plus,Error Identification & Correction Precision,39,39,0.572649572649573,0.47008547008547025,0.6153846153846154,0.1806688576313513
QwQ-plus,Higher-Order Thinking & Skill Development,205,197,0.6937394247038918,0.12182741116751285,0.4467005076142132,0.37196834347067653
QwQ-plus,Instruction Following & Task Completion,376,376,0.46453900709219853,0.3687943262411348,0.6542553191489362,0.1605253950108767
QwQ-plus,"Motivation, Guidance & Positive Feedback",85,83,0.5742971887550201,0.1325301204819279,0.5060240963855421,0.5951694994335968
QwQ-plus,"Personalization, Adaptation & Learning Support",125,120,0.5777777777777778,0.5055555555555556,0.5916666666666667,0.34270167480744357
QwQ-plus,Reasoning Process Rigor,178,177,1.566854990583804,1.52165725047081,0.4350282485875706,-0.027781585243683737
QwQ-plus,Role & Tone Consistency,95,95,0.536842105263158,0.5228070175438597,0.4631578947368421,0.31948950926679054
QwQ-plus,Scenario Element Integration,233,233,0.7954220314735336,0.6781115879828327,0.4678111587982833,0.21741322348063877
