artifact,path,exists,expected_rows,availability,byte_size,sha256,hash_status
paper_like_train,thesis_exp/data/splits/paper_like_triple_seed42/train.jsonl,True,2654,AVAILABLE,11749497,0a1733b9209984c5c4291d205d1ac6057bed341717903b9de075d07de44a878e,HASHED
exp43_e4_private_optional,thesis_exp/exp43_rubimor/outputs/exp43_rubimor_preregistered/private/data/exp43_train_E4.jsonl,True,2654,AVAILABLE,9709026,30e12d1d94762ac2a0ff7484ab50ab22a302f056773bd890156d61fdf395f1e8,HASHED
fold_assignment,thesis_exp/exp43_rubimor/outputs/exp43_rubimor_preregistered/private/data/exp43_groupcv_fold_assignment.csv,True,2654,AVAILABLE,222964,a8006d9cec881cd1670877432aa470b2367615cada3662b7613b1a483432822d,HASHED
exp46_teacher_decision,thesis_exp/exp46_hato_kd/outputs/exp46a_hato_seed42/decision/exp46a_teacher_capacity_decision.json,True,,AVAILABLE,2847,eb2213799c6850960467c3168800178d8e9dbfc53a9ed1fbc7717f846e2bd75c,HASHED
0.6b_fold_0_heldout,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_0/heldout_predictions.jsonl,True,,AVAILABLE,12794610,0f4782d0c751834485ee2f682415e61b135dfb78fe6bf3ad3733718f7a2f1322,HASHED
0.6b_fold_0_summary,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_0/run_summary.json,True,,AVAILABLE,9484,17f67485da06381be02f1d532e2ab9e02c41aad6c4a4f71da632a548fac725f8,HASHED
0.6b_fold_0_checkpoint,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_0/model.pt,False,,MISSING,,,NOT_AVAILABLE
4b_fold_0_all_logits,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_0/teacher_logits_all.jsonl,True,2654,AVAILABLE,519988,f75d41f6741eab6931d5707909d02043d453278c65b5638b37da0e322ec97b2f,HASHED
4b_fold_0_heldout,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_0/heldout_predictions.jsonl,True,,AVAILABLE,384545,e12cbbbf485c65c6183ea367f04f37a92651f2063b10b451a6e2b7613a3b1413,HASHED
4b_fold_0_summary,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_0/run_summary.json,True,,AVAILABLE,6718,51ee27ab623df60e46757fa0036557da90b841e1e77cb90a1f1edabb0386ecd2,HASHED
4b_fold_0_adapter,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_0/teacher_adapter_and_head.pt,True,,AVAILABLE,132356764,,SKIPPED_HEAVY_PRIVATE
0.6b_fold_1_heldout,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_1/heldout_predictions.jsonl,True,,AVAILABLE,11642300,7ea016164d3402b1390a46004dcf5dcc0f8d0a9f02267b8cae12d1c59c6b49f0,HASHED
0.6b_fold_1_summary,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_1/run_summary.json,True,,AVAILABLE,9510,e8610a08aee4394c8388ad349c5b55e0d9e0542d1a8fc7fd26fdf0954b0194cd,HASHED
0.6b_fold_1_checkpoint,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_1/model.pt,False,,MISSING,,,NOT_AVAILABLE
4b_fold_1_all_logits,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_1/teacher_logits_all.jsonl,True,2654,AVAILABLE,519691,405307da6d2710d8d98d80f6c9ac69a7727679f7d140a86864479dc54dcac122,HASHED
