check,left_variant,right_variant,mismatch_count,status
sample_id_order,v0_original_unweighted,v1_original_label_matched_weight,0,PASS
core_input_hash,v0_original_unweighted,v1_original_label_matched_weight,0,PASS
sample_id_order,v0_original_unweighted,v2_selective_hard_relabel,0,PASS
core_input_hash,v0_original_unweighted,v2_selective_hard_relabel,0,PASS
sample_id_order,v0_original_unweighted,v3_selective_soft_audit,0,PASS
core_input_hash,v0_original_unweighted,v3_selective_soft_audit,0,PASS
label_5,v0_original_unweighted,v1_original_label_matched_weight,0,PASS
label_5,v2_selective_hard_relabel,v3_selective_soft_audit,0,PASS
sample_weight,v1_original_label_matched_weight,v2_selective_hard_relabel,0,PASS
sample_weight,v2_selective_hard_relabel,v3_selective_soft_audit,0,PASS
sample_weight,v1_original_label_matched_weight,v3_selective_soft_audit,0,PASS
v2_one_hot_matches_label,v2_selective_hard_relabel,v2_selective_hard_relabel,0,PASS
