rubric_mode,language,metric_a,metric_b,similarity,exact_duplicate,severity,notes
proposed,en,Basic Factual Accuracy,"Clarity, Simplicity & Inspiration",0.04247104247104247,False,PASS,ok
proposed,en,Basic Factual Accuracy,Content Relevance & Scope Control,0.0967741935483871,False,PASS,ok
proposed,en,Basic Factual Accuracy,Domain Knowledge Accuracy,0.15828677839851024,False,PASS,ok
proposed,en,Basic Factual Accuracy,Error Identification & Correction Precision,0.10220264317180616,False,PASS,ok
proposed,en,Basic Factual Accuracy,Higher-Order Thinking & Skill Development,0.0698967434471803,False,PASS,ok
proposed,en,Basic Factual Accuracy,Instruction Following & Task Completion,0.06739679865206402,False,PASS,ok
proposed,en,Basic Factual Accuracy,"Motivation, Guidance & Positive Feedback",0.05183199285075961,False,PASS,ok
proposed,en,Basic Factual Accuracy,"Personalization, Adaptation & Learning Support",0.09523809523809523,False,PASS,ok
proposed,en,Basic Factual Accuracy,Reasoning Process Rigor,0.0712223291626564,False,PASS,ok
proposed,en,Basic Factual Accuracy,Role & Tone Consistency,0.08913649025069638,False,PASS,ok
proposed,en,Basic Factual Accuracy,Scenario Element Integration,0.12321428571428572,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Content Relevance & Scope Control,0.07388316151202749,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Domain Knowledge Accuracy,0.10304054054054054,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Error Identification & Correction Precision,0.09799196787148594,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Higher-Order Thinking & Skill Development,0.06428049671292914,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Instruction Following & Task Completion,0.08789514263685427,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration","Motivation, Guidance & Positive Feedback",0.06672091131000814,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration","Personalization, Adaptation & Learning Support",0.07790008467400508,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Reasoning Process Rigor,0.09399477806788512,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Role & Tone Consistency,0.11120471777590564,False,PASS,ok
proposed,en,"Clarity, Simplicity & Inspiration",Scenario Element Integration,0.07154471544715447,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Domain Knowledge Accuracy,0.07487520798668885,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Error Identification & Correction Precision,0.057007125890736345,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Higher-Order Thinking & Skill Development,0.07498197548666186,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Instruction Following & Task Completion,0.08365019011406843,False,PASS,ok
proposed,en,Content Relevance & Scope Control,"Motivation, Guidance & Positive Feedback",0.06575781876503609,False,PASS,ok
proposed,en,Content Relevance & Scope Control,"Personalization, Adaptation & Learning Support",0.0817347789824854,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Reasoning Process Rigor,0.0856898029134533,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Role & Tone Consistency,0.07966804979253111,False,PASS,ok
proposed,en,Content Relevance & Scope Control,Scenario Element Integration,0.09294871794871795,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,Error Identification & Correction Precision,0.07326578332034295,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,Higher-Order Thinking & Skill Development,0.05970149253731343,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,Instruction Following & Task Completion,0.06142322097378277,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,"Motivation, Guidance & Positive Feedback",0.056827150749802685,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,"Personalization, Adaptation & Learning Support",0.07547169811320754,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,Reasoning Process Rigor,0.07750631844987363,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,Role & Tone Consistency,0.0963265306122449,False,PASS,ok
proposed,en,Domain Knowledge Accuracy,Scenario Element Integration,0.05993690851735016,False,PASS,ok
proposed,en,Error Identification & Correction Precision,Higher-Order Thinking & Skill Development,0.07629427792915532,False,PASS,ok
proposed,en,Error Identification & Correction Precision,Instruction Following & Task Completion,0.1318051575931232,False,PASS,ok
