variant,label_5,count
v0_original_unweighted,1,58
v0_original_unweighted,2,53
v0_original_unweighted,3,297
v0_original_unweighted,4,1163
v0_original_unweighted,5,1755
v1_original_label_matched_weight,1,58
v1_original_label_matched_weight,2,53
v1_original_label_matched_weight,3,297
v1_original_label_matched_weight,4,1163
v1_original_label_matched_weight,5,1755
v2_selective_hard_relabel,1,53
v2_selective_hard_relabel,2,48
v2_selective_hard_relabel,3,264
v2_selective_hard_relabel,4,1178
v2_selective_hard_relabel,5,1783
v3_selective_soft_audit,1,53
v3_selective_soft_audit,2,48
v3_selective_soft_audit,3,264
v3_selective_soft_audit,4,1178
v3_selective_soft_audit,5,1783
