split,variant,sample_id_hash,question_tokens,question_truncated,metric_tokens,metric_truncated,answer_tokens,answer_truncated,input_tokens,rubric_tokens,rubric_truncated,metadata_tokens,metadata_truncated
train,E0,d9fe18e415dc69845735e81a45c56fc647695445eb298ac621ca38efa156a169,113,False,5,False,353,False,486,0,False,0,False
train,E0,86561f4745c1c559db76e35b636b0bb69898c43ed5777e08ed79bc51ff1e8513,113,False,8,False,353,False,489,0,False,0,False
train,E0,ec8ff13ec155d815d86c647c345eadaa31207343dfec7d55a55be34671b2d591,115,False,5,False,342,False,477,0,False,0,False
train,E0,5457896d0ace24f91da420a18be022efe1833ec7b7bb06dac8ba3bc7afbb6bfa,115,False,3,False,342,False,475,0,False,0,False
train,E0,aa190cc84856434b581f0a6fb7c9cc9dd56b12925b792819d0d31eb062944353,115,False,8,False,342,False,480,0,False,0,False
train,E0,a1018d1de30c4f2a0953fdcba05288ec742bdb644532da04547c2e132a516686,133,False,8,False,280,False,436,0,False,0,False
train,E0,5272c88c369c412ca1123b40c36e13c1f2c17ed1e9092429bdafed218c597c3a,133,False,5,False,528,False,681,0,False,0,False
train,E0,10f8fe63e6d11719173664c10fb2574cf437ec0dc4218f102d9947b71fb39637,133,False,3,False,528,False,679,0,False,0,False
train,E0,3efca22a3e08f3f53d7e48deb11cb2adc8d886b1aa307f3b3510bd9f439ddf1d,133,False,8,False,528,False,684,0,False,0,False
train,E0,801b6fd1f5627599bd528aec617a6a4d2dcd8398fcd041bf896594bf6ea50b5c,115,False,5,False,569,False,704,0,False,0,False
train,E0,9ead254de7507d50bf2da4401469292a940bc974b87181b81c8fdad9d6092501,115,False,3,False,569,False,702,0,False,0,False
train,E0,459885006ef96a3686c82a333d2604f0842990919d134e840d2f277e98610939,115,False,8,False,569,False,707,0,False,0,False
train,E0,3ae0acc5a30fcfc8c12ca288fdb887da96456d64b2271b2c4443e869e98df6bf,89,False,3,False,368,False,475,0,False,0,False
train,E0,ceb834c2161eedd4b3c1dd8117ab4285629353f08c6ea6d80b0373192c81f881,89,False,8,False,368,False,480,0,False,0,False
train,E0,0bd59450345a4703217634591926bf488aeae791efdd5837c3b9e3d26dbbe6cf,107,False,5,False,287,False,414,0,False,0,False
train,E0,7ef84cf14f5dd29dbeeb65d67bccbbfb5a50d3a950833438e6dc5aa53255f82e,107,False,3,False,287,False,412,0,False,0,False
train,E0,933dfc3d0c728294a62a266a494729ac20d020739b601da585c2178aba265d6e,113,False,5,False,529,False,662,0,False,0,False
train,E0,3e0ee60f80db6b5645d458a1692afbbe523041b02bf1b29d0c2931a9ed23e45f,107,False,5,False,783,False,910,0,False,0,False
train,E0,1b716d2331014407b14928305cfb4410474fbca90e2a1bf31b5fbc02a28876ea,107,False,8,False,783,False,913,0,False,0,False
train,E0,9817fab72e5be3e351b8ffed94f128f4fbb1af22daa069753a95e77defbf83d7,113,False,3,False,604,False,735,0,False,0,False
train,E0,9d8bcec2e4db3b69a915e93a48b50351df63c833b38373b342a0418706bfb721,115,False,3,False,734,False,867,0,False,0,False
train,E0,1f55ac617f3ef93f4078651176f04c996a579b23027273c2762fe389fb3b7797,115,False,8,False,734,False,872,0,False,0,False
train,E0,8f6ce5d6af1bbdfa129f424716b58619183854083093efb43a8eb746314642b5,89,False,5,False,397,False,506,0,False,0,False
train,E0,0afc75ec280e2018689470575a81c5cc8f958275a3f0cf05ba916bc7135c0f62,115,False,8,False,765,False,903,0,False,0,False
