prompt_config,split,metric,n,MAE,QWK,low_to_high_count,low_to_high_rate,high_to_low_count,high_to_low_rate,label2_recall,label5_recall,mean_pred_low
R0C_0_exact_r0a_reproduction,dev,Basic Factual Accuracy,130,0.7615384615384615,0.16030004167245449,0,0.0,16,0.1322314049586777,1.0,0.7545454545454545,2.0
R0C_0_exact_r0a_reproduction,dev,"Clarity, Simplicity & Inspiration",90,0.8111111111111111,-0.01639016590045972,4,1.0,0,0.0,0.0,0.9333333333333333,5.0
R0C_0_exact_r0a_reproduction,dev,Content Relevance & Scope Control,125,0.416,0.1278103887473696,0,0.0,5,0.042735042735042736,0.5,0.9183673469387755,2.5
R0C_0_exact_r0a_reproduction,dev,Domain Knowledge Accuracy,65,0.6153846153846154,0.0539721043056397,0,nan,0,0.0,nan,1.0,nan
R0C_0_exact_r0a_reproduction,dev,Error Identification & Correction Precision,35,1.0285714285714285,-0.24806201550387574,5,1.0,2,0.06896551724137931,0.0,0.6666666666666666,5.0
R0C_0_exact_r0a_reproduction,dev,Higher-Order Thinking & Skill Development,83,0.9879518072289156,0.2452401250355214,4,0.5714285714285714,0,0.0,0.0,1.0,3.7142857142857144
R0C_0_exact_r0a_reproduction,dev,Instruction Following & Task Completion,200,0.625,0.09486166007905139,6,0.8571428571428571,5,0.027624309392265192,0.14285714285714285,0.9716981132075472,4.571428571428571
R0C_0_exact_r0a_reproduction,dev,"Motivation, Guidance & Positive Feedback",60,1.3166666666666667,0.030035335689045928,8,0.8888888888888888,1,0.027777777777777776,0.0,1.0,4.666666666666667
R0C_0_exact_r0a_reproduction,dev,"Personalization, Adaptation & Learning Support",70,0.7428571428571429,0.0,1,1.0,0,0.0,0.0,1.0,5.0
R0C_0_exact_r0a_reproduction,dev,Reasoning Process Rigor,84,1.2976190476190477,-0.04238890639773096,15,0.9375,5,0.07936507936507936,0.0,0.8888888888888888,4.8125
R0C_0_exact_r0a_reproduction,dev,Role & Tone Consistency,50,0.54,0.0,0,nan,0,0.0,nan,1.0,nan
R0C_0_exact_r0a_reproduction,dev,Scenario Element Integration,115,0.6173913043478261,0.03679060665362033,4,1.0,0,0.0,0.0,0.8367346938775511,5.0
R0C_1_balanced_failure_first,dev,Basic Factual Accuracy,130,2.5234375,0.015499483350554955,0,0.0,107,0.8842975206611571,1.0,0.06363636363636363,2.0
R0C_1_balanced_failure_first,dev,"Clarity, Simplicity & Inspiration",90,1.9555555555555555,0.015462290943515256,0,0.0,67,0.8589743589743589,1.0,0.03333333333333333,2.0
R0C_1_balanced_failure_first,dev,Content Relevance & Scope Control,125,1.968,0.04894327030033374,0,0.0,84,0.717948717948718,1.0,0.29591836734693877,2.0
R0C_1_balanced_failure_first,dev,Domain Knowledge Accuracy,65,1.7692307692307692,-0.03234190008663029,0,nan,38,0.6333333333333333,nan,0.06896551724137931,nan
R0C_1_balanced_failure_first,dev,Error Identification & Correction Precision,35,2.2857142857142856,0.03448275862068961,0,0.0,25,0.8620689655172413,1.0,0.0,2.0
R0C_1_balanced_failure_first,dev,Higher-Order Thinking & Skill Development,83,1.0,0.27120042430314106,0,0.0,20,0.43478260869565216,1.0,0.35714285714285715,2.0
R0C_1_balanced_failure_first,dev,Instruction Following & Task Completion,200,1.4271356783919598,0.0289929078014185,1,0.14285714285714285,87,0.48066298342541436,0.8571428571428571,0.46226415094339623,2.4285714285714284
R0C_1_balanced_failure_first,dev,"Motivation, Guidance & Positive Feedback",60,1.0333333333333334,0.40573414422241527,2,0.2222222222222222,16,0.4444444444444444,0.75,0.6153846153846154,2.4444444444444446
R0C_1_balanced_failure_first,dev,"Personalization, Adaptation & Learning Support",70,1.7857142857142858,-0.02771586394030434,0,0.0,42,0.7,1.0,0.06896551724137931,2.0
R0C_1_balanced_failure_first,dev,Reasoning Process Rigor,84,1.8452380952380953,-0.3338813331340609,12,0.75,42,0.6666666666666666,1.0,0.1111111111111111,3.8125
R0C_1_balanced_failure_first,dev,Role & Tone Consistency,50,1.84,0.028620988725065133,0,nan,34,0.6938775510204082,nan,0.3333333333333333,nan
R0C_1_balanced_failure_first,dev,Scenario Element Integration,115,1.7043478260869565,-0.02185298898320376,0,0.0,70,0.6666666666666666,1.0,0.08163265306122448,2.0
R0C_2_evidence_required_cap,dev,Basic Factual Accuracy,130,2.6589147286821704,0.006303227471436079,0,0.0,114,0.9421487603305785,1.0,0.01818181818181818,2.0
R0C_2_evidence_required_cap,dev,"Clarity, Simplicity & Inspiration",90,1.9666666666666666,0.025765756134067508,0,0.0,62,0.7948717948717948,1.0,0.0,2.0
R0C_2_evidence_required_cap,dev,Content Relevance & Scope Control,125,2.664,0.0031159206703440523,0,0.0,115,0.9829059829059829,1.0,0.01020408163265306,2.0
R0C_2_evidence_required_cap,dev,Domain Knowledge Accuracy,65,1.9230769230769231,0.03418973314118179,0,nan,45,0.75,nan,0.0,nan
R0C_2_evidence_required_cap,dev,Error Identification & Correction Precision,35,2.3714285714285714,-0.11622962437987239,3,0.6,24,0.8275862068965517,0.25,0.0,3.2
R0C_2_evidence_required_cap,dev,Higher-Order Thinking & Skill Development,83,1.6385542168674698,0.0,0,0.0,46,1.0,1.0,0.0,2.0
R0C_2_evidence_required_cap,dev,Instruction Following & Task Completion,200,2.235,-0.011070749005362313,1,0.14285714285714285,164,0.9060773480662984,0.8571428571428571,0.07547169811320754,2.4285714285714284
R0C_2_evidence_required_cap,dev,"Motivation, Guidance & Positive Feedback",60,1.7833333333333334,-0.10061919504643968,2,0.2222222222222222,32,0.8888888888888888,0.5,0.0,2.6666666666666665
R0C_2_evidence_required_cap,dev,"Personalization, Adaptation & Learning Support",70,1.8857142857142857,0.03162055335968372,0,0.0,38,0.6333333333333333,1.0,0.0,2.0
R0C_2_evidence_required_cap,dev,Reasoning Process Rigor,84,1.8048780487804879,-0.2027501909854852,7,0.4375,40,0.6349206349206349,1.0,0.0,3.25
R0C_2_evidence_required_cap,dev,Role & Tone Consistency,50,2.38,0.001571297629959334,0,nan,47,0.9591836734693877,nan,0.041666666666666664,nan
R0C_2_evidence_required_cap,dev,Scenario Element Integration,115,2.234782608695652,-0.004441154700221883,0,0.0,99,0.9428571428571428,1.0,0.0,2.0
R0C_3_two_pass_balanced,dev,Basic Factual Accuracy,130,2.3153846153846156,-0.008915623825124674,0,0.0,98,0.8099173553719008,1.0,0.16363636363636364,2.0
