sample_id,label,label_region,qwen_score,deepseek_score,score_adjacent,qwen_failure_bucket,deepseek_failure_bucket,failure_bucket_match,qwen_derived_risk,deepseek_derived_risk,derived_risk_match
022806ec04a3b92cfcb17f3ba4951ae817c1f854,3,mid,2,3,True,hidden_or_missing_failure,visible_failure,False,unclear,low,False
18ae31b0930f4812f14b417a1b631e06c74e7410,3,mid,4,5,True,hidden_or_missing_failure,no_failure,False,low,low,True
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,1,low,2,2,True,hidden_or_missing_failure,visible_failure,False,unclear,high,False
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,2,5,False,hidden_or_missing_failure,no_failure,False,unclear,low,False
4a94159b2cfae1127c979628b87af3087401a413,3,mid,4,4,True,hidden_or_missing_failure,no_failure,False,low,low,True
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,3,4,True,hidden_or_missing_failure,no_failure,False,medium,low,False
6c2ca811835d3ab2cc459573f13c0ae3caf83824,3,mid,4,4,True,hidden_or_missing_failure,no_failure,False,low,low,True
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,5,high,2,2,True,hidden_or_missing_failure,visible_failure,False,high,high,True
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,3,mid,2,3,True,visible_failure,visible_failure,True,unclear,low,False
7b2343c0fac6f79059007d116f746842fe6a6637,1,low,4,1,False,no_failure,visible_failure,False,low,high,False
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,1,5,False,visible_failure,no_failure,False,unclear,low,False
a6a61e243a1f0c09ac86c3557bd39377eff935bc,3,mid,4,4,True,hidden_or_missing_failure,no_failure,False,low,low,True
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,3,5,False,hidden_or_missing_failure,no_failure,False,medium,low,False
b51fe8038ded98685f2c18b27990ce26056dfc17,2,low,1,4,False,hidden_or_missing_failure,no_failure,False,high,unclear,False
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,1,3,False,visible_failure,visible_failure,True,high,low,False
b93239ad93a7561a06f1b07c82c82f44bf81667e,3,mid,4,4,True,hidden_or_missing_failure,no_failure,False,low,low,True
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,3,2,True,hidden_or_missing_failure,hidden_or_missing_failure,True,medium,high,False
bd384e01426757c4dd86e755a75d5ef86fe6e59f,1,low,4,1,False,no_failure,hidden_or_missing_failure,False,low,high,False
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,2,4,False,visible_failure,no_failure,False,unclear,low,False
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,1,5,False,visible_failure,no_failure,False,unclear,low,False
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,5,high,2,5,False,hidden_or_missing_failure,no_failure,False,unclear,low,False
cd63948c28174674b09c1bed2f6fa389c8ec4a34,3,mid,4,4,True,hidden_or_missing_failure,no_failure,False,low,low,True
e226030ea01e090a606049052bd6c187688f7a7a,5,high,5,3,False,no_failure,visible_failure,False,low,low,True
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,3,mid,4,3,True,no_failure,hidden_or_missing_failure,False,low,medium,False
eebb6c2d0851b385f14d5f66295db77afd02c747,5,high,5,3,False,no_failure,hidden_or_missing_failure,False,low,medium,False
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,2,low,5,1,False,no_failure,visible_failure,False,low,high,False
ff657c059d6b1fdddbeae35add3c566377c0dd86,5,high,4,4,True,no_failure,hidden_or_missing_failure,False,low,low,True
