template_name,ablation_id,status,split,low_n,Acc@1,Acc@2,low_exact_match,low_MAE,low_signed_bias,low_to_high_rate,low_severe_overestimation_rate,mean_pred_low
A0_answer_only,A0,completed,dev,20,0.16666666666666666,0.0,0.05,2.5666666666666664,2.5666666666666664,0.9,0.95,4.35
A0_answer_only,A0,completed,test,103,0.0,0.2765957446808511,0.1262135922330097,2.9514563106796117,2.938511326860841,0.8446601941747572,0.8446601941747572,4.446601941747573
A1_question_answer,A1,completed,dev,20,0.16666666666666666,0.07142857142857142,0.1,2.1666666666666665,2.1666666666666665,0.65,0.7,3.95
A1_question_answer,A1,completed,test,103,0.0,0.23404255319148937,0.10679611650485436,2.711974110032363,2.7055016181229776,0.7864077669902912,0.8058252427184466,4.213592233009709
A2_question_answer_metric,A2,reused_exp02,dev,20,0.5,0.07142857142857142,0.2,1.7999999999999996,1.7666666666666664,0.7,0.75,3.55
A2_question_answer_metric,A2,reused_exp02,test,103,0.17857142857142858,0.2553191489361702,0.21359223300970873,1.9967637540453076,1.9773462783171523,0.5339805825242718,0.5825242718446602,3.4854368932038833
A3_question_answer_metric_rubric,A3,completed,dev,20,0.3333333333333333,0.14285714285714285,0.2,1.5666666666666667,1.5666666666666667,0.55,0.65,3.35
A3_question_answer_metric_rubric,A3,completed,test,103,0.08928571428571429,0.3617021276595745,0.21359223300970873,1.7864077669902914,1.7734627831715208,0.39805825242718446,0.5825242718446602,3.2815533980582523
A4_question_answer_metric_rubric_metadata,A4,completed,dev,20,0.5,0.14285714285714285,0.25,1.45,1.4166666666666665,0.5,0.5,3.2
A4_question_answer_metric_rubric_metadata,A4,completed,test,103,0.3392857142857143,0.3829787234042553,0.3592233009708738,1.6084142394822007,1.5695792880258899,0.44660194174757284,0.4563106796116505,3.0776699029126213
