sample_id,label,label_region,qwen_failure_visibility,deepseek_failure_visibility,failure_visibility_exact,qwen_raw_overestimation_risk,deepseek_raw_overestimation_risk,raw_overestimation_risk_exact,qwen_evidence_type,deepseek_evidence_type,evidence_type_exact,major_failures_jaccard
022806ec04a3b92cfcb17f3ba4951ae817c1f854,3,mid,hidden_failure,explicit_failure,False,high,high,True,verbatim_answer_span,verbatim_answer_span,True,0.5
0578273c54e1a724084529ebbc385f1bdd1076ea,1,low,no_major_failure,no_major_failure,True,low,low,True,not_applicable,verbatim_answer_span,False,1.0
06861366641747d8214ceee8efb257daab5915fd,2,low,missing_required_content,missing_required_content,True,medium,high,False,missing_required_content,missing_required_content,True,1.0
0a2ec1587d91e3e0c90bc2114bf0d552f4bf7391,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
107a460ba82cd473b9a08a5d43257a7f1d336874,2,low,explicit_failure,explicit_failure,True,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,0.0
18ae31b0930f4812f14b417a1b631e06c74e7410,3,mid,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
1947f424625d896777f4dbddef16ab9afb7730aa,1,low,missing_required_content,missing_required_content,True,medium,low,False,missing_required_content,missing_required_content,True,1.0
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,1,low,hidden_failure,explicit_failure,False,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,0.5
1f9fc6e36113728a15b2ce3acfbe2073b64d734d,3,mid,hidden_failure,hidden_failure,True,medium,medium,True,missing_required_content,rubric_mismatch,False,0.0
3085147813a8f48d70b8dbed81b3b72957cbc1ae,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
3624849d5e3d9a97bf8f9965e3f2aca0b53f7d66,3,mid,no_major_failure,no_major_failure,True,low,medium,False,not_applicable,not_applicable,True,1.0
378f7b2160c791b11e16c3dd68d76ed1363a3ff6,2,low,explicit_failure,explicit_failure,True,low,high,False,verbatim_answer_span,verbatim_answer_span,True,0.5
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,4,high,no_major_failure,no_major_failure,True,low,medium,False,not_applicable,not_applicable,True,1.0
3ba4af0cd6da089654cdea6d00de3244b80fc906,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,4,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4468842156d5b938a609185df023c4a860497e75,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,hidden_failure,no_major_failure,False,medium,low,False,verbatim_answer_span,not_applicable,False,0.0
481a18d6d4711b12ee76a9f0a8d37f55d25df1c4,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4a94159b2cfae1127c979628b87af3087401a413,3,mid,hidden_failure,no_major_failure,False,medium,medium,True,missing_required_content,not_applicable,False,0.0
4b41e17c2598dfa1e57d4a8a31387f8358ae9ab6,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
4d603e5ed030c00413f35f1852ebb1859d5dc6be,1,low,missing_required_content,missing_required_content,True,low,low,True,missing_required_content,missing_required_content,True,1.0
5238e123a16a826d9dd25c0454890d96db10099a,1,low,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
5e15d31d11a545d5b8842f8a9f51ae58c59e7634,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
5eca8796afa57332b77efb229a632e49b196cbed,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
