evaluator,scenario_canonical,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
EduBenchEvaluator,Emotional Support,174,174,0.289272030651341,0.1091954022988506,0.867816091954023,0.7024416116841143
EduBenchEvaluator,Error Correction,341,341,0.41642228739002934,0.3128054740957967,0.7214076246334311,0.5281226702816078
EduBenchEvaluator,Idea Provision,420,420,0.44603174603174606,0.31111111111111117,0.7309523809523809,0.4303782396690254
EduBenchEvaluator,Personalized Content Creation,106,106,0.3113207547169812,0.23584905660377364,0.7830188679245284,0.6289936324102301
EduBenchEvaluator,Personalized Learning Support,265,265,0.3635220125786164,0.15471698113207555,0.7094339622641509,0.6464054108632244
EduBenchEvaluator,Question Answering,248,248,0.7486559139784945,0.4852150537634408,0.6290322580645161,0.4103289268401023
EduBenchEvaluator,Question Generation,295,295,0.4723163841807909,0.2983050847457627,0.6813559322033899,0.44032084621787687
EduBenchEvaluator,Teaching Material Generation,369,369,0.3595302619692864,0.08130081300813011,0.7425474254742548,0.4595921119546487
GPT-4o,Emotional Support,174,167,0.5089820359281437,0.4251497005988024,0.5988023952095808,0.1284962675818382
GPT-4o,Error Correction,341,329,0.5734549138804459,0.4133738601823708,0.5501519756838906,0.35254295608344227
GPT-4o,Idea Provision,420,419,0.48050914876690537,0.23707239459029442,0.6276849642004774,0.3831408890239169
GPT-4o,Personalized Content Creation,106,106,0.5440251572327044,0.4811320754716982,0.5471698113207547,0.3201365350819229
GPT-4o,Personalized Learning Support,265,261,0.715197956577267,0.6896551724137933,0.4444444444444444,0.15342096899307875
GPT-4o,Question Answering,248,248,1.1223118279569892,1.0900537634408602,0.6411290322580645,0.1911047635716769
GPT-4o,Question Generation,295,293,0.4766780432309443,0.31740614334470996,0.6006825938566553,0.4326281148220916
GPT-4o,Teaching Material Generation,369,369,0.4986449864498645,0.41192411924119243,0.5636856368563685,0.2282172180815859
DeepSeek-R1,Emotional Support,174,174,0.4367816091954023,0.34482758620689663,0.6379310344827587,0.3943593728751048
DeepSeek-R1,Error Correction,341,341,0.5806451612903226,0.21309872922776155,0.5630498533724341,0.392002529531298
DeepSeek-R1,Idea Provision,420,420,0.5666666666666667,0.08730158730158735,0.5952380952380952,0.33352346209751244
DeepSeek-R1,Personalized Content Creation,106,106,0.5566037735849058,0.4622641509433963,0.5566037735849056,0.2624058816098433
DeepSeek-R1,Personalized Learning Support,265,265,0.6062893081761007,0.49056603773584917,0.4830188679245283,0.3005330100139447
DeepSeek-R1,Question Answering,248,248,1.1008064516129032,0.9368279569892473,0.6491935483870968,0.13005234261448056
DeepSeek-R1,Question Generation,295,295,0.4338983050847457,0.10847457627118649,0.6542372881355932,0.5448739205301447
DeepSeek-R1,Teaching Material Generation,369,369,0.5085817524841916,0.3712737127371274,0.5501355013550135,0.19880438270895054
DeepSeek-V3,Emotional Support,174,174,0.46168582375478934,0.41954022988505757,0.6896551724137931,0.36481452368087686
DeepSeek-V3,Error Correction,341,341,0.5640273704789834,0.4213098729227761,0.5777126099706745,0.36732037916504967
DeepSeek-V3,Idea Provision,420,420,0.44761904761904764,0.1682539682539683,0.6571428571428571,0.44925899915513506
DeepSeek-V3,Personalized Content Creation,106,106,0.5408805031446541,0.4905660377358491,0.5754716981132075,0.3154749266030158
DeepSeek-V3,Personalized Learning Support,265,265,0.628930817610063,0.5660377358490567,0.5056603773584906,0.29854073788943564
DeepSeek-V3,Question Answering,248,248,1.1411290322580645,0.9852150537634408,0.6330645161290323,0.05285437124766289
DeepSeek-V3,Question Generation,295,295,0.4406779661016949,0.37288135593220345,0.6576271186440678,0.5296537948610013
DeepSeek-V3,Teaching Material Generation,369,369,0.5158084914182475,0.4796747967479675,0.5392953929539296,0.23034460456906797
QwQ-plus,Emotional Support,174,169,0.4654832347140039,0.4339250493096647,0.6745562130177515,0.25654053638883567
QwQ-plus,Error Correction,341,338,0.5355029585798816,0.31656804733727817,0.6153846153846154,0.41769688620759987
QwQ-plus,Idea Provision,420,413,0.5665859564164649,0.15657788539144477,0.6101694915254238,0.29097858118026654
QwQ-plus,Personalized Content Creation,106,106,0.5660377358490567,0.5471698113207548,0.5566037735849056,0.3133024268341503
QwQ-plus,Personalized Learning Support,265,263,0.6248415716096326,0.5690747782002535,0.5095057034220533,0.31899444611503275
QwQ-plus,Question Answering,248,248,1.2083333333333333,1.057795698924731,0.6209677419354839,-0.021623731241043553
QwQ-plus,Question Generation,295,290,0.4436781609195402,0.11954022988505751,0.6517241379310345,0.48174755209056314
QwQ-plus,Teaching Material Generation,369,369,0.4525745257452575,0.39295392953929537,0.5907859078590786,0.36832727102619883
