seed,left_variant,right_variant,effect,metric,difference_definition,point_difference,ci_low_95,ci_high_95,bootstrap_resamples,cluster_unit
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,MAE_argmax,right_minus_left,0.009936766034327027,-0.017167943355734044,0.03564984972227654,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,Exact_Match,right_minus_left,-0.014453477868112019,-0.03682732589381203,0.008739101131264236,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,Kendall_tau,right_minus_left,-0.024415327881992854,-0.06023257684924207,0.011953692292966733,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,Bin_Agreement,right_minus_left,-0.0018066847335139746,-0.013542491515837002,0.008913053857906795,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,QWK,right_minus_left,0.0016719108605417476,-0.02618578055868755,0.033198203053424406,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,low_to_high_count,right_minus_left,0.0,0.0,0.0,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,low_to_high_rate,right_minus_left,0.0,0.0,0.0,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,high_to_low_count,right_minus_left,-1.0,-3.0,0.0,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,high_to_low_rate,right_minus_left,-0.0010582010582010583,-0.003575685339690107,0.0,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,label1_recall,right_minus_left,0.0,0.0,0.0,1997,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,label2_recall,right_minus_left,0.0,0.0,0.0,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,label3_recall,right_minus_left,0.06666666666666668,-0.009345794392523366,0.13159136047666328,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,label4_recall,right_minus_left,0.020565552699228773,-0.035832289317631244,0.08359484942302274,2000,question_key
42,v0_original_unweighted,v1_original_label_matched_weight,weight_and_exclusion_effect,label5_recall,right_minus_left,-0.055755395683453224,-0.09259688723974446,-0.021471075148809596,2000,question_key
42,v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,MAE_argmax,right_minus_left,0.0018066847335140301,-0.019370414346544303,0.023854856814901706,2000,question_key
42,v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,Exact_Match,right_minus_left,-0.009033423667570095,-0.03136572343966441,0.012015881999869481,2000,question_key
42,v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,Kendall_tau,right_minus_left,-0.009426477232147623,-0.03685019966802145,0.01629581709575821,2000,question_key
42,v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,Bin_Agreement,right_minus_left,0.008130081300812941,-0.000926848658574872,0.018711777160847796,2000,question_key
42,v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,QWK,right_minus_left,0.012103762538755114,-0.00814169753777462,0.03414188773754897,2000,question_key
42,v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,low_to_high_count,right_minus_left,-3.0,-8.0,0.0,2000,question_key
