sample_id,pilot_group,original_score,original_region,qwen_score,deepseek_score,score_gap,qwen_failure_bucket,deepseek_failure_bucket,qwen_derived_risk,deepseek_derived_risk,qwen_training_use,deepseek_training_use,conflict_type,adjudication_priority,question_preview,answer_preview,rubric_preview,top80_for_adjudication
08554936f4982f9a49b0ecb237ab00fa29370010,train_all_low_label,2,low,1,5,4,hidden_or_missing_failure,no_failure,unclear,low,low_weight,exclude,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"问题：在研究中世纪封建制度发展的过程中，下列哪些因素对其演变起到了关键作用？（可选择多个） A. 农奴制 B. 城市化进程 C. 十字军东征 D. 文艺复兴 E. 黑死病的流行 F. 军事科技的进步 学生的答案：['A', 'C', 'E', 'F'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 3, ""评分细节"": { ""正确答案"": [""A"", ""C"", ""E"", ""F""], ""学生答案"": [""A"", ""C"", ""E"", ""F""], ""未选中但正确的选项"": [], ""错误选中的选项"": [] }, ""个性化反馈"": [ ""你的答案是正确的。农奴制、十字军东征、黑死病的流行以及军事科技的进步确实对中世纪封建制度的发展产生了重要影响。"" ] } ```","[""5分： 精准定位所有错误（无遗漏、无误报），给出的纠正建议完全正确、清晰且是最优或非常好的方案。"", ""4分： 准确定位了大部分主要错误，纠正建议基本正确有效，可能遗漏极少数次要错误或建议不够完美。"", ""3分： 定位了部分错误但有明显遗漏或误报，纠正建议部分正确但可能不够清晰、完整或并非最佳方案。"", ""2分： 错误定位不准确，遗漏了关键错误或大量误报，纠正建议存在错误或难以理解。"", ""1分： 完全未能识别错误，或给出了完...",True
49318c4f0d2ec2244ac543b0db468afaf9a85d1b,train_all_low_label,1,low,5,1,4,no_failure,visible_failure,low,high,review_only,high_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" ...","```json { ""Score"": ""100%"", ""Scoring Details"": { ""Correctness"": ""The student's answer is correct. The human liver does have the capacity to regenerate after partial surgical removal."", ""Reasoning"": ""The liver is unique...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
5238e123a16a826d9dd25c0454890d96db10099a,exp27f_top40_conflict_reaudit,1,low,5,1,4,no_failure,visible_failure,low,unclear,review_only,high_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singular...","```json { ""answer"": ""A) f(z) has no singularities."" } ```","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ...",True
6cc46157fcf2aa5b87cd72293be48481a7e5dacc,train_all_low_label,2,low,5,1,4,no_failure,visible_failure,low,high,review_only,review_only,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2,1,Question: Explain the concept of Nash Equilibrium in game theory and provide an example. Student's Answer: Nash Equilibrium is a situation in a game where each player's strategy is optimal given the strategies of all ...,"```json { ""Score"": 4, ""ScoringDetails"": { ""ConceptUnderstanding"": 2, ""ExampleRelevance"": 2, ""ExplanationClarity"": 1, ""TotalPossiblePoints"": 5 }, ""PersonalizedFeedback"": { ""Positive"": ""You correctly identified the conc...","[""5: Fully understood and precisely executed all instructions; achieved core task with perfect accuracy; output format is fully compliant."", ""4: Accurately understood main instructions and correctly completed the task...",True
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,train_all_low_label,1,low,5,1,4,no_failure,hidden_or_missing_failure,low,high,review_only,high_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" ...","```json { ""Score"": 1, ""Scoring Details"": { ""Correctness"": ""The student's answer is correct. The human liver indeed has the remarkable ability to regenerate after surgical removal of a portion of its tissue."", ""Explana...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
90ed1a72c758f575b39f863d5ac03313ac9b197e,train_all_low_label,1,low,1,5,4,hidden_or_missing_failure,no_failure,high,low,high_weight,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"问题：在分布式系统中，一致性模型的重要性是什么？以下哪个选项最好地描述了它的作用？ A) 提高系统的吞吐量 B) 确保所有节点之间的数据保持一致 C) 降低系统的响应时间 D) 提高系统的可扩展性 学生的答案：B) 确保所有节点之间的数据保持一致 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 1, ""评分细节"": { ""正确答案"": ""B) 确保所有节点之间的数据保持一致"", ""解释"": ""在分布式系统中，一致性模型的重要性在于确保所有节点之间的数据保持一致。这是分布式系统设计中的关键问题之一，因为分布式系统中的各个节点可能会独立地处理数据，并且需要保证这些数据的一致性。例如，CAP定理中的“一致性”（Consistency）就是指在分布式系统中，所有的读操作都能看到写操作的结果，即数据...","[""5分： 精准定位所有错误（无遗漏、无误报），给出的纠正建议完全正确、清晰且是最优或非常好的方案。"", ""4分： 准确定位了大部分主要错误，纠正建议基本正确有效，可能遗漏极少数次要错误或建议不够完美。"", ""3分： 定位了部分错误但有明显遗漏或误报，纠正建议部分正确但可能不够清晰、完整或并非最佳方案。"", ""2分： 错误定位不准确，遗漏了关键错误或大量误报，纠正建议存在错误或难以理解。"", ""1分： 完全未能识别错误，或给出了完...",True
c0d4f41ccf2066449887e86887cb7b8903269b2a,exp27f_top40_conflict_reaudit,2,low,1,5,4,visible_failure,no_failure,unclear,low,review_only,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2,1,"问题：选择以下具有微分同胚性质的函数类别：（可多选） A. 二次多项式函数 B. 余弦函数 C. 指数函数 D. 常数函数 E. 三次多项式函数 学生的答案：['C', 'E'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 1, ""评分细节"": { ""正确选项"": [""B"", ""E""], ""学生选择"": [""C"", ""E""] }, ""个性化反馈"": [ ""你的选择中包括了指数函数，这是一个正确的选项。但是，你没有选择余弦函数，这也是一个具有微分同胚性质的函数类别。余弦函数在某些区间内是微分同胚的，而三次多项式函数通常不具备这种性质。建议你进一步了解不同函数类别的微分同胚特性。"" ] } ```","[""5分： 内容与指定知识点/主题/问题高度相关，且严格控制在要求的难度、范围、学科内，无冗余或无关信息。"", ""4分： 内容主体相关，范围控制良好，可能包含极少量轻微超纲或关联度稍弱的信息。"", ""3分： 内容大部分相关，但包含一些偏离主题或超出范围的部分，范围控制不够精确。"", ""2分： 内容相关性较差，包含较多无关信息，或严重超出指定范围。"", ""1分： 内容基本不相关，或完全脱离指定范围。""]",True
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,exp27f_top40_conflict_reaudit,2,low,5,1,4,no_failure,visible_failure,low,high,review_only,low_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Knowledge Point: Constructivist Learning Theory Based on this knowledge point, provide ""Teaching Materials"": Teaching materials should include teaching objectives, key points and difficulties, classroom activity desig...","Here is an example of how you might structure teaching materials based on the constructivist learning theory in JSON format. This example focuses on a high school biology class about plant cell structure. ```json { ""C...","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control i...",True
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,exp27f_top40_conflict_reaudit,2,low,1,5,4,no_failure,no_failure,low,low,low_weight,exclude,audit_hard_conflict;deepseek_lenient_qwen_strict;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"问题：在神经生理学中，动作电位的过程中不包括以下哪一个步骤？ A) 去极化 B) 再极化 C) 超极化 D) 钙离子流入细胞 学生的答案：C) 超极化 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","{ ""评分"": ""错误"", ""评分细节"": ""学生的答案选择了C) 超极化，这是不正确的。在动作电位的过程中，超极化是一个关键步骤，它发生在再极化之后，使膜电位低于静息电位。"", ""个性化反馈"": ""感谢你的回答！在动作电位的过程中，确实包括去极化、再极化和超极化等步骤。然而，你选择的C) 超极化实际上是动作电位的一个组成部分。正确的答案应该是D) 钙离子流入细胞，因为钙离子的流入并不是动作电位的直接步骤，而是与神经递质释放等后续...","[""5分： 所有涉及的客观事实（定义、公式、日期、名词、代码语法等）完全准确无误。"", ""4分： 绝大部分事实准确，可能存在个别极其微小的、非关键性的笔误或疏漏。"", ""3分： 大部分事实准确，但存在少量明显的事实错误，需要核查。"", ""2分： 包含较多或关键性的事实错误，信息不可靠。"", ""1分： 充斥着大量事实错误，信息完全错误或误导。""]",True
0578273c54e1a724084529ebbc385f1bdd1076ea,exp27f_top40_conflict_reaudit,1,low,5,2,3,no_failure,visible_failure,low,unclear,review_only,low_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singular...","{ ""Answer"": ""A) f(z) has no singularities."" }","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ...",True
