sample_id,question_key,question_group_id,metric,language,subject,gold_label,is_d1_hidden,pred_r2c,low_to_high_r2c,pred_r4b,low_to_high_r4b,pred_r7d,low_to_high_r7d,pred_r7e,low_to_high_r7e,pred_dpo0,low_to_high_dpo0,pred_orc_b,low_to_high_orc_b,pred_orc_b_noreason,low_to_high_orc_b_noreason,dpo0_changed_vs_r2c,orc_b_changed_vs_dpo0,r7d_fixed_r2c_l2h,dpo0_fixed_r2c_l2h,orc_b_fixed_dpo0_l2h,orc_b_worsened_vs_dpo0
a9fb1437d7ef739f816e75d995054de210ca96a8,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,False,5,True,5,True,2,False,4,True,5,True,5,True,5,True,False,False,True,False,False,False
ae218f59b2bdc08b36e9d5fc14db12e76a7af21e,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",en,Business Administration,2,False,3,False,3,False,4,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
d8a2ee217054b586513ab4f66cfb23ec46e5d333,db2ee72b5e9852d8371685f637458d2b6f933ae8,db2ee72b5e9852d8371685f637458d2b6f933ae8,"Motivation, Guidance & Positive Feedback",en,Chemistry,2,False,3,False,3,False,4,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
6b1d22832f8c2d9e51459ade117c52581ec16bf8,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
ab6c4ba7b5065f647c29431814feeb3a00e9c7b0,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
057fb10dadb0ef587ef63e8c0692fb069e747f33,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,True,5,True,5,True,1,False,4,True,5,True,5,True,5,True,False,False,True,False,False,False
d827928fc39a06825d345c6f8c0685eba89b65cd,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,True,5,True,5,True,1,False,5,True,5,True,5,True,5,True,False,False,True,False,False,False
c8f82a756a23aa9b5e70f52f867ac392e2aec089,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,True,5,True,5,True,2,False,4,True,5,True,5,True,5,True,False,False,True,False,False,False
293b29a2622713babcb8a2dbc341d9f224d6c8b2,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",en,Business Administration,1,False,3,False,3,False,2,False,4,True,4,True,4,True,4,True,True,False,False,False,False,False
60084a95316f0f87040c9c1c0c24a16be077aa06,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,True,5,True,5,True,1,False,4,True,5,True,5,True,5,True,False,False,True,False,False,False
bb99da8830bc11b1828c4a9637d65ecb7ee71420,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,True,5,True,5,True,2,False,4,True,5,True,5,True,5,True,False,False,True,False,False,False
b6b6dda03618d53072e9cb795d23ca1a8dc79a57,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,True,5,True,5,True,1,False,4,True,5,True,5,True,5,True,False,False,True,False,False,False
760fc72a43fcce0f05f6e57f16c28416ee7a2536,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,True,5,True,5,True,2,False,5,True,5,True,,False,5,True,False,True,True,False,True,False
1bdcdd67d27147705080e74bea8e7252e9ce95bb,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
b90c66a2b2bfd098d8c48fac5c5abeb2d37b630f,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",en,Business Administration,1,False,3,False,3,False,3,False,4,True,4,True,4,True,4,True,True,False,False,False,False,False
02257ff2c77501987e43989cc8c71a017fb39dad,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
fceb9659e6f4b3b5648c977ec612b79ae8a6ae29,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,True,4,True,5,True,5,True,4,True,4,True,5,True,4,True,False,True,False,False,False,False
28cb100bda849f499ad3ad11500b7d1b494be4a7,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,True,5,True,5,True,5,True,5,True,5,True,5,True,5,True,False,False,False,False,False,False
e9b358073140893a17f069d26d8fe2adc338f088,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,True,4,True,5,True,5,True,4,True,5,True,5,True,5,True,True,False,False,False,False,False
