dataset_variant,sample_id,risk_type,gold_label,rejected_score,chosen_score,chosen_schema,chosen_major_failures,chosen_score_cap,chosen_brief_reason_present,rejected_payload,rejected_source,supporting_rejected_sources,rejected_source_count,rejected_origin,message_hash,chosen_hash,rejected_hash
r6a_qwen_score_only,90ed1a72c758f575b39f863d5ac03313ac9b197e,low_to_high_real_model_error,1,5,1,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-v3|qwq-plus,4,real_model_score_output,95ca6312eaf28b6d879638442f0a8d954e2c0ffb,ea8d124a94959c34a5a3d3f5bbc8956a939cface,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,low_to_high_real_model_error,2,5,2,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,6dd8cd7e602fd89b61e4f8d6b1afdb2efb7f4e6b,e7e7fff9de6aaf514989c81720426ef63d68ca0f,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,b7703b45e1417cccb594d8e5587977ed02710a03,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,6,real_model_score_output,1f6ad9b0b396941ef08a1d723d4c5e1ea45d4c6c,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,59dd136764697de5064d11ddeacde149d00620e0,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|qwq-plus,3,real_model_score_output,38e6f0878bb390bb39fd98d7fcb4c2db3bea2de4,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,1a0f4a9acff8c5f12ef858d9422598660d9d0300,high_to_low_real_model_error,5,2,5,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,84edca70a80965ccab137d049243c38af0df4e89,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,c536e13929e9115989ee06635a0f956c9f726dd3,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|gpt-4o|qwq-plus,4,real_model_score_output,533e3a7587c3151a6b4d2535bc579f2856a24360,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,d3e2de90a57770f5c07521715e59168a2374b4fa,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|gpt-4o|qwq-plus,4,real_model_score_output,b7f2f37c0898fd840ef473b2db11596c2dbc6e50,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,cc50ab84b08b610b6edc14bbda3d9f5486bcdb85,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator,2,real_model_score_output,939f3d8250de6c3a299f0c6ecfb9480da263d593,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,8950511165ec611a6bbe1ffdf7442e8c1e1077ad,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator,2,real_model_score_output,2ed1ebd6c841066b3875d8e06ca56e5d0101a20f,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,18551ba0c6e7b3ad2bd30333ae0aad09b79b9c98,low_to_mid_real_model_error,2,3,2,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|gpt-4o,2,real_model_score_output,765e6bb32390b0a21dc1bfcc3f38c301b92895c4,e7e7fff9de6aaf514989c81720426ef63d68ca0f,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,ddb236e662a07072802ab4784dbe360063bbd0b9,mid_to_high_real_model_error,3,4,3,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|gpt-4o,2,real_model_score_output,504a0da64aeb2015ff6b94b045c6f08e8f91cf83,0f3e87d934aa22cb85860f178b7b054798903c13,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,46133cfb383c1c10e94bab324dabdce1277ab939,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,7a8a3400adbb1b5e9bdbc9d5a3fa9123f23359e3,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,3354ddf36faa571c53b52bc8809ce2c25431e797,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,c0fb1557564c0e7e69b207ca9d15e00cb2b5efb6,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,00c28d2d88357c532e8c684f3320e37e3a84b3b5,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|gpt-4o|qwq-plus,4,real_model_score_output,230ea0b9d9d212a252a61a501b280447cdc690e7,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,9d215dac296bfd9aa04d6c9ccb673283574825a8,high_to_low_real_model_error,5,2,5,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,729c8a01c5443cb45754fab812f364d0e6c4566d,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,6cc46157fcf2aa5b87cd72293be48481a7e5dacc,low_to_high_real_model_error,2,4,2,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|qwq-plus,4,real_model_score_output,5874437639f87c0612eade80899897a28f597f09,e7e7fff9de6aaf514989c81720426ef63d68ca0f,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,efadd410955dcba9c55e810a3f3c40859b1844c7,mid_to_high_real_model_error,3,4,3,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-v3|gpt-4o|qwq-plus,5,real_model_score_output,1b83a8e3867b9ef5da8bc81495ab888709dd0fcb,0f3e87d934aa22cb85860f178b7b054798903c13,bf2355b31a3942f09ea148ff7e236fb0f09a8390
