synthetic_id,synthetic_plan_id,target_label_5,suggested_label_5,language,metric_canonical,error_type,suggested_error_type,decision,reason,can_use_after_revision,notes
"syn_efc745746cf78916","mb001","1","","en","Reasoning Process Rigor","reasoning_gap","","accept","Clear chaotic reasoning and rubric-relevant failure for label 1.","yes","Accepted as-is for the low-score pool."
"syn_08e8dbfaf612af45","mb002","2","","zh","Reasoning Process Rigor","overconfident_wrong","","accept","Core physics reasoning is visibly wrong while the answer remains plausible as a low-score sample.","yes","Accepted as-is for the low-score pool."
"syn_0aabe3cfa1833c65","mb003","1","","en","Scenario Element Integration","scenario_mismatch","","accept","Response ignores key profile constraints and fits a severe scenario-integration failure.","yes","Accepted as-is for the low-score pool."
"syn_860112421d7312fa","mb004","2","","zh","Scenario Element Integration","instruction_violation","scenario_mismatch or rubric_violation","revise_error_type","The observed weakness is better described as mismatch with the scenario or rubric than instruction violation.","yes","Revise error_type before reuse."
"syn_b5f4f1670656b107","mb005","1","","en","Personalization, Adaptation & Learning Support","scenario_mismatch","","accept","The sample shows a severe personalization mismatch and clear target-label plausibility.","yes","Accepted as-is for the low-score pool."
"syn_f475e89131fb4b08","mb007","1","","en","Higher-Order Thinking & Skill Development","reasoning_gap","","accept","Response lacks higher-order reasoning and is suitable for a label 1 low-score example.","yes","Accepted as-is for the low-score pool."
"syn_f61d1078be26ab49","mb008","2","3_or_4","zh","Higher-Order Thinking & Skill Development","superficial_fluency","","reject_from_low_score_pool or relabel_upward","Manual review found the response quality higher than the target low-score label.","no","Reject from low-score pool; alternatively relabel upward outside the low-score augmentation pool."
"syn_50ab63444c300c75","mb010","2","","zh","Error Identification & Correction Precision","reasoning_gap","","accept","Target label 2 is plausible because correction precision is weak and reasoning remains unreliable.","yes","target2 plausible; could be label1 depending strictness"
"syn_3775aca1f7d9a547","mb011","1","","en","Instruction Following & Task Completion","instruction_violation","","accept","The response clearly fails task-completion requirements and is appropriate for label 1.","yes","Accepted as-is for the low-score pool."
"syn_4512eb3a8d83bf33","mb015","1","","en","Domain Knowledge Accuracy","factual_error","","accept","The answer contains severe domain-knowledge inaccuracies and fits label 1.","yes","Accepted as-is for the low-score pool."
"syn_398ac44b1a669df8","mb016","2","","zh","Domain Knowledge Accuracy","rubric_violation","","accept","The sample has clear domain-accuracy problems while remaining plausible for label 2.","yes","Accepted as-is for the low-score pool."
"syn_024a23f65469eddf","mb018","1","2","zh","Role & Tone Consistency","superficial_fluency","","revise_label","Manual review judged the issue less severe than label 1; label 2 is more plausible.","yes","Revise target label to 2 before reuse."
"syn_0570b9a1c2d46e8d","mb019","3","","en","Content Relevance & Scope Control","scenario_mismatch","","accept","The response is a plausible boundary-quality label 3 sample with scope/relevance issues.","yes","Accepted as-is for the low-score pool."
"syn_f2c22790469048e2","mb020","1","","zh","Content Relevance & Scope Control","rubric_violation","","accept","The response shows severe rubric-relevant scope failure and fits label 1.","yes","Accepted as-is for the low-score pool."
"syn_e06340971827f3e1","mb021","2","","en","Clarity, Simplicity & Inspiration","superficial_fluency","","accept","The response is superficially fluent but weak enough for a label 2 clarity/support failure.","yes","Accepted as-is for the low-score pool."
"syn_6741b3c2be49c4e0","mb023","2","","en","Motivation, Guidance & Positive Feedback","scenario_mismatch","superficial_fluency or rubric_violation","revise_error_type","The defect is better captured as superficial feedback or rubric violation than scenario mismatch.","yes","Revise error_type before reuse."
"syn_d5fd77dec8eb795e","mb024","3","","zh","Motivation, Guidance & Positive Feedback","superficial_fluency","","accept","The sample is a plausible label 3 boundary case for weak motivational guidance.","yes","Accepted as-is for the low-score pool."
