synthetic_id,synthetic_plan_id,target_label_5,language,metric_canonical,error_type,decision,can_use_after_revision,review_mode,manual_notes
syn_482d263f0184a548,topup1_001,3,en,Reasoning Process Rigor,reasoning_gap,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_0c2734d057684a54,topup1_002,2,zh,Scenario Element Integration,scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_ad3af640f4fef515,topup1_003,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_c3f2ec628ebb1cdc,topup1_004,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_fe2cd35d32432697,topup1_005,2,en,Error Identification & Correction Precision,factual_error,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_31cb288b52fe2ab9,topup1_006,1,zh,Instruction Following & Task Completion,instruction_violation,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_ddd1f1db87125251,topup1_007,2,en,Basic Factual Accuracy,factual_error,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_1e9e21c275479f5e,topup1_008,1,zh,Domain Knowledge Accuracy,factual_error,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_22079d437c51e6f8,topup1_009,2,en,Role & Tone Consistency,scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_dc335a11f706f79d,topup1_010,1,zh,Content Relevance & Scope Control,scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_ee4f2fcaedc8d9b5,topup1_011,3,en,"Clarity, Simplicity & Inspiration",superficial_fluency,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_08bd1b326a3d000f,topup1_012,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_c6d487777bf263fc,topup1_013,1,en,Reasoning Process Rigor,overconfident_wrong,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_ec337cba3079a095,topup1_014,2,zh,Scenario Element Integration,instruction_violation,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_d6b38e07f14d2de3,topup1_015,1,en,"Personalization, Adaptation & Learning Support",rubric_violation,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_c67e6e115163dac5,topup1_016,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_4ba860a4e3bbf333,topup1_017,1,en,Error Identification & Correction Precision,reasoning_gap,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_7c85c53ccc7559c8,topup1_018,2,zh,Instruction Following & Task Completion,rubric_violation,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_363c7aab75950916,topup1_019,1,en,Basic Factual Accuracy,overconfident_wrong,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_65ff9916a88d6d3e,topup1_021,2,en,Role & Tone Consistency,superficial_fluency,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_4a089cfae8ece015,topup1_022,1,zh,Content Relevance & Scope Control,rubric_violation,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_ac2ad1519840c78a,topup1_024,1,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_fecdc32256cc8161,topup1_025,1,en,Reasoning Process Rigor,reasoning_gap,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_087617b502f132d3,topup1_026,2,zh,Scenario Element Integration,scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_1a288bd69b7bcc16,topup1_027,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
syn_85bb84942c705362,topup1_028,2,zh,Higher-Order Thinking & Skill Development,reasoning_gap,accept_candidate,true,auto_pass_plus_stratified_spotcheck_required,manual_review_required=no in hardened filter; accepted into curated pool and kept for 36-row stratified spotcheck follow-up.
