synthetic_id,synthetic_plan_id,passed_filter,filter_reasons,filter_stage,filter_status,failure_reasons,label_plausibility_status,error_type_alignment_status,rubric_failure_visibility,too_good_for_target_label,artifact_phrase_status,manual_review_required,hardened_filter_reasons,notes
syn_f6c02480efb8cf07,topup2_001,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_ad6f5d562a6c5f67,topup2_002,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_99cf0549fdd9725e,topup2_003,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_e54d94869fdf4a9a,topup2_004,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_59df61e0aa71d402,topup2_005,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_611b84fa868f98ff,topup2_006,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_cddd1f83279de75f,topup2_007,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_26e2c83a2940a46d,topup2_008,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_445c7acb94c84581,topup2_009,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_8b35e7132a11f258,topup2_010,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_bcb5850f20b7e888,topup2_011,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_c600b1d039ca9b56,topup2_012,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_e9fb502243a4af5a,topup2_013,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_e7be5812627d2bc6,topup2_014,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_144eafb4f020a0c8,topup2_015,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_11983bf767a7d465,topup2_016,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_e6b8dd3d4ce6df48,topup2_017,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_d708f7fb7463312a,topup2_018,False,language_mismatch:en,topup2_required_plus_hardened_filters,fail,language_mismatch:en,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_37fec624cf94e387,topup2_019,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_314f22879430939c,topup2_020,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_191df705db4764b3,topup2_021,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_d3be3fd363a0f07e,topup2_022,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_d9cb7b338e492ea2,topup2_023,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_599a7a72d8e4d477,topup2_024,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_6b2d9f21aeec6b0a,topup2_025,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_a47e0b1742a80cf5,topup2_026,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_17e2f942e0fb7db9,topup2_027,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_ce868b8d5358e772,topup2_028,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-11 topup2 hardened filter
syn_b86487ea9bb94318,topup2_029,True,,topup2_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-11 topup2 hardened filter
