sample_id,gold_label,metric,language,is_d1_hidden,pred_r2c,pred_r4b,pred_r5f2_real,pred_r5g_a3,pred_r5g_b1,fixed_by_r5f2_real,fixed_by_a3,fixed_by_b1,worsened_by_a3
a9fb1437d7ef739f816e75d995054de210ca96a8,2,Instruction Following & Task Completion,en,False,5,5,4,5,5,False,False,False,False
ae218f59b2bdc08b36e9d5fc14db12e76a7af21e,2,"Motivation, Guidance & Positive Feedback",en,False,3,3,3,3,3,False,False,False,False
d8a2ee217054b586513ab4f66cfb23ec46e5d333,2,"Motivation, Guidance & Positive Feedback",en,False,3,3,3,3,3,False,False,False,False
6b1d22832f8c2d9e51459ade117c52581ec16bf8,2,Instruction Following & Task Completion,en,True,5,5,5,5,5,False,False,False,False
ab6c4ba7b5065f647c29431814feeb3a00e9c7b0,2,Scenario Element Integration,en,True,5,5,3,4,3,True,False,True,False
057fb10dadb0ef587ef63e8c0692fb069e747f33,2,Reasoning Process Rigor,en,True,5,5,3,5,4,True,False,False,False
d827928fc39a06825d345c6f8c0685eba89b65cd,2,Error Identification & Correction Precision,en,True,5,5,5,5,5,False,False,False,False
c8f82a756a23aa9b5e70f52f867ac392e2aec089,2,"Clarity, Simplicity & Inspiration",en,True,5,5,4,4,4,False,False,False,False
293b29a2622713babcb8a2dbc341d9f224d6c8b2,1,"Motivation, Guidance & Positive Feedback",en,False,3,3,3,3,3,False,False,False,False
60084a95316f0f87040c9c1c0c24a16be077aa06,2,Instruction Following & Task Completion,en,True,5,5,5,5,5,False,False,False,False
bb99da8830bc11b1828c4a9637d65ecb7ee71420,2,Scenario Element Integration,en,True,5,5,2,3,3,True,True,True,False
b6b6dda03618d53072e9cb795d23ca1a8dc79a57,2,Reasoning Process Rigor,en,True,5,5,4,5,5,False,False,False,False
760fc72a43fcce0f05f6e57f16c28416ee7a2536,2,Error Identification & Correction Precision,en,True,5,5,5,5,5,False,False,False,False
1bdcdd67d27147705080e74bea8e7252e9ce95bb,2,"Clarity, Simplicity & Inspiration",en,True,5,5,4,5,5,False,False,False,False
b90c66a2b2bfd098d8c48fac5c5abeb2d37b630f,1,"Motivation, Guidance & Positive Feedback",en,False,3,3,3,3,3,False,False,False,False
