synthetic_plan_id,target_label_5,language,metric_canonical,error_type,target_count,priority_rank,generation_split_mode,generation_prompt_version,notes
topup1_001,3,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_002,2,zh,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_003,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,1,3,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_004,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,1,4,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_005,2,en,Error Identification & Correction Precision,factual_error,1,5,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_006,1,zh,Instruction Following & Task Completion,instruction_violation,1,6,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_007,2,en,Basic Factual Accuracy,factual_error,1,7,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_008,1,zh,Domain Knowledge Accuracy,factual_error,1,8,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_009,2,en,Role & Tone Consistency,scenario_mismatch,1,9,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_010,1,zh,Content Relevance & Scope Control,scenario_mismatch,1,10,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_011,3,en,"Clarity, Simplicity & Inspiration",superficial_fluency,1,11,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_012,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,1,12,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_013,1,en,Reasoning Process Rigor,overconfident_wrong,1,1,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_014,2,zh,Scenario Element Integration,instruction_violation,1,2,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_015,1,en,"Personalization, Adaptation & Learning Support",rubric_violation,1,3,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_016,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,1,4,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_017,1,en,Error Identification & Correction Precision,reasoning_gap,1,5,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_018,2,zh,Instruction Following & Task Completion,rubric_violation,1,6,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_019,1,en,Basic Factual Accuracy,overconfident_wrong,1,7,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_020,3,zh,Domain Knowledge Accuracy,rubric_violation,1,8,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_021,2,en,Role & Tone Consistency,superficial_fluency,1,9,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_022,1,zh,Content Relevance & Scope Control,rubric_violation,1,10,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_023,2,en,"Clarity, Simplicity & Inspiration",rubric_violation,1,11,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_024,1,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,1,12,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_025,1,en,Reasoning Process Rigor,reasoning_gap,1,1,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
topup1_026,2,zh,Scenario Element Integration,scenario_mismatch,1,2,question_disjoint_formal,exp06_topup1_thinking_hardened_v2,Exp6-9 topup-1 raw generation target; question_seed42/train only
