metric_canonical,language,target_label_5,target_count,error_types,notes
Basic Factual Accuracy,en,1,7,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",train low-score count for this metric/language=2; train-only source required
Basic Factual Accuracy,en,2,7,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",train low-score count for this metric/language=2; train-only source required
Basic Factual Accuracy,en,3,2,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",train low-score count for this metric/language=2; train-only source required
Basic Factual Accuracy,zh,1,7,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",train low-score count for this metric/language=4; train-only source required
Basic Factual Accuracy,zh,2,7,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",train low-score count for this metric/language=4; train-only source required
Basic Factual Accuracy,zh,3,2,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",train low-score count for this metric/language=4; train-only source required
"Clarity, Simplicity & Inspiration",en,1,7,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",train low-score count for this metric/language=3; train-only source required
"Clarity, Simplicity & Inspiration",en,2,7,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",train low-score count for this metric/language=3; train-only source required
"Clarity, Simplicity & Inspiration",en,3,2,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",train low-score count for this metric/language=3; train-only source required
"Clarity, Simplicity & Inspiration",zh,1,7,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",train low-score count for this metric/language=0; train-only source required
"Clarity, Simplicity & Inspiration",zh,2,7,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",train low-score count for this metric/language=0; train-only source required
"Clarity, Simplicity & Inspiration",zh,3,2,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",train low-score count for this metric/language=0; train-only source required
Content Relevance & Scope Control,en,1,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=2; train-only source required
Content Relevance & Scope Control,en,2,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=2; train-only source required
Content Relevance & Scope Control,en,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=2; train-only source required
Content Relevance & Scope Control,zh,1,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=2; train-only source required
Content Relevance & Scope Control,zh,2,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=2; train-only source required
Content Relevance & Scope Control,zh,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=2; train-only source required
Domain Knowledge Accuracy,en,1,7,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Domain Knowledge Accuracy,en,2,7,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Domain Knowledge Accuracy,en,3,2,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Domain Knowledge Accuracy,zh,1,7,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Domain Knowledge Accuracy,zh,2,7,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Domain Knowledge Accuracy,zh,3,2,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Error Identification & Correction Precision,en,1,7,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",train low-score count for this metric/language=4; train-only source required
Error Identification & Correction Precision,en,2,7,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",train low-score count for this metric/language=4; train-only source required
Error Identification & Correction Precision,en,3,2,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",train low-score count for this metric/language=4; train-only source required
Error Identification & Correction Precision,zh,1,7,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",train low-score count for this metric/language=7; train-only source required
Error Identification & Correction Precision,zh,2,7,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",train low-score count for this metric/language=7; train-only source required
Error Identification & Correction Precision,zh,3,2,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",train low-score count for this metric/language=7; train-only source required
Higher-Order Thinking & Skill Development,en,1,7,"[""reasoning_gap"", ""superficial_fluency"", ""rubric_violation""]",train low-score count for this metric/language=6; train-only source required
Higher-Order Thinking & Skill Development,en,2,7,"[""reasoning_gap"", ""superficial_fluency"", ""rubric_violation""]",train low-score count for this metric/language=6; train-only source required
Higher-Order Thinking & Skill Development,en,3,2,"[""reasoning_gap"", ""superficial_fluency"", ""rubric_violation""]",train low-score count for this metric/language=6; train-only source required
Higher-Order Thinking & Skill Development,zh,1,7,"[""reasoning_gap"", ""superficial_fluency"", ""rubric_violation""]",train low-score count for this metric/language=1; train-only source required
Higher-Order Thinking & Skill Development,zh,2,7,"[""reasoning_gap"", ""superficial_fluency"", ""rubric_violation""]",train low-score count for this metric/language=1; train-only source required
Higher-Order Thinking & Skill Development,zh,3,2,"[""reasoning_gap"", ""superficial_fluency"", ""rubric_violation""]",train low-score count for this metric/language=1; train-only source required
Instruction Following & Task Completion,en,1,7,"[""instruction_violation"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=7; train-only source required
Instruction Following & Task Completion,en,2,7,"[""instruction_violation"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=7; train-only source required
Instruction Following & Task Completion,en,3,2,"[""instruction_violation"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=7; train-only source required
Instruction Following & Task Completion,zh,1,7,"[""instruction_violation"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=3; train-only source required
