eval_index,sample_id,question_key,question_group_id,metric,language,subject,gold_label,answer_chars,answer_words,failure_mode_auto,hidden_failure_candidate_type,recommended_training_use,confidence_weight,d2_prediction_count,d2_model_high_count,d2_evidence_risk_count,d2_model_high_adapters,d2_evidence_risk_adapters,prompt_hash,recovered_reason_hash
0,26347fdbe0a04b7bfbc0e5079be670bb041a82f8,2c3431500658778ea0788f7745c59f0b024746a9,2c3431500658778ea0788f7745c59f0b024746a9,Scenario Element Integration,en,Crop Science,2,1665,195,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,3fa222afab4ae1351c93d8f9eb62fd532ea4085d,6b7b00f6d23e79937d3d3ea80fdfa897a78e6b5b
1,b51fe8038ded98685f2c18b27990ce26056dfc17,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,1082,164,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,179d0f3e9c60826a2e3d4699e82ca34f95abd8f1,e8e761def6ff7949dde1cd22a61b2b7954977b7c
2,1b5df375ab0c6d48d21dc9a88fd408b29454ff67,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,1082,164,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,035be24cdca419071f7b16b4bcc981b07797ca50,8f9ef1da33ba89b2be467a871332364429b416c8
3,7a5ae2c79851e40cccaf47deb5d4953023576ec9,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,1060,156,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,25c37705c2a48b4708be146936bd8eb7ebb6fa44,10a5356ba6a3cd7a9af7842e4f2aa01f0a5ee330
4,78a2f1f17b59206fae3cdedb6b11a9fef084b670,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,1060,156,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,056ca164ed4e82c8d50b29ea612850e46684a02c,d4e2ab9fd20d6d9c9030fc70c01f5039dd6a73d4
5,f51251a778d6f6601796be0ed017d6173d91d44b,7d31b9d0eef59066afff9ba848a799e2668bbed2,7d31b9d0eef59066afff9ba848a799e2668bbed2,Higher-Order Thinking & Skill Development,en,Basic Medicine,2,1015,136,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,d170fd02149eab10d6f32bbc36b84b7a848d846f,8007e0852c1c8af047fb570dd2efbd3ef0cdb67e
6,d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,Error Identification & Correction Precision,en,Theoretical Economics,2,969,127,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f47ff99ce7db749dc99eb48d6c4a1400834f825a,a1a88d9d29fb1ab96319226b74b1c23a98126fa8
7,7dfd63e7375e5474e2df047ebe282cf4ba8661b8,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,865,133,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,985265736ffa1ef79de65965c78b4d92ec682a8d,b6c1f5e2d2eb6d2e55f911de2e64e3d453c0abdc
8,b98b50d95782304d48d08ccbe6eda435ec3f66c7,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,846,125,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,09802e9ffd558226901f477ea1f53dfb04d93314,debd86162fb2656384dc80e4c862e5e6b0c6ce4f
9,a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Reasoning Process Rigor,en,Business Administration,2,846,125,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,3eddc674a68f5db7f277a536fbfb8c64acbab42b,6a481fa9db7229673ef640e6e76a19cb2370a7ec
10,13af8e6896f2be6cf223e45bf4f1652fe39fe7d3,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,846,125,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f4ced55116935a9d7d731be5f2dfc89429252924,bc9b5f24b61d52bd8658b86a66949d23bec8be7c
11,1905d9dcdf2880df39d9d380624436abd892da5a,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,762,117,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,edd5b3f96414d47f24d0b97ae95430558dd06d82,13af77013b6908db6e0c8aaf0ab50809ae254abb
12,107a460ba82cd473b9a08a5d43257a7f1d336874,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,Error Identification & Correction Precision,en,Theoretical Economics,2,744,107,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,1cdade8828891d49b81c8d203d65009b811de708,703fd08ca37f007d84c6d6988dc921933bffa75b
13,25a37166756d804397ce1540111f9b80f5bd477b,c367d1e3134b022584248f014a7b59640f1df7fb,c367d1e3134b022584248f014a7b59640f1df7fb,Higher-Order Thinking & Skill Development,zh,Clinical Medicine,2,738,58,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,e018f6eb974e2d07385eb64899d853684e494109,a27500cc4cb71febfd8e770c9a1fb6324a365b5d
14,ef7be96d3b20f985cb175937b67d094d4d204dcc,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,623,93,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,20320e7b761dd0fd1535aa530e812bd6718e9580,7233d13a1036a21694f212ce7f405dc2d071d410
15,7b2343c0fac6f79059007d116f746842fe6a6637,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,578,88,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,bfbb49bad40af78b445f342f2784dacb80ea56c1,b6c1f5e2d2eb6d2e55f911de2e64e3d453c0abdc
16,bd384e01426757c4dd86e755a75d5ef86fe6e59f,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,565,85,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,fe8f725fb528d380dd26603326429f7f3ca8ae9d,b6c1f5e2d2eb6d2e55f911de2e64e3d453c0abdc
17,f0c923e09065792432b0f588a7eb74ea86409797,33f24cdef61905293c51bb59ca561c1f2cef3965,33f24cdef61905293c51bb59ca561c1f2cef3965,"Motivation, Guidance & Positive Feedback",zh,History,2,552,23,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,60b09b58b9ddbc6ad7161ba0b5817270e9741585,b37fc85d214c77d712ca37ee7495316dfd6cca2a
18,ccdab1ce8e955bdbf2224a22c0f14a10db6718ab,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,498,74,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,6e24d505cb81d18c6b101f232685119f1c6d4fd8,9a77fb4f6bac15927af3c9ee21d917a82f485e92
19,02169e6cc6f86f682c0b04047827e32859533603,182ead73c7c9bef64c812e1c3366635156817f15,182ead73c7c9bef64c812e1c3366635156817f15,Scenario Element Integration,en,Mathematics,2,483,93,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,2afb40d42549da96477bf02dd3a2bebd0691ebf9,b9af74532f4ea4e67e499f6fcf73cf41ebc7768d
20,9b98fbe73d713149b38df9e497e2ad0a0a022c91,f6cf3e1b280ca78c17a557b97001a3fea411a738,f6cf3e1b280ca78c17a557b97001a3fea411a738,Higher-Order Thinking & Skill Development,en,Aquaculture,2,424,56,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,e2bf225f73a506b78a8fc27bbf3c425898923a5d,b3aff492ba64c553045777a848c1b2cae698762b
21,ba114a1a8452ac012af5a1940b242d85f38538d3,578358b94591dcdb7b73304c5498c56a12d9c95d,578358b94591dcdb7b73304c5498c56a12d9c95d,"Motivation, Guidance & Positive Feedback",en,Law,2,421,60,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,644b332a7769016801069d5956f5de769a407dc1,5945fd18695ed5576f01b707391b4db1734c7287
22,90ed1a72c758f575b39f863d5ac03313ac9b197e,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,Error Identification & Correction Precision,zh,Computer Science,1,418,21,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,d99ba1760035dfd9575ceb43cad009829e66c02d,c63ee02b223a378d3fcc5cb7f5642f0d1c154c01
23,1c013ab584f1c5a49f0e03d8517d29eb909322be,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Error Identification & Correction Precision,zh,Basic Medicine,1,393,12,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,28bd3012c658b1c93d08b13333f3a9b7c607c429,0599310e9599a2d177f26a931ba6ba295f18a482
24,17e0ba51820c815389e5f672d6bed2ca748a8775,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Error Identification & Correction Precision,zh,Mathematics,2,330,21,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,4fd03b604a3d4ad1f092ab6cf7a6b551c244f419,aa544b32848d6ed8f63d86c7504dd4ba6c243e4a
25,89f8c6ed8c1b947a44510dcc18b38a1d97571453,3b26f4f8f9f7314ee644e63efa2173afbb702c33,3b26f4f8f9f7314ee644e63efa2173afbb702c33,Basic Factual Accuracy,zh,Law,2,271,8,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,b3cf8a61f5afe62e45cd429a918b1d34639c4fdc,0aad6f3bb0352f0ee57c10c6a72b3f685338b6c4
26,bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,3b26f4f8f9f7314ee644e63efa2173afbb702c33,3b26f4f8f9f7314ee644e63efa2173afbb702c33,Reasoning Process Rigor,zh,Law,2,271,8,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,4e1d1dc5a8986d81f79a135001b7eb05f5cb76df,181c09eb3eece1f7c0df22b98bfaa00e099b80dc
27,f33e86ba6eaa5281c801dea1ed174135a7d4c0da,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Basic Factual Accuracy,zh,Basic Medicine,2,267,11,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,e045f95d73390b93a23539a9a4c7b18f8d03533c,d9e0374d874de535cea573afca1941a1b8edfa7a
28,b5f54f2d11493dd41a74e9e2274d26451a958dcc,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Content Relevance & Scope Control,zh,Basic Medicine,1,265,19,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,228b640b1ea4f388aa703c492c91256f042aab08,169a325697ded935362daf9dc6fa84f5ad108fe9
29,e2c88c65f2542bab93dbf50c022a42b356f788d2,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Reasoning Process Rigor,zh,Basic Medicine,1,265,19,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,bdfc813dc99a70edb52d4e91932c56527b6bcd35,e106d87ae0a762ec254840d281e3802cb6e2d4b9
30,4f22bf04948dfebf09ef963ef74d98df56ffdb57,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Error Identification & Correction Precision,zh,Basic Medicine,1,265,19,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,fe48d3e4e17cd8c631999fcb05c41b322b9c3110,a96b02ce6230da11c213122296b8f50c04b6a574
31,378f7b2160c791b11e16c3dd68d76ed1363a3ff6,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,"Motivation, Guidance & Positive Feedback",zh,Basic Medicine,2,265,19,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,792e3b4e208f720342edc2d09221db5add4d5cf7,f0ff981088c285dafba4ac000ffaa7427d9fad7e
32,63ab64773fb76fbe6cba302eed79041a8316bb7c,33f24cdef61905293c51bb59ca561c1f2cef3965,33f24cdef61905293c51bb59ca561c1f2cef3965,"Motivation, Guidance & Positive Feedback",zh,History,2,260,10,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f3e040f2c36d527a4d9b05f7463c74d9a6a92b6a,ec7369126d9099839fa1eea0e2d233b0b59c4ce2
33,4c1781a47196920cfbd9a98a60533436add7af41,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,Reasoning Process Rigor,en,Computer Science,1,250,43,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,93015a2008c66638a638a264e0ce2e33ed077789,cc8691a6439fff30dca252a35408ed67d3c566e4
34,1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,85398269c1c07a9498c3eae4b08315e4db78a74e,85398269c1c07a9498c3eae4b08315e4db78a74e,Error Identification & Correction Precision,zh,General Pedagogy,1,238,10,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f7dc7ac4e6652c71de6f997b2cdab528eab35b59,9e86df862d7b633a7726acb65b9f0c10de7f4ff2
35,630a88341b60ad40afcd43bf6bf3967c515b8803,33f24cdef61905293c51bb59ca561c1f2cef3965,33f24cdef61905293c51bb59ca561c1f2cef3965,"Motivation, Guidance & Positive Feedback",zh,History,2,235,13,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,3a5de2835a8c511aaf8075c81d20fcc1dfa85974,0e18e56c1d791032e5d9a172e7fa914a2ba04007
36,c0d4f41ccf2066449887e86887cb7b8903269b2a,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Content Relevance & Scope Control,zh,Mathematics,2,226,19,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,e4831fb14fe0ffccd8dc2f98ee44992f3639b0c0,641e82211fbd129a86b87fd9ceff6d6a9ad424e3
