mode,score_model,risk_model,rule,thresholds,coverage,low_to_high_covered,D1_hidden_pred_ge4_covered,flag_rate_on_gold_high,MAE,QWK,low_to_high,high_to_low,label5_recall,D1_hidden_pred_ge4
abstention,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",0.6901535682023487,0.1891891891891892,0.6363636363636364,0.3047619047619048,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",0.6901535682023487,0.1891891891891892,0.6363636363636364,0.3047619047619048,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",0.6901535682023487,0.1891891891891892,0.6363636363636364,0.3047619047619048,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.8373983739837398,0.3023255813953488,0.6923076923076923,0.164021164021164,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",0.8373983739837398,0.3023255813953488,0.6923076923076923,0.164021164021164,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.8373983739837398,0.3023255813953488,0.6923076923076923,0.164021164021164,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",0.7073170731707317,0.21052631578947367,0.6666666666666666,0.2878306878306878,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",0.7073170731707317,0.21052631578947367,0.6666666666666666,0.2878306878306878,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",0.7073170731707317,0.21052631578947367,0.6666666666666666,0.2878306878306878,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.8446251129177959,0.3181818181818182,0.7142857142857143,0.15661375661375662,,,,,,
