sample_id,question_key,question_group_id,metric,language,subject,gold_label,human_1,human_2,human_3,human_agreement_pattern,question,answer,rubric,metadata,recovered_reason_summary,rationale_match_status,rationale_score_phrase,rationale_score_phrase_consistency,score_phrase_conflict_flag,hidden_failure_candidate_type,failure_mode_auto,confidence_weight,recommended_training_use
59057a57e3dbc47128b4e0c6da46964f722a411f,ba35192a049e868eedae5ba310638e7e75c9f363,ba35192a049e868eedae5ba310638e7e75c9f363,"Motivation, Guidance & Positive Feedback",en,Basic Medicine,2,2.0,2.0,3.0,2.0/2.0/3.0,"Question: Which of the following is the primary function of hemoglobin in the human body?
Original Answer: To fight infections by destroying bacteria.
You are providing error-correction services for the student's response. Based on this question and the original answer, provide the ""Corrected Answer"" and ""Error Explanation"", in JSON format.","{
  ""Corrected Answer"": ""To transport oxygen from the lungs to the rest of the body and to help remove carbon dioxide."",
  ""Error Explanation"": ""The original answer incorrectly attributes the function of fighting infections to hemoglobin, which is not its primary role. Hemoglobin's main function is to carry oxygen throughout the body and assist in the removal of carbon dioxide.""
}","[""5: Strongly supportive and encouraging; consistently uses constructive and positive language; offers highly effective heuristic guidance instead of simply giving answers."", ""4: Generally supportive tone and positive language; provides useful guidance though occasionally too direct."", ""3: A mix of encouragement and neutral/critical language; guidance is inconsistent—sometimes helpful, sometimes overly direct or lacking."", ""2: Lacks encouragement and support; language is neutral or mildly negative; rarely guides, often just answers or remains unhelpful."", ""1: Negative or discouraging tone; no motivation or support; fails to guide or gives misleading suggestions.""]","Scenario: Error Correction
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Pedagogical Application",,question_answer_unmatched,,no_score_phrase,0,unclear,unclear,0.2000,review_only
4153d3a9a2b62778bf32e38aa33be57d0215987d,ba35192a049e868eedae5ba310638e7e75c9f363,ba35192a049e868eedae5ba310638e7e75c9f363,"Motivation, Guidance & Positive Feedback",en,Basic Medicine,2,2.0,2.0,2.0,2.0/2.0/2.0,"Question: Which of the following is the primary function of hemoglobin in the human body?
Original Answer: To fight infections by destroying bacteria.
You are providing error-correction services for the student's response. Based on this question and the original answer, provide the ""Corrected Answer"" and ""Error Explanation"", in JSON format.","```json
{
  ""Corrected Answer"": ""To transport oxygen from the lungs to the tissues and to carry carbon dioxide from the tissues back to the lungs."",
  ""Error Explanation"": ""The original answer incorrectly identifies the primary function of hemoglobin as fighting infections by destroying bacteria. This is not the role of hemoglobin. Hemoglobin is a protein in red blood cells that is responsible for transporting oxygen from the lungs to the body's tissues and returning carbon dioxide from the tissues back to the lungs. The immune system, not hemoglobin, is responsible for fighting infections.""
}
```","[""5: Strongly supportive and encouraging; consistently uses constructive and positive language; offers highly effective heuristic guidance instead of simply giving answers."", ""4: Generally supportive tone and positive language; provides useful guidance though occasionally too direct."", ""3: A mix of encouragement and neutral/critical language; guidance is inconsistent—sometimes helpful, sometimes overly direct or lacking."", ""2: Lacks encouragement and support; language is neutral or mildly negative; rarely guides, often just answers or remains unhelpful."", ""1: Negative or discouraging tone; no motivation or support; fails to guide or gives misleading suggestions.""]","Scenario: Error Correction
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Pedagogical Application",,question_answer_unmatched,,no_score_phrase,0,unclear,unclear,0.2000,review_only
1947f424625d896777f4dbddef16ab9afb7730aa,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,1.0,1.0,1.0,1.0/1.0/1.0,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue.
Student's Answer: True
Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","{
  ""Score"": 1,
  ""Scoring Details"": ""The student answered correctly. The liver indeed has an impressive regenerative capacity, which is one of the most remarkable features of this organ."",
  ""Personalized Feedback"": ""Your understanding is correct! The liver is unique among internal organs for its ability to regenerate. This means that even if a significant portion of the liver is removed during surgery (such as in the case of a liver transplant), the remaining part can grow back to its original size and function. Keep up the good work!""
}","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","Scenario: Automatic Grading
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Factual & Reasoning Accuracy",,question_answer_unmatched,,no_score_phrase,0,unclear,unclear,0.2000,review_only
7b2343c0fac6f79059007d116f746842fe6a6637,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,1.0,1.0,1.0,1.0/1.0/1.0,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue.
Student's Answer: True
Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","```json
{
  ""Score"": 1,
  ""Scoring Details"": {
    ""Correctness"": true,
    ""Explanation"": ""The student's answer is correct. The human liver does indeed have a remarkable ability to regenerate after partial removal, a process known as hepatic regeneration.""
  },
  ""Personalized Feedback"": {
    ""Feedback"": ""Great job! Your answer is accurate. The liver's regenerative capabilities are one of the most impressive features of human anatomy. It can regenerate up to 75% of its lost mass within about two weeks if a portion is surgically removed. Keep up the good work!""
  }
}
```","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","Scenario: Automatic Grading
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Factual & Reasoning Accuracy",无推理过程。,metric_rationale_recovered,,no_score_phrase,0,weak_evidence_positive,insufficient_evidence,0.8500,weak_evidence_positive
ba114a1a8452ac012af5a1940b242d85f38538d3,578358b94591dcdb7b73304c5498c56a12d9c95d,578358b94591dcdb7b73304c5498c56a12d9c95d,"Motivation, Guidance & Positive Feedback",en,Law,2,2.0,2.0,3.0,2.0/2.0/3.0,"Question: Which legal principle is primarily concerned with the prevention of double jeopardy in the United States?
Original Answer: The principle of stare decisis.
You are providing error-correction services for the student's response. Based on this question and the original answer, provide the ""Corrected Answer"" and ""Error Explanation"", in JSON format.","{
    ""Corrected Answer"": ""The Double Jeopardy Clause of the Fifth Amendment."",
    ""Error Explanation"": ""Stare decisis refers to the principle of adhering to precedent in judicial decision-making, unrelated to double jeopardy. The legal principle preventing double jeopardy (being tried twice for the same offense) is explicitly enshrined in the Double Jeopardy Clause of the Fifth Amendment to the U.S. Constitution.""
}","[""5: Strongly supportive and encouraging; consistently uses constructive and positive language; offers highly effective heuristic guidance instead of simply giving answers."", ""4: Generally supportive tone and positive language; provides useful guidance though occasionally too direct."", ""3: A mix of encouragement and neutral/critical language; guidance is inconsistent—sometimes helpful, sometimes overly direct or lacking."", ""2: Lacks encouragement and support; language is neutral or mildly negative; rarely guides, often just answers or remains unhelpful."", ""1: Negative or discouraging tone; no motivation or support; fails to guide or gives misleading suggestions.""]","Scenario: Error Correction
Subject: Law
Education Level: PhD
Language: en
Metric Group: Pedagogical Application",语言客观专业，通过明确法律条款引导学习者关注宪法细节，虽未直接激励，但隐含对法律条文深入理解的支持。 / 语言客观专业，通过明确法律条款引导学习者关注宪法细节，虽未直接激励但隐含对法律条文的深入理解支持。,metric_rationale_recovered,,no_score_phrase,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.8500,weak_evidence_positive
bd384e01426757c4dd86e755a75d5ef86fe6e59f,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,1.0,1.0,1.0,1.0/1.0/1.0,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue.
Student's Answer: True
Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","```json
{
  ""Score"": 1,
  ""ScoringDetails"": {
    ""Accuracy"": 1,
    ""Explanation"": ""The student's answer is correct. The human liver indeed has a remarkable ability to regenerate. After a portion of the liver is removed, the remaining tissue can grow back to its original size and function, making the statement true.""
  },
  ""PersonalizedFeedback"": ""Great job! Your understanding of the liver's regenerative capabilities is accurate. This is an important biological fact that highlights the liver's unique and vital role in the body. Keep up the good work!""
}
```","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","Scenario: Automatic Grading
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Factual & Reasoning Accuracy",无推理过程。,metric_rationale_recovered,,no_score_phrase,0,weak_evidence_positive,insufficient_evidence,0.8500,weak_evidence_positive
49318c4f0d2ec2244ac543b0db468afaf9a85d1b,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,1.0,1.0,1.0,1.0/1.0/1.0,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue.
Student's Answer: True
Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","```json
{
    ""Score"": ""100%"",
    ""Scoring Details"": {
        ""Correctness"": ""The student's answer is correct. The human liver does have the capacity to regenerate after partial surgical removal."",
        ""Reasoning"": ""The liver is unique among human organs in its ability to regenerate lost tissue. Surgical removal of up to 70% of the liver can trigger regeneration, restoring full function and mass within weeks to months under healthy conditions."",
        ""Additional Context"": ""This regenerative capacity depends on the absence of chronic liver disease (e.g., cirrhosis) and other health factors.""
    },
    ""Personalized Feedback"": ""Great job! Your answer is correct. The liver's regenerative ability is a remarkable biological process. While other organs scar or lose function after damage, healthy liver tissue can regrow to replace surgically removed portions. Keep in mind that this process requires healthy baseline liver function—chronic diseases like cirrhosis impair regeneration. You demonstrated a strong understanding of this key concept!""
}
```","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","Scenario: Automatic Grading
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Factual & Reasoning Accuracy",,question_answer_unmatched,,no_score_phrase,0,unclear,unclear,0.2000,review_only
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,1.0,1.0,1.0,1.0/1.0/1.0,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue.
Student's Answer: True
Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in JSON format.","```json
{
  ""Score"": 1,
  ""Scoring Details"": {
    ""Correctness"": ""The student's answer is correct. The human liver indeed has the remarkable ability to regenerate after surgical removal of a portion of its tissue."",
    ""Explanation"": ""The liver is unique among human organs in its ability to regenerate. After partial hepatectomy (surgical removal of a portion of the liver), the remaining liver tissue can grow back to its original size and function. This regenerative capacity is due to the liver's ability to activate hepatocytes (liver cells) to proliferate and restore the lost tissue.""
  },
  ""Personalized Feedback"": ""Great job! Your answer is correct. The liver's ability to regenerate is a fascinating aspect of human biology. This regenerative capacity is crucial for recovery after liver surgery or injury. Keep up the good work in your studies!""
}
```","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual steps or details that do not affect the conclusion."", ""3: Reasoning is visible but contains unclear logic, missing steps, or insufficient argumentation, affecting the overall outcome."", ""2: Reasoning has major logical flaws, confusion in steps, or critical omissions; reliability is low."", ""1: Virtually no valid reasoning; logic is chaotic; steps are incorrect or irrelevant.""]","Scenario: Automatic Grading
Subject: Basic Medicine
Education Level: Undergraduate
Language: en
Metric Group: Factual & Reasoning Accuracy",无推理过程。,metric_rationale_recovered,,no_score_phrase,0,weak_evidence_positive,insufficient_evidence,0.8500,weak_evidence_positive
fa439d530a93932f4cf8a09f743d80c44e18e0b8,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Content Relevance & Scope Control,en,Mathematics,2,2.0,2.0,2.0,2.0/2.0/2.0,"Subject:Mathematics
Education Level:PhD
Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities?
A) f(z) has no singularities.
B) f(z) has a removable singularity at z = 0.
C) f(z) has a pole of order 2 at z = i.
D) f(z) has an essential singularity at infinity.
. Please generate the corresponding answer based on the question. ""Answer"":, in JSON format.","{
  ""Answer"": ""A) f(z) has no singularities.""
}","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control is good with possibly a small amount of slightly off-topic or mildly overreaching information."", ""3: Mostly relevant, but includes some off-topic or out-of-scope content; scope control needs improvement."", ""2: Poor relevance; includes a significant amount of irrelevant information or is largely outside scope."", ""1: Content is largely irrelevant or completely outside the specified scope.""]","Scenario: Question Answering
Subject: Mathematics
Education Level: PhD
Language: en
Metric Group: Scenario Adaptability",答案与复分析PhD级问题严重脱节，未识别无穷远点奇点特性。 / 该答案未能达到复分析PhD级别的问题要求，特别是未能识别出无穷远点的奇点特性。 / 答案与复分析 PhD 级别问题存在严重脱节，未能识别无穷远点的奇点特性。,metric_rationale_recovered,,no_score_phrase,0,weak_evidence_positive,task_constraint_violation,0.8500,weak_evidence_positive
0578273c54e1a724084529ebbc385f1bdd1076ea,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Basic Factual Accuracy,en,Mathematics,1,1.0,1.0,1.0,1.0/1.0/1.0,"Subject:Mathematics
Education Level:PhD
Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities?
A) f(z) has no singularities.
B) f(z) has a removable singularity at z = 0.
C) f(z) has a pole of order 2 at z = i.
D) f(z) has an essential singularity at infinity.
. Please generate the corresponding answer based on the question. ""Answer"":, in JSON format.","{
  ""Answer"": ""A) f(z) has no singularities.""
}","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ""3: Most facts are correct, but there are some notable factual errors that require review."", ""2: Contains several or key factual inaccuracies; information is not trustworthy."", ""1: Riddled with factual errors; information is completely incorrect or misleading.""]","Scenario: Question Answering
Subject: Mathematics
Education Level: PhD
Language: en
Metric Group: Factual & Reasoning Accuracy",多项式函数在无穷远点必有奇点，选项A完全错误。 / 选项A错误，因为多项式函数在无穷远点必然存在奇点。 / 多项式函数在无穷远点必为奇点，选项 A 的表述存在根本性错误。,metric_rationale_recovered,,no_score_phrase,0,weak_evidence_positive,surface_fluent_but_hidden_defect,0.8500,weak_evidence_positive
