verifier,packet_id,field_count,answer_count,forbidden_field_count,forbidden_fields,D2_occurrence,D3_occurrence,H4_occurrence,metric_contract_occurrence,intended_score_occurrence,score_program_occurrence,source_span_occurrence,replacement_span_occurrence,answer_hash_match
codex,x48c_codex_pkt_1d58736bdca277b2,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_52d1cadf9e7d396f,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_258138cbe177b452,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_17d28595f7284448,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_dbb1987248c7e47e,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_f4d95fad631576f9,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_d7ef357dca727027,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_5f85910b53a373c8,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_9b6c81747fa69c13,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_2d68815e2ba1649e,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_2fb6d6efe3900722,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_7c00e3adfa3b5c28,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_1db4df22d5a26663,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_97f4e82de9c88615,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_148d010e12c3597f,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_8519f283a15cebb9,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_60a6ed8719f387ee,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_6bbb4db2b9334fee,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_4310e4f2aab6bb91,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_4238a416cc08f511,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_dc10e718adae8ff9,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_9d4c6604830d7472,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_60cf4085a4f4c8f6,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_16e4175b2920795a,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_b334c619d10de78c,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_f8a38758c76e2f62,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_cffcf849525233d4,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_ee6518c1859c703f,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_98f69185bc7740b0,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_d66c16c3810a0deb,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_e11b4fd9db3000d7,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_1e3ffa8dcda658a2,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_a23f6ebd14cc79db,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_5cdccb81513c9680,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_f051609a115c92eb,7,1,0,,0,0,0,0,0,0,0,0,True
codex,x48c_codex_pkt_e554aaf9a1e02d4d,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_0f92d5c9edc9e7ee,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_c3dd2e277bb59f4f,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_9e80262c53a118e9,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_95d89e62a8b8c678,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_93bcb07cbedd03fd,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_51360b2d7381303b,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_9c38fedb2e01bb1c,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_4a929c415ac3f7bf,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_be651495910eec09,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_78af7e7d8cd9f15c,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_990329819c770a2e,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_d01318b975c8c2d9,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_6868d1ea11e0db09,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_5b8f2026cb840f1e,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_d1ea82a74aeef290,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_a3b166fc3231b7d8,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_b41bc0774686d561,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_28d26a4496da70af,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_d99957075e6e7b5c,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_7a2753f4d1ad986e,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_02e583390f76688e,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_1d6d1cf037731582,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_97ceda5dd17c8ebe,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_8fd48e9de7b436bf,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_c869d41f0f004669,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_a109270aa13368fa,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_eb9462918acdab5f,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_7ab9ab934786baf1,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_f02e922f292c680a,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_ce23cc8eaca1a44c,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_a17fa4c9bbe186e5,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_b88da474e68e1da5,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_c34efcda85f81673,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_8c072ee94fe260cc,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_e33d44713ef07754,7,1,0,,0,0,0,0,0,0,0,0,True
qwen,x48c_qwen_pkt_14594eabe344755c,7,1,0,,0,0,0,0,0,0,0,0,True
