synthetic_plan_id,synthetic_id,source_record_id,source_split,source_file,source_row_index,source_question_key,source_triple_key,question,rubric_text,target_label_5,planned_target_label_5,language,metric_canonical,error_type,planned_error_type,current_label_5,human_label_5,scenario_canonical,subject_canonical,education_level_canonical,selected,selected_for_generation,selection_status,source_question_in_dev,source_question_in_test,source_triple_in_dev,source_triple_in_test,question_preview,source_answer_preview,rubric_preview,selection_notes,notes
mb001,,,,,,,,,,1,1,en,Reasoning Process Rigor,reasoning_gap,reasoning_gap,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb002,,,,,,,,,,2,2,zh,Reasoning Process Rigor,overconfident_wrong,overconfident_wrong,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb003,,,,,,,,,,1,1,en,Scenario Element Integration,scenario_mismatch,scenario_mismatch,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb004,,,,,,,,,,2,2,zh,Scenario Element Integration,instruction_violation,instruction_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb005,,,,,,,,,,1,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,scenario_mismatch,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb006,,,,,,,,,,2,2,zh,"Personalization, Adaptation & Learning Support",rubric_violation,rubric_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb007,,,,,,,,,,1,1,en,Higher-Order Thinking & Skill Development,reasoning_gap,reasoning_gap,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb008,,,,,,,,,,2,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,superficial_fluency,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb009,,,,,,,,,,1,1,en,Error Identification & Correction Precision,factual_error,factual_error,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb010,,,,,,,,,,2,2,zh,Error Identification & Correction Precision,reasoning_gap,reasoning_gap,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
