metric,split,n,MAE,QWK,Signed_Bias,Exact_Match,low_to_high_rate,label2_recall,mean_pred_low
Basic Factual Accuracy,all_5536,660,0.509090909090909,0.18220703390214088,-0.296969696969697,0.7439393939393939,0.2727272727272727,0.5714285714285714,2.909090909090909
"Clarity, Simplicity & Inspiration",all_5536,432,0.6342592592592593,0.04396099024756184,0.5925925925925926,0.44675925925925924,1.0,0.0,4.833333333333333
Content Relevance & Scope Control,all_5536,660,0.3303030303030303,0.23331547635830507,0.10909090909090909,0.7636363636363637,0.5,0.14285714285714285,3.875
Domain Knowledge Accuracy,all_5536,327,0.5565749235474006,0.036159797884099065,0.5015290519877675,0.5076452599388379,nan,nan,nan
Error Identification & Correction Precision,all_5536,207,0.7681159420289855,0.11237843381980395,0.10144927536231885,0.5410628019323671,0.8125,0.0,4.1875
Higher-Order Thinking & Skill Development,all_5536,428,0.8387850467289719,0.24684028362910437,0.7733644859813084,0.352803738317757,0.6956521739130435,0.0,4.130434782608695
Instruction Following & Task Completion,all_5536,990,0.5212121212121212,0.17904274918223861,0.36363636363636365,0.5818181818181818,0.625,0.06666666666666667,4.0625
"Motivation, Guidance & Positive Feedback",all_5536,315,0.8984126984126984,0.07005253940455336,0.834920634920635,0.4095238095238095,0.9090909090909091,0.0,4.681818181818182
"Personalization, Adaptation & Learning Support",all_5536,329,0.7659574468085106,0.0,0.7659574468085106,0.4194528875379939,1.0,0.0,5.0
Reasoning Process Rigor,all_5536,421,1.156769596199525,-0.0054933608001375145,0.7719714964370546,0.45368171021377673,0.9078947368421053,0.0,4.75
Role & Tone Consistency,all_5536,220,0.5818181818181818,0.0,0.5818181818181818,0.4318181818181818,nan,nan,nan
Scenario Element Integration,all_5536,547,0.6819012797074955,0.1235397049754049,0.4625228519195612,0.45886654478976235,0.8888888888888888,0.0,4.333333333333333
Basic Factual Accuracy,train,405,0.5185185185185185,0.17309166494678196,-0.3111111111111111,0.7407407407407407,0.25,0.5,3.0
"Clarity, Simplicity & Inspiration",train,257,0.5953307392996109,0.06556718426708996,0.5486381322957199,0.4591439688715953,nan,nan,nan
Content Relevance & Scope Control,train,405,0.30617283950617286,0.27132530120481924,0.09382716049382717,0.7703703703703704,0.6,0.0,4.2
Domain Knowledge Accuracy,train,197,0.5431472081218274,0.044003356806655236,0.4619289340101523,0.5228426395939086,nan,nan,nan
Error Identification & Correction Precision,train,134,0.746268656716418,0.18953140014696734,0.08955223880597014,0.5447761194029851,0.7272727272727273,0.0,3.8181818181818183
Higher-Order Thinking & Skill Development,train,256,0.81640625,0.22781589700100224,0.72265625,0.36328125,0.7,0.0,4.3
Instruction Following & Task Completion,train,595,0.49747899159663866,0.19826190152423573,0.31932773109243695,0.5899159663865546,0.25,0.0,3.25
"Motivation, Guidance & Positive Feedback",train,187,0.8288770053475936,0.0453071920799768,0.7540106951871658,0.41711229946524064,1.0,0.0,4.888888888888889
"Personalization, Adaptation & Learning Support",train,190,0.7578947368421053,0.0,0.7578947368421053,0.4105263157894737,nan,nan,nan
Reasoning Process Rigor,train,258,1.193798449612403,-0.020524573465749985,0.7596899224806202,0.46511627906976744,0.9,0.0,4.72
Role & Tone Consistency,train,120,0.625,0.0,0.625,0.38333333333333336,nan,nan,nan
Scenario Element Integration,train,322,0.7298136645962733,0.16440649589820866,0.5062111801242236,0.422360248447205,0.8571428571428571,0.0,4.142857142857143
Basic Factual Accuracy,dev,130,0.7615384615384615,0.16030004167245449,-0.5153846153846153,0.6538461538461539,0.0,1.0,2.0
"Clarity, Simplicity & Inspiration",dev,90,0.8111111111111111,-0.01639016590045972,0.7666666666666667,0.36666666666666664,1.0,0.0,5.0
Content Relevance & Scope Control,dev,125,0.416,0.1278103887473696,0.032,0.76,0.0,0.5,2.5
Domain Knowledge Accuracy,dev,65,0.6153846153846154,0.0539721043056397,0.6153846153846154,0.4461538461538462,nan,nan,nan
Error Identification & Correction Precision,dev,35,1.0857142857142856,-0.2465753424657533,0.05714285714285714,0.5142857142857142,1.0,0.0,5.0
Higher-Order Thinking & Skill Development,dev,83,0.9879518072289156,0.2452401250355214,0.9879518072289156,0.27710843373493976,0.5714285714285714,0.0,3.7142857142857144
Instruction Following & Task Completion,dev,200,0.625,0.09486166007905139,0.425,0.55,0.8571428571428571,0.14285714285714285,4.571428571428571
"Motivation, Guidance & Positive Feedback",dev,60,1.3166666666666667,0.030035335689045928,1.25,0.26666666666666666,0.8888888888888888,0.0,4.666666666666667
"Personalization, Adaptation & Learning Support",dev,70,0.7428571428571429,0.0,0.7428571428571429,0.4142857142857143,1.0,0.0,5.0
Reasoning Process Rigor,dev,84,1.2976190476190477,-0.04238890639773096,0.8214285714285714,0.36904761904761907,0.9375,0.0,4.8125
Role & Tone Consistency,dev,50,0.54,0.0,0.54,0.48,nan,nan,nan
Scenario Element Integration,dev,115,0.6173913043478261,0.03679060665362033,0.40869565217391307,0.5043478260869565,1.0,0.0,5.0
Basic Factual Accuracy,test,125,0.216,0.3099242521504687,-0.024,0.848,1.0,0.0,4.0
"Clarity, Simplicity & Inspiration",test,85,0.5647058823529412,0.08108108108108092,0.5411764705882353,0.49411764705882355,1.0,0.0,4.5
Content Relevance & Scope Control,test,130,0.3230769230769231,0.28495386799148326,0.23076923076923078,0.7461538461538462,1.0,0.0,5.0
Domain Knowledge Accuracy,test,65,0.5384615384615384,-0.0035906642728904536,0.5076923076923077,0.5230769230769231,nan,nan,nan
Error Identification & Correction Precision,test,38,0.5526315789473685,0.33373639661426846,0.18421052631578946,0.5526315789473685,nan,nan,nan
Higher-Order Thinking & Skill Development,test,89,0.7640449438202247,0.2868813825608798,0.7191011235955056,0.39325842696629215,0.8333333333333334,0.0,4.333333333333333
Instruction Following & Task Completion,test,195,0.48717948717948717,0.244435767278407,0.4358974358974359,0.5897435897435898,0.6,0.0,4.0
"Motivation, Guidance & Positive Feedback",test,68,0.7205882352941176,0.22478540772532185,0.6911764705882353,0.5147058823529411,0.75,0.0,4.25
"Personalization, Adaptation & Learning Support",test,69,0.8115942028985508,0.0,0.8115942028985508,0.4492753623188406,1.0,0.0,5.0
Reasoning Process Rigor,test,79,0.8860759493670886,0.08596665837272954,0.759493670886076,0.5063291139240507,0.9,0.0,4.8
Role & Tone Consistency,test,50,0.52,0.0,0.52,0.5,nan,nan,nan
Scenario Element Integration,test,110,0.6090909090909091,0.02098557241896193,0.39090909090909093,0.5181818181818182,nan,nan,nan
