section,item,exp09_value,exp10_value,match,diagnostic_note
run,run_id,QD-PR2_AnchoredPairwiseOrdinal_human_only,EXP10_full_qdpr2,different,Different experiment wrapper names are expected.
run,objective,anchored_risk_aware_pairwise_ordinal,qdpr2_module_ablation,different,Different label for the same QD-PR2 full objective.
run,loss,weighted_ordinal_bce_plus_pairwise_anchor_monotonic,weighted_ordinal_bce_plus_pairwise_anchor_monotonic,same,
init checkpoint,model_name_or_path,/home/share/models/modelscope/Qwen/Qwen3-Reranker-0.6B,/home/share/models/modelscope/Qwen/Qwen3-Reranker-0.6B,same,
init checkpoint,qd_b1_checkpoint_dir,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,same,
data,dataset_id,A4_question_seed42_human_only,A4_question_seed42_human_only,same,
data,split,question_seed42,question_seed42,same,
data,input_template,A4_question_answer_metric_rubric_metadata,A4_question_answer_metric_rubric_metadata,same,
data,train_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/train.jsonl,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/train.jsonl,same,
data,dev_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/dev.jsonl,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/dev.jsonl,same,
data,test_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/test.jsonl,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/test.jsonl,same,
seed,training_seed,42 (trainer default),42 (trainer default),same,
seed,pair_sampling_seed,42,42,same,
pair construction,pair_dataset_size_train,10000,10000,same,
pair construction,pair_dataset_size_dev,3000,3000,same,
pair construction,max_pairs_per_record,80,80,same,
pair construction,max_pairs_per_low_record,100,100,same,
pair construction,margin_scale,1.0,1.0,same,
pair construction,low_high_margin,0.25,0.25,same,
pair construction,low_high_weight,1.0,1.0,same,
pair construction,gap_weight,0.5,0.5,same,
pair construction,dataloader_mode,pair,pair,same,Both full runs train from pair batches.
pair construction,max_pairs,10000,10000,same,
loss weights,lambda_point,1.0 (implicit),1.0,equivalent,
loss weights,lambda_pair,0.05,0.05,same,
loss weights,lambda_anchor,0.5,0.5,same,
loss weights,lambda_mono,0.1,0.1,same,
optimization,epochs,3,3,same,
optimization,per_device_train_batch_size,32,32,same,
optimization,per_device_eval_batch_size,8,8,same,
optimization,effective_batch_size,128,128,same,
optimization,gradient_accumulation_steps,4,4,same,
optimization,learning_rate,1e-05,1e-05,same,
optimization,weight_decay,0.01,0.01,same,
optimization,warmup_ratio,0.05,0.05,same,
optimization,gradient_checkpointing,True,True,same,
optimization,max_length,2048,2048,same,
optimization,scheduler,cosine schedule with warmup,cosine schedule with warmup,same,
checkpoint selection,selection_metric,dev_MAE_label,dev_MAE_label,same,
checkpoint selection,selection_direction,min,min,same,
checkpoint selection,early_stopping,none; train all epochs and select best dev checkpoint,none; train all epochs and select best dev checkpoint,same,
checkpoint selection,selected_best_epoch,3,1,different,
checkpoint selection,selected_best_global_step,237,79,different,
status,run_status,completed,completed,same,
source,config_path,thesis_exp/configs/exp09_pairwise_ordinal/exp09_qdpr2_anchored_pairwise_human_only.yaml,thesis_exp/configs/exp10_qdpr2_module_ablation/exp10_full_qdpr2.yaml,different,
