generation_split_mode,synthetic_plan_id,synthetic_id,source_record_id,source_split,source_file,source_row_index,source_question_key,source_triple_key,question,rubric_text,target_label_5,planned_target_label_5,language,metric_canonical,error_type,planned_error_type,current_label_5,human_label_5,scenario_canonical,subject_canonical,education_level_canonical,selected,selected_for_generation,allowed_for_training,selection_status,question_overlap_with_dev,question_overlap_with_test,triple_overlap_with_dev,triple_overlap_with_test,record_overlap_with_dev,record_overlap_with_test,source_risk_level,risk_notes,source_question_in_dev,source_question_in_test,source_triple_in_dev,source_triple_in_test,question_preview,source_answer_preview,rubric_preview,selection_notes,notes
paper_like_strict,mb001,,,,,,,,,,1,1,en,Reasoning Process Rigor,reasoning_gap,reasoning_gap,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb002,,,,,,,,,,2,2,zh,Reasoning Process Rigor,overconfident_wrong,overconfident_wrong,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb003,,,,,,,,,,1,1,en,Scenario Element Integration,scenario_mismatch,scenario_mismatch,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb004,,,,,,,,,,2,2,zh,Scenario Element Integration,instruction_violation,instruction_violation,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb005,,,,,,,,,,1,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,scenario_mismatch,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb006,,,,,,,,,,2,2,zh,"Personalization, Adaptation & Learning Support",rubric_violation,rubric_violation,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb007,,,,,,,,,,1,1,en,Higher-Order Thinking & Skill Development,reasoning_gap,reasoning_gap,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb008,,,,,,,,,,2,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,superficial_fluency,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb009,,,,,,,,,,1,1,en,Error Identification & Correction Precision,factual_error,factual_error,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
paper_like_strict,mb010,,,,,,,,,,2,2,zh,Error Identification & Correction Precision,reasoning_gap,reasoning_gap,,,,,,False,False,False,unavailable,,,,,,,BLOCKED,No eligible source under this split mode.,,,,,,,,BLOCKED: no eligible source candidate found under this split mode,BLOCKED: no eligible source candidate found under this split mode
