language,metric_canonical,source_file,source_field,candidate_rubric,is_identical_to_instruction_following,confidence,notes
zh,Instruction Following & Task Completion,thesis_exp/outputs/exp03_input_ablation/tables/rubric_source_audit.csv,rubric,5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。 4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。 3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。 2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。 1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。,False,low,Split-level source. zh SEI is suspect if identical to IFTC.
zh,Scenario Element Integration,thesis_exp/outputs/exp03_input_ablation/tables/rubric_source_audit.csv,rubric,5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。 4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。 3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。 2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。 1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。,True,low,Split-level source. zh SEI is suspect if identical to IFTC.
en,Scenario Element Integration,thesis_exp/outputs/exp03_input_ablation/tables/rubric_source_audit.csv,rubric,"5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context. 4: Used major scenario elements effectively; response is targeted, possibly overlooks minor details but does not affect overall results. 3: Some use of scenario information, but integration is shallow; personalization or contextual fit is average. 2: Only surface-level reference to scenario information; did not integrate core elements effectively; weak contextual connection. 1: Completely ignored scenario-specific information; output is generic, templated, and irrelevant to the scenario.",False,high,Split-level source. zh SEI is suspect if identical to IFTC.
zh,Scenario Element Integration,thesis_exp/data/processed/edubench_scoring_all.jsonl,rubric,5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。 4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。 3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。 2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。 1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。,True,low,Processed data row rubric; it reproduces the defective zh SEI text.
zh,Scenario Element Integration,edu-data-synthesis-main/data/criteria/metrics_zh_whiten.json,1.4.rules,9-10分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。 / 7-8分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。 / 5-6分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。 / 3-4分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。 / 1-2分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。,True,low,"Local criteria file. zh SEI matches IFTC content, so it is not a reliable correction source."
en,Scenario Element Integration,edu-data-synthesis-main/data/criteria/metrics_en_whiten.json,1.4.rules,"9-10: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context. / 7-8: Used major scenario elements effectively; response is targeted, possibly overlooks minor details but does not affect overall results. / 5-6: Some use of scenario information, but integration is shallow; personalization or contextual fit is average. / 3-4: Only surface-level reference to scenario information; did not integrate core elements effectively; weak contextual connection. / 1-2: Completely ignored scenario-specific information; output is generic, templated, and irrelevant to the scenario.",False,high,Local English criteria file contains the expected SEI-specific anchors.
zh,Scenario Element Integration,5-grades/5_metrics_zh.json,场景要素融合度.rules,5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。 / 4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。 / 3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。 / 2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。 / 1分： 完全误解或无视指令，任务未完成或完全错误，格式混乱或不相关。,True,low,"Local five-grade criteria file. zh SEI matches IFTC content, so it is not a reliable correction source."
en,Scenario Element Integration,5-grades/5_metrics_en.json,Scenario Element Integration.rules,"5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context. / 4: Used major scenario elements effectively; response is targeted, possibly overlooks minor details but does not affect overall results. / 3: Some use of scenario information, but integration is shallow; personalization or contextual fit is average. / 2: Only surface-level reference to scenario information; did not integrate core elements effectively; weak contextual connection. / 1: Completely ignored scenario-specific information; output is generic, templated, and irrelevant to the scenario.",False,high,Local five-grade English criteria contains the expected SEI-specific anchors.
en,Scenario Element Integration,EduBench.pdf,Appendix F.1.4,"9-10: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context. / 7-8: Used major scenario elements effectively; response is targeted, possibly overlooks minor details but does not affect overall results. / 5-6: Some use of scenario information, but integration is shallow; personalization or contextual fit is average. / 3-4: Only surface-level reference to scenario information; did not integrate core elements effectively; weak contextual connection. / 1-2: Completely ignored scenario-specific information; output is generic, templated, and irrelevant to the scenario.",False,high,"Official paper PDF contains English 10-point SEI scoring anchors, not a Chinese per-score rubric."
zh,Scenario Element Integration,results_merge.jsonl,all fields,,False,none,Contains metric/sample records but no rubric text field.
