sample_id,original_human_score,qwen_score,deepseek_score,calibrated_score,recommended_training_use,calibration_source,calibration_confidence,calibration_note,metric,qwen_reason_preview,deepseek_reason_preview
0578273c54e1a724084529ebbc385f1bdd1076ea,1,5,1,1,low_weight,human_deepseek_agreement,medium,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,Basic Factual Accuracy,"The evaluator output correctly identifies that f(z) = z^2 + 1 has no singularities in the finite complex plane. As a polynomial, it is entire (analytic everywhere in C). The answer is factually accurate and matches the c","The answer claims f(z) has no singularities, which is false because f(z) = z^2+1 has a pole of order 2 at infinity. This is a key factual inaccuracy, making the information completely incorrect."
5238e123a16a826d9dd25c0454890d96db10099a,1,5,2,2,review_only,codex_top80_conservative_median,low,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,Basic Factual Accuracy,"The evaluator output correctly identifies that f(z) = z^2 + 1 is a polynomial, which is an entire function and therefore has no singularities in the finite complex plane. The answer is factually accurate and matches the ","The evaluator output claims 'f(z) has no singularities', but at the PhD level in complex analysis, a polynomial like z^2+1 is known to have a pole at infinity. This is a key factual inaccuracy, rendering the information "
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,4,3,3,review_only,codex_top80_conservative_median,medium,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,Instruction Following & Task Completion,"The evaluator output correctly follows the instruction to provide a JSON with '评分', '评分细节', and '个性化反馈'. The format is valid JSON and all required keys are present. The feedback is personalized to the student's answer, n","The evaluator output provides the required JSON with score, details, and feedback, but the overall score of 3 is inconsistent with the sub-scores all being 2, indicating an inaccuracy in the evaluation. This matches the "
7b2343c0fac6f79059007d116f746842fe6a6637,1,4,4,4,review_only,dual_teacher_consensus,medium,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,Reasoning Process Rigor,The evaluator output provides correct reasoning and accurate explanation for the student's answer. The explanation correctly identifies hepatic regeneration and the personalized feedback adds relevant detail about regene,"The reasoning correctly identifies the student's answer as true and provides a correct explanation about hepatic regeneration. However, the personalized feedback adds a specific claim about 75% mass within two weeks, whi"
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,4,2,2,low_weight,human_deepseek_agreement,medium,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,Reasoning Process Rigor,"The evaluator output provides a clear, logically coherent reasoning process that correctly identifies all five forces of Porter's framework and explains their relevance to analyzing competitive environments. It outlines ","The reasoning provides a generic description of what an answer should contain rather than actual reasoning about applying Porter's Five Forces. It lacks specific steps or logical connections, resulting in critical omissi"
bd384e01426757c4dd86e755a75d5ef86fe6e59f,1,5,4,4,review_only,codex_top80_conservative_median,medium,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,Reasoning Process Rigor,"The evaluator output provides a correct score (1 for a correct True/False answer), includes clear and accurate reasoning in the ScoringDetails explanation about liver regeneration, and offers appropriate personalized fee","The evaluator output explains why the answer is correct with a clear, correct statement, but lacks depth and rigorous step-by-step reasoning, making it fit the rubric for score 4 where reasoning is largely correct but no"
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,1,5,2,review_only,codex_top80_conservative_median,low,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,Content Relevance & Scope Control,The evaluator output contains a critical factual error regarding the mathematical concept of diffeomorphism. It incorrectly identifies the cosine function (B) as having diffeomorphism properties while stating that the cu,"Content is entirely on-topic, directly addresses the student's answer with relevant feedback, and strictly adheres to the required output format and scope."
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,2,5,5,5,review_only,dual_teacher_consensus,medium,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,Content Relevance & Scope Control,"The evaluator output is highly relevant to the specified topic of Constructivist Learning Theory and provides teaching materials in the requested JSON format. It includes all required components: teaching objectives, key","The evaluator output is highly relevant to the constructivist learning theory topic, strictly adheres to the required JSON teaching materials format, and contains no off-topic or redundant information."
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,2,5,5,5,review_only,dual_teacher_consensus,medium,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,Basic Factual Accuracy,The evaluator output correctly identifies that the student's answer (C - hyperpolarization) is wrong and accurately explains that hyperpolarization is indeed a step in the action potential process. It correctly identifie,"All factual claims in the evaluator output are accurate: the student's answer is correctly identified as incorrect, the explanation about hyperpolarization being a step in the action potential is correct, and the feedbac"
46133cfb383c1c10e94bab324dabdce1277ab939,4,4,1,4,low_weight,human_qwen_agreement,medium,Original human score agrees with Qwen; DeepSeek is de-weighted by conflict or lower reliability.,Instruction Following & Task Completion,"The evaluator output follows the requested JSON format with '评分', '评分细节', and '个性化反馈' fields. It provides detailed reasoning for each option and personalized feedback addressing the student's specific choices. However, t","The evaluator's feedback contains a fundamental factual error: it states that the missing options are A, B, D, implying those should be selected, but only C is a diffeomorphism. The evaluator thus provides incorrect grad"
